valuetoday-annual_net_income_usd,forbes-assets,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,companiesmarketcap-pricecap,forbes-sales,disfold-market_cap,globaldata-market_cap,cbinsights-valuation,forbes-market_value,companiesmarketcap-share_price,ft-revenue_2020_eu,valuetoday-annual_revenue_usd,forbes-profit,ft-revenue_2017_eu,companiesmarketcap-earnings
doll_0.099803 b,doll_958.78 b,0,0,doll_0.988 b,0,doll_2351.0 b,doll_276.09 b,doll_2825.0 b,0,doll_8.3 b,doll_741.48 b,doll_147.81,doll_0.09761 b,doll_0.39432999999999996 b,doll_89.8 b,"507,000",0
doll_0.020783000000000003 b,doll_5518.51 b,0,0,doll_0.9882000000000001 b,0,doll_172.49 b,doll_208.13 b,doll_20.803 b,doll_2.7 b,doll_8.3 b,doll_214.43 b,doll_81.13,doll_0.05732 b,doll_0.055305999999999994 b,doll_54.03 b,"344,428",0
doll_0.009752 b,doll_576.04 b,0,0,doll_0.9852000000000001 b,0,doll_175.05 b,doll_400.38 b,doll_21.038 b,doll_0.7874 b,doll_8.1 b,doll_2292.08 b,doll_45.94,doll_0.56832 b,doll_0.026914 b,doll_105.36 b,"4,325,512",0
doll_0.089795 b,doll_3954.69 b,0,0,doll_0.9869 b,0,doll_175.54 b,doll_124.54 b,doll_28.166000000000004 b,doll_2.7 b,doll_8.48 b,doll_374.45 b,doll_112.20,doll_0.31673 b,doll_0.35464 b,doll_42.12 b,"2,652,185",0
doll_0.039369999999999995 b,doll_4746.95 b,0,0,doll_0.9877999999999999 b,0,doll_177.08 b,doll_202.07 b,doll_21.36 b,doll_5.0 b,doll_8.4 b,doll_181.32 b,doll_99.43,doll_0.05611 b,doll_0.11793000000000001 b,doll_46.89 b,"486,165",0
doll_0.0055190000000000005 b,doll_420.55 b,0,0,doll_0.9885 b,0,doll_188.46 b,doll_469.82 b,doll_21.502000000000002 b,0,doll_140 b,doll_1468.4 b,doll_108.09,doll_0.01317 b,doll_0.053823 b,doll_33.36 b,"150,908",0
doll_0.033364 b,doll_381.19 b,0,0,doll_0.986 b,0,doll_189.25 b,doll_378.7 b,doll_21.668 b,doll_9.5 b,doll_9 b,doll_2640.32 b,doll_300.13,doll_0.01873 b,doll_0.46982 b,doll_100.56 b,"251,668",0
doll_0.076003 b,doll_4561.05 b,0,0,doll_0.986 b,0,doll_189.62 b,doll_181.42 b,doll_21.89 b,doll_2.1 b,doll_9 b,doll_133.38 b,doll_152.41,doll_0.0476 b,doll_0.25764 b,doll_37.38 b,"706,700",0
doll_0.10538 b,doll_3238.22 b,0,0,doll_0.9895 b,0,doll_194.41 b,doll_96.83 b,doll_21.903 b,doll_2.7 b,doll_8.7 b,doll_303.1 b,doll_89.99,doll_0.00734 b,doll_0.40046 b,doll_31.0 b,"111,500",0
doll_0.072738 b,doll_552.46 b,0,0,doll_0.9889 b,0,doll_199.92 b,doll_281.75 b,doll_20.384999999999998 b,doll_0.8216 b,doll_8.5 b,doll_237.73 b,doll_146.53,doll_0.024480000000000002 b,doll_0.19827 b,doll_28.15 b,"392,055",0
