,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
0,0,0,doll_0.39432999999999996 b,doll_0.099803 b,0,0,doll_0.35276 b,doll_0.050671999999999995 b,doll_0.30207999999999996 b
1,0,0,doll_0.055305999999999994 b,doll_0.020783000000000003 b,0,0,doll_0.1298 b,doll_0.07554300000000001 b,doll_0.054253 b
2,0,0,doll_0.026914 b,doll_0.009752 b,0,0,doll_0.044187 b,doll_0.026611999999999997 b,doll_0.017575 b
3,0,0,doll_0.35464 b,doll_0.089795 b,0,0,doll_0.95678 b,doll_0.51493 b,doll_0.44385 b
4,0,0,doll_0.11793000000000001 b,doll_0.039369999999999995 b,0,0,doll_0.16599 b,doll_0.12487999999999999 b,doll_0.041108 b
5,0,0,doll_0.053823 b,doll_0.0055190000000000005 b,0,0,doll_0.062131 b,doll_0.030189 b,doll_0.031942 b
6,0,0,doll_0.46982 b,doll_0.033364 b,0,0,doll_0.42055000000000003 b,doll_0.13824 b,doll_0.2823 b
7,0,0,doll_0.25764 b,doll_0.076003 b,0,0,doll_0.35927 b,doll_0.25164 b,doll_0.10762999999999999 b
8,0,0,doll_0.40046 b,doll_0.10538 b,0,0,doll_0.5767 b,doll_0.29686 b,doll_0.27984 b
9,0,0,doll_0.19827 b,doll_0.072738 b,0,0,doll_0.36484 b,doll_0.16654 b,doll_0.1983 b
10,0,0,doll_0.57275 b,doll_0.013673 b,0,0,doll_0.24486000000000002 b,doll_0.091891 b,doll_0.15297 b
11,0,0,doll_0.08911 b,doll_0.03055 b,0,0,doll_0.003169 b,doll_0.27007 b,doll_0.002899 b
12,0,0,doll_0.070765 b,doll_0.013264 b,0,0,doll_0.13809 b,doll_0.051925 b,doll_0.08616800000000001 b
13,0,0,doll_0.15116 b,doll_0.016433 b,0,0,doll_0.07187600000000001 b,doll_-0.001696 b,doll_0.073572 b
14,0,0,doll_0.28526999999999997 b,doll_0.01728 b,0,0,doll_0.21221 b,doll_0.075045 b,doll_0.13716 b
15,0,0,doll_0.22928 b,doll_0.03218 b,0,0,doll_0.34983 b,doll_0.24292 b,doll_0.10690999999999999 b
16,0,0,doll_0.09376999999999999 b,doll_0.02087 b,0,0,doll_0.18202000000000002 b,doll_0.07402299999999999 b,doll_0.108 b
17,0,0,doll_0.0241 b,doll_0.01231 b,0,0,doll_0.082896 b,doll_0.037589 b,doll_0.045307 b
18,0,0,doll_0.12164 b,doll_0.0465 b,0,0,doll_0.003743 b,doll_0.29413 b,doll_0.003449 b
