ft-revenue_2020_eu,companiesmarketcap-share_price,forbes-profit,companiesmarketcap-pricecap,disfold-market_cap,globaldata-market_cap,valuetoday-annual_net_income_usd,ft-revenue_2017_eu,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,forbes-sales,companiesmarketcap-earnings,forbes-market_value,valuetoday-annual_revenue_usd
doll_97.61 m,doll_147.81,doll_89.8 b,doll_2.351 t,doll_2.825 t,0,doll_99.803 m,"507,000",,,doll_988.0 m,,doll_276.09 b,,doll_741.48 b,doll_394.330 m
doll_57.32 m,doll_81.13,doll_54.03 b,doll_172.49 b,doll_208.03 b,doll_2.7 b,doll_20.783 m,"344,428",,,doll_988.2 m,,doll_208.13 b,,doll_214.43 b,doll_55.306 m
doll_568.32 m,doll_45.94,doll_105.36 b,doll_175.05 b,doll_210.38 b,doll_787.4 m,doll_9.752 m,"4,325,512",,,doll_985.2 m,,doll_400.38 b,,"doll_2,292.08 b",doll_26.914 m
doll_316.73 m,doll_112.20,doll_42.12 b,doll_175.54 b,adoll_281.66 b,doll_2.7 b,doll_89.795 m,"2,652,185",,,doll_986.9 m,,doll_124.54 b,,doll_374.45 b,doll_354.640 m
doll_56.11 m,doll_99.43,doll_46.89 b,doll_177.08 b,doll_213.60 b,doll_5.0 b,doll_39.370 m,"486,165",,,doll_987.8 m,,doll_202.07 b,,doll_181.32 b,doll_117.930 m
doll_13.17 m,doll_108.09,doll_33.36 b,doll_188.46 b,doll_215.02 b,0,doll_5.519 m,"150,908",,,doll_988.5 m,,doll_469.82 b,,"doll_1,468.4 b",doll_53.823 m
doll_18.73 m,doll_300.13,doll_100.56 b,doll_189.25 b,doll_216.68 b,doll_9.5 b,doll_33.364 m,"251,668",,,doll_986.0 m,,doll_378.7 b,,"doll_2,640.32 b",doll_469.820 m
doll_47.6 m,doll_152.41,doll_37.38 b,doll_189.62 b,doll_218.90 b,doll_2.1 b,doll_76.003 m,"706,700",,,doll_986.0 m,,doll_181.42 b,,doll_133.38 b,doll_257.640 m
doll_7.34 m,doll_89.99,doll_31 b,doll_194.41 b,doll_219.03 b,doll_2.7 b,doll_105.380 m,"111,500",,,doll_989.5 m,,doll_96.83 b,,doll_303.1 b,doll_400.460 m
doll_24.48 m,doll_146.53,doll_28.15 b,doll_199.92 b,doll_€203.85 b,doll_821.6 m,doll_72.738 m,"392,055",,,doll_988.9 m,,doll_281.75 b,,doll_237.73 b,doll_198.270 m
doll_41.21 m,doll_274.23,doll_76.03 b,doll_199.62 b,doll_228.18 b,doll_184.7 m,doll_13.673 m,"680,197",,,doll_990.0 m,,doll_257.49 b,,"doll_1,581.72 b",doll_572.750 m
doll_9.02 m,doll_273.40,doll_71.19 b,doll_200.24 b,doll_236.15 b,doll_387.8 m,doll_30.550 m,"153,046",,,doll_991.0 m,,doll_184.9 b,,"doll_2,054.37 b",doll_89.110 m
doll_9.03 m,doll_0.49,doll_33.57 b,doll_201.96 b,doll_238.45 b,doll_768.6 m,doll_13.264 m,"155,406",,,doll_991.4 m,,doll_152.43 b,,doll_117.83 b,doll_70.765 m
doll_12.16 m,doll_379.90,doll_34.27 b,doll_204.92 b,doll_241.05 b,doll_909.4 m,doll_16.433 m,"229,201",,,doll_990.0 m,,doll_244.16 b,,doll_367.26 b,doll_151.160 m
doll_11.39 m,doll_49.70,doll_23.04 b,doll_204.17 b,doll_247.88 b,doll_5.4 b,doll_17.280 m,"238,118",,,doll_990.3 m,,doll_280.51 b,,doll_359.73 b,doll_285.270 m
