04-iGMM-code,02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
aapl,aapl,aapl,aapl,aapl,car
xom,msft,msft,msft,msft,viv
rog,2222,2222,2222,2222,9020
hd,goog,goog,goog,goog,twlo
pfe,amzn,amzn,amzn,amzn,2308
600519,tsla,tsla,tsla,tsla,pow
bac,brk.a,brk.a,brk.a,brk.a,expe
cvx,nvda,nvda,nvda,nvda,crda
ma,meta,meta,meta,meta,cpng
mc,2330,2330,2330,2330,mplx
005930,unh,unh,unh,unh,nwg
pg,v,v,v,v,dd
jpm,jnj,jnj,jnj,jnj,hpq
wmt,0700,0700,0700,700,7267
0700,wmt,wmt,wmt,wmt,mqg
jnj,jpm,jpm,jpm,jpm,gm
dhr,pg,pg,pg,pg,ew
mrk,005930,005930,005930,5930,zurn
bhp,mc,mc,mc,mc,team
nke,ma,ma,ma,ma,tjx
abt,bac,bac,bac,bac,ice
vz,rog,rog,rog,rog,cnq
cmcsa,xom,xom,xom,xom,tfc
acn,600519,600519,600519,600519,regn
or,hd,hd,hd,hd,gild
orcl,cvx,cvx,cvx,cvx,bdx
tmo,pfe,pfe,pfe,pfe,pnc
csco,abbv,abbv,abbv,abbv,lrcx
pep,9988,9988,9988,9988,so
dis,asml,asml,asml,asml,600028
601398,ko,ko,ko,ko,600900
novo.b,lly,lly,lly,lly,ker
intu,avgo,avgo,avgo,avgo,bmo
amd,cost,cost,cost,cost,8035
de,novo.b,novo.b,novo.b,novo.b,usb
san,601398,601398,601398,601398,el
pypl,dis,dis,dis,dis,cci
sap,pep,pep,pep,pep,nab
601318,csco,csco,csco,csco,hca
cvs,tmo,tmo,tmo,tmo,ai
cop,orcl,orcl,orcl,orcl,shop
hon,or,or,or,or,ci
tte,acn,acn,acn,acn,8306
0941,cmcsa,cmcsa,cmcsa,cmcsa,mu
hsba,vz,vz,vz,vz,mmc
601988,abt,abt,abt,abt,cme
amgn,nke,nke,nke,nke,glen
low,bhp,bhp,bhp,bhp,bam.a
lfc,mrk,mrk,mrk,mrk,bx
air,dhr,dhr,dhr,dhr,bns
pbr,se,shel,shel,shel,duk
alv,uber,novn,novn,novn,mmm
cb,mco,azn,azn,azn,csl
dai,7974,intc,intc,intc,zts
ge,pxd,wfc,wfc,wfc,vulc
el,etn,adbe,adbe,adbe,9618
spgi,adi,crm,crm,crm,mdlz
syk,fis,ups,ups,ups,mrk
bats,san,601939,601939,601939,dte
mo,hlag,mcd,mcd,mcd,su
9432,adyen,600036,600036,600036,enb
2010,atco.a,300750,300750,300750,cnr
002594,0883,unp,unp,unp,bkng
chtr,ntr,t,t,t,601088
ew,sq,qcom,qcom,qcom,bp.
zurn,dpwa,txn,txn,txn,adp
team,9999,bmy,bmy,bmy,met
tjx,0388,prx,prx,prx,dsy
ice,cof,lin,lin,lin,ppwlm
cnq,emr,nee,nee,nee,bsx
tfc,panw,601288,601288,601288,fdx
regn,anz,tmus,tmus,tmus,4063
gild,rkt,ms,ms,ms,maersk.b
bdx,9633,nflx,nflx,nflx,000660
pnc,7010,ry,ry,ry,4661
lrcx,scco,schw,schw,schw,snow
so,300760,pm,pm,pm,exc
600028,dg,mdt,mdt,mdt,cl
600900,wday,rtx,rtx,rtx,f
ker,rel,axp,axp,axp,nem
gm,mrvl,rms,rms,rms,eqix
met,apd,td,td,td,ibn
dsy,ri,601857,601857,601857,d05
ppwlm,slb,cba,cba,cba,601166
bsx,9mw,low,low,low,wm
fdx,itub,amgn,amgn,amgn,abbn
4063,epd,601988,601988,601988,wbc
maersk.b,603288,hsba,hsba,hsba,pgr
000660,8058,0941,0941,941,itw
4661,cm,tte,tte,tte,vrtx
snow,mar,hon,hon,hon,shw
exc,pdd,cop,cop,cop,bayn
cl,info,cvs,cvs,cvs,6098
f,1180,601318,601318,601318,ibe
nem,trp,sap,sap,sap,fisv
eqix,hum,pypl,pypl,pypl,sber
mqg,klac,san,san,san,ubsg
bmwb,601328,de,de,de,psa
601328,bmwb,amd,amd,amd,amxa
klac,mqg,intu,intu,intu,bnp
hum,6758,6758,6758,6758,enel
trp,rio,rio,rio,rio,d
1180,1299,1299,1299,1299,cs
info,lmt,lmt,lmt,lmt,gd
pdd,cat,cat,cat,cat,mrna
mar,abi,abi,abi,abi,aal
cm,eqnr,eqnr,eqnr,eqnr,shl
8058,cdi,cdi,cdi,cdi,eog
603288,pld,pld,pld,pld,bbca
epd,amat,amat,amat,amat,walmex
itub,antm,antm,antm,antm,fcx
9mw,ibm,ibm,ibm,ibm,nsc
7267,ulvr,ulvr,ulvr,ulvr,9433
payx,blk,blk,blk,blk,noc
cnc,hdb,hdb,hdb,hdb,aon
khc,dge,dge,dge,dge,bmwb
rop,amt,amt,amt,amt,601328
meli,sie,sie,sie,sie,klac
ilmn,3690,3690,3690,3690,hum
saf,6861,6861,6861,6861,trp
snps,gs,gs,gs,gs,1180
nvtk,tcl,tcl,tcl,tcl,info
ecl,itx,itx,itx,itx,pdd
601888,ba,ba,ba,ba,mar
2317,gsk,gsk,gsk,gsk,cm
fmg,c,c,c,c,8058
aep,vow3,vow3,vow3,vow3,603288
adm,sbux,sbux,sbux,sbux,epd
hpq,vale3,vale3,vale3,vale3,itub
601899,now,now,now,now,9mw
wipro,tgt,tgt,tgt,tgt,slb
207940,infy,infy,infy,infy,ri
8316,1120,1120,1120,1120,apd
cmg,abnb,abnb,abnb,abnb,mrvl
cdns,chtr,chtr,chtr,chtr,rel
