,index,address,est_of_ownership,hhid,industry,name,country,sic_code,type
0,0,"viale regina margherita 137, roma, 00198, roma, italy",1962,h-it0031426662,"finance, insurance, and real estate",enel spa,italy,holding company (6719),corporation
1,1,"via giambologna 1, pioltello, 20096, milano, italy",1957,h-it0068388950,retail trade,esselunga spa,italy,ret mail-order house (5961),corporation
2,2,"via vittor pisani 20, milano, 20124, milano, italy",2019,h-it0289899385,"finance, insurance, and real estate",superit srl,italy,holding company (6719),corporation
3,3,"galleria passarella 2, milano, 20122, milano, italy",1962,h-it0018414451,manufacturing,saras spa,italy,petroleum refiner (2911),corporation
4,4,"piazza gae aulenti 3 tower a, milano, 20154, milano, italy",1870,h-it0009571558,"finance, insurance, and real estate",unicredit spa,italy,national commercial bank (6021),corporation
5,5,"viale ungheria 46, milano, 20138, milano, italy",2020,h-it0587927934,services,send to me srl,italy,computer related services (7379),corporation
6,6,"corso inghilterra 3, torino, 10138, torino, italy",1980,h-it0075504235,"finance, insurance, and real estate",intesa sanpaolo vita spa,italy,life insurance carrier (6311),corporation
7,7,"via stalingrado 45, bologna, 40128, bologna, italy",1921,h-it0009030107,"finance, insurance, and real estate",unipolsai assicurazioni spa,italy,insurance carrier (6399),corporation
8,8,"via rombon 11, milano, 20134, milano, italy",2004,h-it0074190970,wholesale trade,totalenergies petrochemicals & refining sa nv,italy,whol chemicals/products (5169),foreign company
9,9,"piazza minghetti 4/d, bologna, 40124, bologna, italy",2007,h-it0002023660,"finance, insurance, and real estate",sanastera spa,italy,holding company (6719),corporation
10,10,"viale carlo berti pichat 2/4, bologna, 40127, bologna, italy",1925,h-it0074735071,"transportation, communications, electric, gas, and sanitary services",hera spa,italy,water supply service (4941),corporation
11,11,"viale cassala 57, milano, 20143, milano, italy",1891,h-it0009235574,wholesale trade,esso italiana srl,italy,whol petroleum products (5172),corporation
12,12,"viale europa 190, roma, 00144, roma, italy",1861,h-it0072035536,"transportation, communications, electric, gas, and sanitary services",poste italiane spa,italy,u.s. postal service (4311),corporation
13,13,"corso di porta vittoria 4, milano, 20122, milano, italy",1996,h-it0072707569,"transportation, communications, electric, gas, and sanitary services",a2a spa,italy,electric services (4911),corporation
14,14,"viale dell'innovazione 3, milano, 20126, milano, italy",2002,h-it0073209457,"finance, insurance, and real estate",arrow electronics emeasa srl,italy,holding company (6719),corporation
15,15,"foro buonaparte 31, milano, 20121, milano, italy",1994,h-it0012735906,"finance, insurance, and real estate",edison spa,italy,holding company (6719),corporation
16,16,"piazza della croce rossa 1, roma, 00161, roma, italy",1992,h-it0056073372,"finance, insurance, and real estate",ferrovie dello stato italiane spa,italy,holding company (6719),corporation
