,column_name,cluster
0,ambitiobox-name,0
1,ambitiobox-industry,32
2,ambitiobox-headquarter,31
3,ambitiobox-ownership,29
4,ambitiobox-foundation_year,1
5,ariregister-url,35
6,ariregister-id,9
7,ariregister-name,16
8,ariregister-code,14
9,ariregister-legal_form,37
10,ariregister-status,0
11,ariregister-registration_date,6
12,ariregister-capital,36
13,ariregister-address,17
14,ariregister-deletion_date,6
15,cbinsights-valuation,4
16,cbinsights-totalraised,26
17,cbinsights-city,29
18,cbinsights-founded,24
19,cbinsights-country,3
20,cbinsights-stage,37
21,cbinsights-investors,21
22,cbinsights-datejoined,6
23,cbinsights-name,29
24,cbinsights-industry,5
25,companiesmarketcap-id,34
26,companiesmarketcap-employees,9
27,companiesmarketcap-pricecap,4
28,companiesmarketcap-revenue,4
29,companiesmarketcap-earnings,4
30,companiesmarketcap-name,0
31,companiesmarketcap-change_1day,18
32,companiesmarketcap-change_1year,18
33,companiesmarketcap-share_price,4
34,companiesmarketcap-url,13
35,companiesmarketcap-company_code,29
36,companiesmarketcap-rank,28
37,companiesmarketcap-country,3
38,companiesmarketcap-shares,8
39,companiesmarketcap-categories,5
40,disfold-founded,34
41,disfold-headquarters_country,29
42,disfold-employees,34
43,disfold-industry,0
44,disfold-link,27
45,disfold-rank,9
46,disfold-headquarters,37
47,disfold-official_name,31
48,disfold-sector,32
49,disfold-market_cap,26
50,disfold-ceo,31
51,disfold-country,3
52,disfold-id,16
53,disfold-revenue,12
54,disfold-net_income,26
55,disfold-name,31
56,disfold-gbp,26
57,disfold-stock,36
58,disfold-headquarters_continent,3
59,disfold-categories,7
60,forbes-ceo,37
61,forbes-founded,1
62,forbes-employees,9
63,forbes-sales,4
64,forbes-assets,4
65,forbes-market_value,4
66,forbes-profit,4
67,forbes-industry,5
68,forbes-name,0
69,forbes-country,3
70,forbes-link,22
71,ft-employees_number_2017,9
72,ft-employees_number_2020,9
73,ft-sector,32
74,ft-revenue_2017_eu,9
75,ft-name,0
76,ft-country,3
77,ft-link,10
78,ft-revenue_2020_eu,26
79,ft-compound_annual_growth_rate_cagr_pct,9
80,ft-founding_year,1
81,ft-absolute_growth_rate_pct,9
82,globaldata-name,25
83,globaldata-headquarters,3
84,globaldata-number_of_employees,2
85,globaldata-address,33
86,globaldata-industry,32
87,globaldata-website,10
88,globaldata-market_cap,4
89,globaldata-telephone,11
90,globaldata-revenue,4
91,govuk-company_number,2
92,govuk-name,31
93,govuk-office_address,21
94,govuk-dissolution_date,20
95,govuk-registration_date,20
96,govuk-registered_office_address,21
97,govuk-incorporation_date,20
98,govuk-url,15
99,govuk-id,2
100,govuk-company_type,37
101,govuk-company_status,29
102,hithorizons-Unnamed: 0,9
103,hithorizons-id,19
104,hithorizons-name,31
105,hithorizons-address,21
106,hithorizons-nation,3
107,hithorizons-hhid,19
108,hithorizons-industry,5
109,hithorizons-sic_code,36
110,hithorizons-type,29
111,hithorizons-est_of_ownership,1
112,infoclipper-index,2
113,infoclipper-url,35
114,infoclipper-name,31
115,infoclipper-trade_name,0
116,infoclipper-address_name,25
117,infoclipper-postalcode,30
118,infoclipper-city,29
119,infoclipper-state,3
120,infoclipper-country,3
121,infoclipper-location_type,29
122,teamblind-name,37
123,teamblind-website,29
124,teamblind-locations,37
125,teamblind-size,20
126,teamblind-industry,32
127,teamblind-founded,1
128,valuetoday-name,31
129,valuetoday-employees_number,9
130,valuetoday-facebook_page_url,10
131,valuetoday-twitter_page_url,10
132,valuetoday-industry,38
133,valuetoday-link,22
134,valuetoday-id,19
135,valuetoday-ceo,37
136,valuetoday-country,3
137,valuetoday-world_rank,2
138,valuetoday-company_website,10
139,valuetoday-headquarters_region_city,29
140,valuetoday-headquarters_sub_region,37
141,valuetoday-headquarters_continent,29
142,valuetoday-rank,9
143,valuetoday-wikipedia_page_url,22
144,valuetoday-annual_results_for_year_ending,16
145,valuetoday-employees_2022,2
146,valuetoday-sector,32
147,valuetoday-market_value_jan_2020,26
148,valuetoday-market_value_jan_2021,26
149,valuetoday-annual_revenue_usd,26
150,valuetoday-annual_net_income_usd,4
151,valuetoday-founded,1
152,valuetoday-founders,23
153,valuetoday-revenue,26
154,valuetoday-market_capitalization_2022,26
155,valuetoday-total_assets_in_usd,26
156,valuetoday-total_equity_in_usd,26
157,valuetoday-total_liabilities_in_usd,26
158,wikipedia-founded,1
159,wikipedia-area_served,23
160,wikipedia-notes,5
161,wikipedia-name,0
162,wikipedia-headquarters,29
163,wikipedia-industry,32
