,name,precision,recall,f1,jaccard,avg comp inutili
0,name,0.05263157894736842,1.0,0.1,0.1,9
1,country,0.25,0.6666666666666666,0.36363636363636365,0.3333333333333333,3
2,address,1.0,0.5,0.6666666666666666,0.5,0
3,founded,1.0,1.0,1.0,1.0,0
4,employees,0.17647058823529413,0.6,0.2727272727272727,0.25,7
5,market_cap,0.17647058823529413,0.75,0.2857142857142857,0.2727272727272727,7
6,revenue,0.1111111111111111,0.5,0.1818181818181818,0.16666666666666666,8
7,profit,0.17647058823529413,1.0,0.3,0.3,7
8,categories,0.6,1.0,0.7499999999999999,0.75,1
9,ceo,0.05263157894736842,1.0,0.1,0.1,9
