,market_cap,revenue,net_income,gbp
0,doll_2825.0 b,0,0,0
1,doll_20.803 b,0,0,0
2,doll_21.038 b,0,0,0
3,doll_28.166000000000004 b,0,0,doll_21.125 b
4,doll_21.36 b,0,0,0
5,doll_21.502000000000002 b,0,0,0
6,doll_21.668 b,0,0,0
7,doll_21.89 b,0,0,0
8,doll_21.903 b,0,0,0
9,doll_20.384999999999998 b,0,0,doll_22.524 b
10,doll_22.818 b,0,0,0
11,doll_23.615000000000002 b,0,0,0
12,doll_23.845 b,0,0,0
13,doll_24.105 b,0,0,0
14,doll_24.788 b,0,0,0
15,doll_1593.0 b,0,0,doll_25.037 b
16,doll_1731.0 b,0,0,doll_25.724 b
17,doll_25.814999999999998 b,0,0,0
18,doll_26.526999999999997 b,0,0,0
19,doll_27.301 b,0,0,0
20,doll_27.32 b,0,0,0
21,doll_24.830000000000002 b,0,0,doll_27.435000000000002 b
22,doll_2275.0 b,0,0,doll_29.04 b
23,doll_29.427 b,0,0,0
24,doll_30.079 b,0,0,0
25,doll_31.512999999999998 b,0,0,0
26,doll_32.147000000000006 b,0,0,0
27,doll_2216.0 b,0,0,doll_34.822 b
28,doll_34.872 b,0,0,0
29,doll_32.352 b,0,0,doll_34.95 b
30,doll_35.083999999999996 b,0,0,0
31,doll_35.86 b,0,0,0
32,doll_32.515 b,0,0,doll_35.926 b
33,doll_461587.0 b,0,0,doll_37.835 b
34,doll_38.46 b,0,0,0
35,doll_41.083999999999996 b,0,0,0
36,doll_42.905 b,0,0,0
37,doll_3456.0 b,0,0,doll_44.117000000000004 b
38,doll_47.593 b,0,0,0
39,doll_48.677 b,0,0,0
40,doll_48.852 b,0,0,0
41,doll_15140.0 b,0,0,doll_52.789 b
42,doll_61.75 b,0,0,0
43,doll_66.038 b,0,0,0
44,doll_79.84700000000001 b,0,0,0
45,doll_1016.0 b,0,0,0
46,doll_1642.0 b,0,0,0
47,doll_1825.0 b,0,0,0
48,doll_8615.0 b,0,0,doll_2297.0 b
49,doll_2328.0 b,0,0,0
50,doll_15.106 b,0,0,0
51,doll_15.471 b,0,0,0
52,doll_15.806000000000001 b,0,0,0
53,doll_19.996000000000002 b,0,0,doll_15.974 b
54,doll_16.319 b,0,0,0
55,doll_16.405 b,0,0,0
56,doll_16.431 b,0,0,0
57,doll_1050.0 b,0,0,doll_16.5 b
58,doll_16.553 b,0,0,0
59,doll_16.607 b,0,0,0
60,doll_15.386000000000001 b,0,0,doll_17.0 b
61,doll_17.056 b,0,0,0
62,doll_17.128 b,0,0,0
63,doll_17.225 b,0,0,0
64,doll_17.588 b,0,0,0
65,doll_18.419 b,0,0,0
66,doll_1181.0 b,0,0,doll_18.567 b
67,doll_1183.0 b,0,0,doll_18.598 b
68,doll_18.657 b,0,0,0
69,doll_1205.0 b,0,0,doll_18.937 b
70,doll_19.05 b,0,0,0
71,doll_19.380000000000003 b,0,0,0
72,doll_19.957 b,0,0,0
73,doll_20.000999999999998 b,0,0,0
74,doll_20.172 b,0,0,0
75,doll_15.384 b,0,0,doll_20.175 b
76,doll_18.895 b,0,0,doll_20.413 b
77,doll_15.836000000000002 b,0,0,doll_20.768 b
78,doll_12.677 b,0,0,0
79,doll_12.828999999999999 b,0,0,0
80,doll_13.031 b,0,0,0
81,doll_11.973 b,0,0,doll_13.229 b
82,doll_13.392 b,0,0,0
83,doll_12.145 b,0,0,doll_13.419 b
84,doll_85.425 b,0,0,doll_13.425 b
85,doll_13.527000000000001 b,0,0,0
86,doll_13.632 b,0,0,0
87,doll_13.648 b,0,0,0
88,doll_12.445 b,0,0,doll_13.75 b
89,doll_1091.0 b,0,0,doll_13.930000000000001 b
90,doll_10.687000000000001 b,0,0,doll_14.015 b
91,doll_89.861 b,0,0,doll_14.122 b
92,doll_14.172 b,0,0,0
93,doll_14.377 b,0,0,0
94,doll_19.241999999999997 b,0,0,doll_14.431999999999999 b
95,doll_91.947 b,0,0,doll_14.45 b
96,doll_18.202 b,0,0,doll_14.541 b
97,doll_13.484 b,0,0,doll_14.898 b
98,doll_15.075999999999999 b,0,0,0
99,doll_15.096 b,0,0,0
100,doll_9.731 b,0,0,0
101,doll_8.815999999999999 b,0,0,doll_9.741 b
102,doll_9.837 b,0,0,0
103,doll_8.912 b,0,0,doll_9.847 b
104,doll_9.857 b,0,0,0
105,doll_8.686 b,0,0,doll_9.879000000000001 b
106,doll_9.922 b,0,0,0
107,doll_10.016 b,0,0,0
108,doll_10.084 b,0,0,0
109,doll_10.141 b,0,0,0
110,doll_7.734999999999999 b,0,0,doll_10.144 b
111,doll_10.298 b,0,0,0
112,doll_12711.0 b,0,0,doll_10.375 b
113,doll_39.012 b,0,0,doll_10.4 b
114,doll_66.44500000000001 b,0,0,doll_10.442 b
115,doll_10.497 b,0,0,0
116,doll_10.507 b,0,0,0
117,doll_39.900999999999996 b,0,0,doll_10.637 b
118,doll_10.677 b,0,0,0
119,doll_10.689 b,0,0,0
120,doll_10.799 b,0,0,0
121,doll_50.313 b,0,0,doll_10.799 b
122,doll_10.818999999999999 b,0,0,0
123,doll_9.831999999999999 b,0,0,doll_10.863 b
124,doll_10.956 b,0,0,0
125,doll_8.387 b,0,0,doll_10.998000000000001 b
126,doll_11.046 b,0,0,0
127,doll_9.541 b,0,0,doll_11.065000000000001 b
128,doll_14.772 b,0,0,doll_11.079 b
129,doll_11.270999999999999 b,0,0,0
130,doll_13868.0 b,0,0,doll_11.32 b
131,doll_89.527 b,0,0,doll_11.428 b
132,doll_10.376999999999999 b,0,0,doll_11.466 b
133,doll_11.511 b,0,0,0
134,doll_8.812999999999999 b,0,0,doll_11.558 b
135,doll_11.568000000000001 b,0,0,0
136,doll_11.598 b,0,0,0
137,doll_8.986 b,0,0,doll_11.784 b
138,doll_11.92 b,0,0,0
139,doll_11.98 b,0,0,0
140,doll_12.112 b,0,0,0
141,doll_12.120000000000001 b,0,0,0
142,doll_11.051 b,0,0,doll_12.211 b
143,doll_1074.0 b,0,0,doll_12.274 b
144,doll_12.359 b,0,0,doll_12.359 b
145,doll_12.413 b,0,0,0
146,doll_12.498000000000001 b,0,0,0
147,doll_98.048 b,0,0,doll_12.516 b
148,doll_9.596 b,0,0,doll_12.584 b
149,doll_15514.0 b,0,0,doll_12.664 b
150,doll_9754.0 b,0,0,doll_7.962000000000001 b
151,doll_8.016 b,0,0,0
152,doll_7.284999999999999 b,0,0,doll_8.049 b
153,doll_8.092 b,0,0,0
154,doll_10.803 b,0,0,doll_8.103 b
155,doll_8.26 b,0,0,0
156,doll_7.534000000000001 b,0,0,doll_8.324 b
157,doll_10.49 b,0,0,doll_8.379999999999999 b
158,doll_8.467 b,0,0,0
159,doll_8.503 b,0,0,0
160,doll_8.649 b,0,0,0
161,doll_8.716 b,0,0,0
162,doll_8.717 b,0,0,0
