,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
0,,,doll_394.330 m,doll_99.803 m,,,doll_352.760 m,doll_50.672 m,doll_302.080 m
1,,,doll_55.306 m,doll_20.783 m,,,doll_129.800 m,doll_75.543 m,doll_54.253 m
2,,,doll_26.914 m,doll_9.752 m,,,doll_44.187 m,doll_26.612 m,doll_17.575 m
3,,,doll_354.640 m,doll_89.795 m,,,doll_956.780 m,doll_514.930 m,doll_443.850 m
4,,,doll_117.930 m,doll_39.370 m,,,doll_165.990 m,doll_124.880 m,doll_41.108 m
5,,,doll_53.823 m,doll_5.519 m,,,doll_62.131 m,doll_30.189 m,doll_31.942 m
6,,,doll_469.820 m,doll_33.364 m,,,doll_420.550 m,doll_138.240 m,doll_282.300 m
7,,,doll_257.640 m,doll_76.003 m,,,doll_359.270 m,doll_251.640 m,doll_107.630 m
8,,,doll_400.460 m,doll_105.380 m,,,doll_576.700 m,doll_296.860 m,doll_279.840 m
9,,,doll_198.270 m,doll_72.738 m,,,doll_364.840 m,doll_166.540 m,doll_198.300 m
10,,,doll_572.750 m,doll_13.673 m,,,doll_244.860 m,doll_91.891 m,doll_152.970 m
11,,,doll_89.110 m,doll_30.550 m,,,doll_3.169.900 m,doll_270.070 m,doll_2.899.900 m
12,,,doll_70.765 m,doll_13.264 m,,,doll_138.090 m,doll_51.925 m,doll_86.168 m
13,,,doll_151.160 m,doll_16.433 m,,,doll_71.876 m,doll_-1.696 m,doll_73.572 m
14,,,doll_285.270 m,doll_17.280 m,,,doll_212.210 m,doll_75.045 m,doll_137.160 m
15,,,doll_229.280 m,doll_32.180 m,,,doll_349.830 m,doll_242.920 m,doll_106.910 m
16,,,doll_93.770 m,doll_20.870 m,,,doll_182.020 m,doll_74.023 m,doll_108.000 m
17,,,doll_24.100 m,doll_12.310 m,,,doll_82.896 m,doll_37.589 m,doll_45.307 m
18,,,doll_121.640 m,doll_46.500 m,,,doll_3.743.600 m,doll_294.130 m,doll_3.449.400 m
19,,,doll_87.995 m,doll_35.320 m,,,doll_253.300 m,doll_126.670 m,doll_126.630 m
20,,,doll_80.187 m,doll_14.461 m,,,doll_117.210 m,doll_46.854 m,doll_70.354 m
21,,,doll_67.410 m,doll_1.990 m,,,doll_203.610 m,doll_93.011 m,doll_110.540 m
22,,,doll_285.640 m,doll_23.040 m,,,doll_332.750 m,doll_157.150 m,doll_175.600 m
23,,,doll_20.509 m,doll_6.760 m,,,doll_35.408 m,doll_13.051 m,doll_22.356 m
24,,,doll_81.288 m,doll_21.980 m,,,doll_154.230 m,doll_63.238 m,doll_90.991 m
25,,,doll_124.140 m,doll_9.016 m,,,doll_246.740 m,doll_157.480 m,doll_89.257 m
26,,,doll_66.757 m,doll_14.808 m,,,doll_98.133 m,doll_26.032 m,doll_72.101 m
27,,,doll_18.880 m,doll_8.680 m,,,doll_37.669 m,doll_7.383 m,doll_30.286 m
28,,,doll_92.575 m,doll_17.970 m,,,doll_147.910 m,doll_56.488 m,doll_91.420 m
29,,,doll_15.929 m,doll_7.634 m,,,doll_37.133 m,doll_28.662 m,doll_8.471 m
30,,,doll_15.785 m,doll_4.822 m,,,doll_27.241 m,doll_14.797 m,doll_12.444 m
31,,,doll_28.318 m,doll_5.581 m,,,doll_46.633 m,doll_5.641 m,doll_40.807 m
32,,,doll_46.710 m,doll_6.046 m,,,doll_40.321 m,doll_15.281 m,doll_25.040 m
33,,,doll_35.580 m,doll_5.066 m,,,doll_47.400 m,doll_25.991 m,doll_21.409 m
34,,,doll_138.160 m,doll_51.206 m,,,doll_5.238.500 m,doll_454.570 m,doll_4.783.900 m
35,,,doll_6.866 m,doll_18.733 m,,,doll_71.338 m,doll_50.523 m,doll_20.815 m
36,,,doll_27.450 m,doll_6.437 m,,,doll_75.570 m,doll_24.989 m,doll_50.581 m
37,,,doll_51.557 m,doll_11.812 m,,,doll_94.002 m,doll_39.773 m,doll_54.229 m
38,,,doll_38.655 m,doll_9.771 m,,,doll_94.354 m,doll_22.999 m,doll_71.355 m
39,,,doll_228.980 m,doll_20.797 m,,,doll_493.920 m,doll_198.150 m,doll_295.780 m
40,,,doll_42.440 m,doll_6.717 m,,,doll_109.300 m,doll_-5.768 m,doll_115.060 m
41,,,doll_50.533 m,doll_5.906 m,,,doll_43.175 m,doll_19.529 m,doll_23.646 m
42,,,doll_195.920 m,doll_5.007 m,,,doll_59.268 m,doll_18.078 m,doll_41.190 m
43,,,doll_56.197 m,doll_11.542 m,,,doll_146.530 m,doll_15.408 m,doll_131.120 m
44,,,doll_39.211 m,doll_7.725 m,,,doll_94.791 m,122 million usd,doll_94.669 m
45,,,doll_103.000 m,,,,,,
46,,,doll_29.697 m,doll_5.116 m,,,doll_44.584 m,doll_15.849 m,doll_28.735 m
47,,,doll_43.075 m,doll_7.071 m,,,doll_75.196 m,doll_35.802 m,doll_39.394 m
48,,,doll_79.470 m,doll_7.610 m,,,doll_92.377 m,doll_16.043 m,doll_76.334 m
49,,,doll_155.600 m,doll_15.620 m,,,doll_239.790 m,doll_131.690 m,doll_108.100 m
50,,,doll_20.838 m,doll_7.068 m,,,doll_28.787 m,doll_10.470 m,doll_18.317 m
51,,,doll_48.700 m,doll_13.040 m,,,doll_91.588 m,doll_25.404 m,doll_66.184 m
52,,,doll_29.453 m,doll_7.465 m,,,doll_83.184 m,doll_45.177 m,doll_38.007 m
53,,,doll_79.020 m,doll_19.860 m,,,doll_168.410 m,doll_95.391 m,doll_73.015 m
54,,,doll_78.492 m,doll_21.548 m,,,doll_1.948.100 m,doll_187.610 m,doll_1.760.500 m
