04-iGMM-selectinvestors,01-DDD-investors
"sequoia capital china, sig asia investments, sina weibo, softbank group","sutter hill ventures, liberty global ventures, coatue management"
"founders fund, draper fisher jurvetson, rothenberg ventures","01 advisors, zeev ventures, group 11"
"tiger global management, sequoia capital china, shunwei capital partners","new enterprise associates, t. rowe associates, lightbank"
"khosla ventures, lowercasecapital, capitalg","andreessen horowitz, founders fund, revolution ventures"
"sequoia capital china, blackbird ventures, matrix partners","didi chuxing, diamler, tmt investments"
"tiger global management, insight partners, dst global","sequoia capital china, sig asia investments, sina weibo, softbank group"
"khosla ventures, kleiner perkins caufield & byers, collaborative fund","nintendo, google, pokemon company international, spark capital"
"andreessen horowitz, new enterprise associates, battery ventures","softbank group, sequoia capital india,lightspeed india partners"
"index ventures, dst global, ribbit capital","dst global, softbank group, mountain nazca"
"tencent holdings, kkr, smash ventures","global founders capital, nortzone ventures, picus capital"
"sequoia capital, thoma bravo, softbank","summit partners, accel, astral capital"
"softbank group, andreessen horowitz, temasek holdings","target global, general catalyst, durable capital partners"
"forerunner ventures, crosslink capital, homebrew","softbank group, greylock partners, gaorong capital"
"tencent holdings, lightspeed india partners, sequoia capital india","andreessen horowitz, nor-cal invest, tpg growth"
"ggv capital, zhenfund, tencent","sequoia capital china, idg capital, dcm ventures"
"hillhouse capital management, boyu capital, sequoia capital china","american express ventures, goldman sachs, bain capital credit"
"accel, altair capital, technology crossover ventures","addition, benhcmark, accel"
"tencent holdings, warbug pincus, idg capital","redalpine venture partners, earlybird venture capital, valar ventures"
"accel partners, sequoia capital","sequoia capital china, tencent investment, ba capital"
"benchmark, greylock partners, tencent holdings","bessemer venture partners, iconiq capital, battery ventures"
"accel, softbank group, anthos capital","idg capital, matrix partners china, jump crypto"
"sequoia capital china, longfor capitalm, gaorong capital","upper90, riverpark ventures, advent international"
"idg capital, venture51, lightspeed venture partners","sequoia capital china, gx capital"
"lightspeed venture partners, google ventures, lakestar","y combinator, sequoia capital, coatue management"
"new enterprise associates, spar capital, index ventures","andreessen horowitz, lightspeed venture partners, zeev ventures"
"andreessen horowitz, thirty five ventures, sound ventures","ribbit capital, capitalg, softbank group"
"accel, 83north","eclipse ventures, d1 capital partners, industry ventures"
"general catalyst, institutional venture partners, breyer capital","djf, salesforce ventures, storm ventures"
"andreessen horowitz, f-prime capital, venrock","google ventures, accel, data collective"
"khosla ventures, forerunner ventures, sequoia capital","vattenfall, volkswagen group, goldman sachs"
"dst global, ribbit capital, greenoaks capital management","gaja capital partners, stakeboat capital, westbridge capital"
tiger global management,"boost vc, draper associates, gaingels"
"coatue management, sequoia capital china, idg capital","bain capital ventures, splunk ventures, cisco investments"
"vickers venture partners, ikea greentech","general catalyst, kleiner perkins caufield & byers, lightspeed venture partners"
"new enterprise associates, bdt capital partners, davidson kempner capital management","bain capital ventures, splunk ventures, cisco investments"
"kkr, tencent holdings, sequoia capital china","hyde park venture partners, bain capital ventures, hyde park angels"
"andreessen horowitz, spark capital, y combinator","kkr, es ventures, north bridge growth equity"
"tiger global management, sequoia capital, revo capital",spark capital
"caffeinated capital, crv, founder collective",amf pensionsforsakring
"ltw capital, legend capital, qualcomm ventures","homebrew, inspired capital, tiger global management"
