00-avengers-name,01-DDD-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,09-wissel-name
apple,apple,apple,apple,apple,apple,apple,vertex pharmaceuticals
bristol-myers squibb,unilever,saudi aramco,saudi aramco,mcdonald,microsoft,saudi aramco,verano holdings
wells fargo,aia,microsoft,microsoft,t-mobile us,saudi aramco,microsoft,azz
nike,lowe's companies,alphabet (google),alphabet (google),toyota,alphabet (google),alphabet (google),f.n.b. corporation
walt disney,rwe,amazon,amazon,cisco,amazon,amazon,quanex building products
abbott laboratories,axa,berkshire hathaway,berkshire hathaway,danaher,berkshire hathaway ,berkshire hathaway,sensient technologies
accenture,meituan,visa,johnson & johnson,novartis,unitedhealth,tencent,cts corporation
t-mobile us,deere & company,exxon mobil,visa,abbott laboratories,tesla,visa,amn healthcare services
novartis,shin-etsu chemical,tencent,unitedhealth,l'oréal,johnson & johnson,tsmc,ashland
toyota,bank of china,unitedhealth,exxon mobil,icbc,visa,exxon mobil,graco
danaher,dynatrace,johnson & johnson,tencent,broadcom,nvidia,unitedhealth,horizon global
mcdonald,union pacific corporation,tsmc,tsmc,costco,exxon mobil,nvidia,penumbra
icbc,general motors,lvmh,jpmorgan chase,oracle,tsmc,johnson & johnson,churchill downs
l'oréal,novocure,nvidia,lvmh,astrazeneca,tencent,lvmh,integra lifesciences
cisco,ocbc bank,jpmorgan chase,walmart,shell,walmart,tesla,standex
shell,skandinaviska enskilda banken,walmart,nvidia,reliance industries,jpmorgan chase,jpmorgan chase,conmed
costco,wpp,tesla,procter & gamble,lowe's companies,lvmh,walmart,construction partners
astrazeneca,centrais electricas brasileiras,mastercard,tesla,hdfc bank,procter & gamble,meta platforms (facebook),h&r block
thermo fisher scientific,link reit,meta platforms (facebook),mastercard,lockheed martin,eli lilly,mastercard,blackstone group
broadcom,match group,kweichow moutai,eli lilly,aia,mastercard,chevron,grid dynamics
reliance industries,spring airlines,procter & gamble,chevron,petrochina,home depot,kweichow moutai,strategic education
oracle,axon enterprise,eli lilly,meta platforms (facebook),elevance health,chevron,procter & gamble,coinbase
asml,jde peet's,chevron,kweichow moutai,unilever,nestlé,samsung,pinterest
alibaba,advanced drainage systems,nestlé,nestlé,sap,meta platforms (facebook),nestlé,spire energy
merck,antofagasta,home depot,home depot,union pacific corporation,kweichow moutai,eli lilly,leslie's
coca-cola,uwm holdings,samsung,novo nordisk,salesforce,pfizer,home depot,aspentech
roche,nippon yå«sen,alibaba,samsung,cm bank,samsung,novo nordisk,moderna
novo nordisk,qantas airways,novo nordisk,abbvie,ibm,novo nordisk,alibaba,ryan specialty group
abbvie,seagate technology,merck,merck,qualcomm,abbvie,merck,healthequity
pfizer,endeavor group,bank of america,pfizer,deere & company,merck,asml,ribbon communications
kweichow moutai,viper energy partners,abbvie,alibaba,royal bank of canada,coca-cola,bank of america,e2open
bank of america,mapletree commercial trust,pfizer,bank of america,prosus,roche,abbvie,grand canyon education
nestlé,convatec group,asml,coca-cola,meituan,bank of america ,roche,calavo growers
meta platforms (facebook),firstservice,coca-cola,roche,cvs health,pepsico,coca-cola,groupon
samsung,unimicron,roche,pepsico,netflix,asml,pfizer,rogers corporation
home depot,soitec,international holding company,broadcom,at&t,alibaba,international holding company,sunpower
chevron,engie brasil,broadcom,asml,dior,broadcom,broadcom,interface
mastercard,nutanix,pepsico,oracle,conocophillips,thermo fisher scientific,oracle,cable one
procter & gamble,turkcell,oracle,astrazeneca,agricultural bank of china,oracle,thermo fisher scientific,stonex group
eli lilly,samvardhana motherson,thermo fisher scientific,icbc,ping an insurance,astrazeneca,l'oréal,aci worldwide
tencent,bosch india,astrazeneca,costco,3m,costco,icbc,hancock whitney
lvmh,mirvac group,icbc,thermo fisher scientific,china yangtze power,reliance industries,astrazeneca,liberty energy
walmart,mdu resources,l'oréal,reliance industries,humana,icbc,costco,dynatrace
jpmorgan chase,hanover insurance group,costco,shell,iberdrola,cisco,shell,insperity
nvidia,nippon prologis reit,shell,l'oréal,moderna,mcdonald,reliance industries,one gas
tsmc,blackline,reliance industries,novartis,air products and chemicals,l'oréal,toyota,blackbaud
exxon mobil,escorts limited,cisco,cisco,mercedes-benz,danaher,danaher,hibbett sports
visa,denali therapeutics,nike,mcdonald,becton dickinson,shell,novartis,atlas technical consultants
johnson & johnson,first international bank of israel,danaher,abbott laboratories,zoetis,novartis,mcdonald,manhattan associates
tesla,fomento de construcciones y contratas,abbott laboratories,nike,zurich insurance group,toyota,abbott laboratories,smart global holdings
unitedhealth,fabrinet,mcdonald,toyota,target,abbott laboratories,nike,viavi solutions
berkshire hathaway,howard hughes corporation,novartis,t-mobile us,schlumberger,accenture,cisco,hawaiian electric industries
amazon,agl energy,toyota,danaher,mitsubishi ufj financial,t-mobile us,hermès,prosperity bancshares
microsoft,affirm,t-mobile us,verizon,petrobras,nike,walt disney,audacy
alphabet (google),olaplex,hermès,hermès,sinopec,nextera energy,t-mobile us,alpha metallurgical resources
saudi aramco,bank mega,walt disney,walt disney,canadian pacific railway,walt disney,accenture,umb financial
toronto dominion bank,azenta,accenture,accenture,gazprom,hermès,bhp group,paysafe
hdfc bank,dairy farm,verizon,bhp group,compagnie financière richemont,linde,comcast,cresco labs
elevance health,tfs financial,bhp group,nextera energy,southern company,bristol-myers squibb,wells fargo,reinsurance group of america
goldman sachs,balchem,wells fargo,comcast,glaxosmithkline,wells fargo,verizon,trinet
petrochina,freedom holding,comcast,wells fargo,booking holdings (booking.com),texas instruments,china construction bank,the children's place
lockheed martin,kemira,nextera energy,china construction bank,eog resources,united parcel service,catl,evolent health
lowe's companies,the navigator company,linde,philip morris,air liquide,philip morris,prosus,conn's
prosus,sl green realty,china construction bank,texas instruments,duke energy,adobe,adobe,trimas
