05-MalPatSaj-market_value,07-silvestri-market_value_apr_2022,05-MalPatSaj-profit,08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-assets,05-MalPatSaj-sales
doll_741.48 b,doll_741.48 b,doll_89.8 b,doll_276.1 b,doll_276.09 b,doll_958.78 b,doll_276.09 b
doll_214.43 b,doll_214.43 b,doll_54.03 b,doll_208.1 b,doll_208.13 b,"doll_5,518.51 b",doll_208.13 b
"doll_2,292.08 b","doll_2,292.08 b",doll_105.36 b,doll_400.4 b,doll_400.38 b,doll_576.04 b,doll_400.38 b
doll_374.45 b,doll_374.45 b,doll_42.12 b,doll_124.5 b,doll_124.54 b,"doll_3,954.69 b",doll_124.54 b
doll_181.32 b,doll_181.32 b,doll_46.89 b,doll_202.1 b,doll_202.07 b,"doll_4,746.95 b",doll_202.07 b
"doll_1,468.4 b","doll_1,468.4 b",doll_33.36 b,doll_469.8 b,doll_469.82 b,doll_420.55 b,doll_469.82 b
"doll_2,640.32 b","doll_2,640.32 b",doll_100.56 b,doll_378.7 b,doll_378.7 b,doll_381.19 b,doll_378.7 b
doll_133.38 b,doll_133.38 b,doll_37.38 b,doll_181.4 b,doll_181.42 b,"doll_4,561.05 b",doll_181.42 b
doll_303.1 b,doll_303.1 b,doll_31 b,doll_96.8 b,doll_96.83 b,"doll_3,238.22 b",doll_96.83 b
doll_237.73 b,doll_237.73 b,doll_28.15 b,doll_281.7 b,doll_281.75 b,doll_552.46 b,doll_281.75 b
"doll_1,581.72 b","doll_1,581.72 b",doll_76.03 b,doll_257.5 b,doll_257.49 b,doll_359.27 b,doll_257.49 b
"doll_2,054.37 b","doll_2,054.37 b",doll_71.19 b,doll_184.9 b,doll_184.9 b,doll_340.39 b,doll_184.9 b
doll_117.83 b,doll_117.83 b,doll_33.57 b,doll_152.4 b,doll_152.43 b,"doll_4,192.84 b",doll_152.43 b
doll_367.26 b,doll_367.26 b,doll_34.27 b,doll_244.2 b,doll_244.16 b,doll_358.88 b,doll_244.16 b
doll_359.73 b,doll_359.73 b,doll_23.04 b,doll_280.5 b,doll_280.51 b,doll_338.92 b,doll_280.51 b
doll_211.1 b,doll_211.1 b,doll_20.27 b,doll_261.8 b,doll_261.76 b,doll_404.38 b,doll_261.76 b
doll_121.69 b,doll_121.69 b,doll_15.74 b,doll_181.4 b,doll_181.37 b,"doll_1,587.11 b",doll_181.37 b
doll_176.77 b,doll_176.77 b,doll_20.58 b,doll_84.1 b,doll_84.12 b,"doll_1,939.71 b",doll_84.12 b
doll_218.02 b,doll_218.02 b,doll_21.52 b,doll_134.3 b,doll_134.35 b,doll_366.6 b,doll_134.35 b
doll_141.79 b,doll_141.79 b,doll_17.33 b,doll_163 b,doll_163.03 b,doll_551.62 b,doll_163.03 b
doll_142.3 b,doll_142.3 b,doll_14.29 b,doll_380.3 b,doll_380.31 b,doll_392.6 b,doll_380.31 b
doll_490.15 b,doll_490.15 b,doll_17.45 b,doll_297.6 b,doll_297.55 b,doll_221.24 b,doll_297.55 b
doll_431.64 b,doll_431.64 b,doll_13.67 b,doll_572.8 b,doll_572.75 b,doll_244.86 b,doll_572.75 b
doll_167.32 b,doll_167.32 b,doll_18.58 b,doll_71.1 b,doll_71.07 b,"doll_1,451.2 b",doll_71.07 b
doll_82.4 b,doll_82.4 b,doll_17.54 b,doll_295.7 b,doll_295.73 b,doll_638.26 b,doll_295.73 b
doll_316.23 b,doll_316.23 b,doll_15.63 b,doll_156.3 b,doll_156.29 b,doll_239.53 b,doll_156.29 b
doll_101.48 b,doll_101.48 b,doll_18.23 b,doll_79.9 b,doll_79.94 b,"doll_2,394.11 b",doll_79.94 b
doll_414.28 b,doll_414.28 b,doll_34.94 b,doll_86.9 b,doll_86.86 b,doll_252.99 b,doll_86.86 b
doll_127.32 b,doll_127.32 b,doll_16.14 b,doll_185.1 b,doll_185.12 b,doll_293.46 b,doll_185.12 b
doll_125.53 b,doll_125.53 b,doll_11.33 b,doll_77.6 b,doll_77.61 b,"doll_1,975.08 b",doll_77.61 b
doll_147.05 b,doll_147.05 b,doll_17.97 b,doll_131.5 b,doll_131.49 b,doll_283.37 b,doll_131.49 b
doll_205.72 b,doll_205.72 b,doll_14.16 b,doll_116.4 b,doll_116.39 b,doll_275.9 b,doll_116.39 b
doll_237.78 b,doll_237.78 b,doll_10.17 b,doll_129.8 b,doll_129.76 b,doll_276.25 b,doll_129.76 b
