00-avengers-headquarters_continent,02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country
americas,usa,france,usa
asia,usa,switzerland,taiwan
americas,saudi arabia,switzerland,usa
americas,usa,netherlands,usa
americas,usa,netherlands,usa
americas,usa,france,saudi arabia
americas,usa,ireland,usa
americas,usa,denmark,usa
asia,usa,switzerland,usa
americas,taiwan,netherlands,usa
americas,japan,uk,south korea
americas,usa,france,usa
europe,usa,uk,usa
americas,usa,germany,france
americas,netherlands,france,usa
asia,china,ireland,usa
americas,france,germany,usa
americas,usa,france,usa
americas,usa,netherlands,usa
asia,usa,germany,china
americas,china,uk,usa
americas,usa,france,usa
americas,usa,uk,china
europe,usa,uk,china
americas,south korea,uk,switzerland
asia,usa,belgium,netherlands
europe,usa,russia,switzerland
americas,france,france,usa
europe,usa,netherlands,usa
asia,usa,germany,usa
americas,usa,germany,usa
americas,china,france,france
americas,switzerland,spain,usa
europe,usa,uk,usa
asia,switzerland,germany,netherlands
europe,china,france,china
americas,usa,norway,usa
americas,netherlands,uk,usa
americas,usa,germany,japan
asia,usa,france,usa
americas,usa,switzerland,usa
europe,switzerland,switzerland,usa
americas,china,switzerland,usa
americas,usa,france,usa
americas,china,russia,india
asia,india,germany,usa
americas,usa,italy,ireland
americas,usa,germany,usa
americas,usa,sweden,usa
americas,china,sweden,usa
europe,netherlands,switzerland,denmark
americas,uk,russia,usa
americas,usa,netherlands,usa
americas,france,france,usa
americas,uk,spain,usa
americas,usa,france,india
asia,usa,switzerland,usa
americas,usa,germany,usa
americas,usa,russia,usa
americas,australia,germany,usa
asia,usa,denmark,china
americas,usa,switzerland,china
americas,usa,ireland,usa
americas,usa,switzerland,switzerland
asia,india,netherlands,usa
asia,usa,italy,china
americas,usa,uk,usa
asia,usa,spain,india
europe,ireland,sweden,usa
americas,usa,france,usa
americas,germany,france,australia
europe,canada,uk,usa
europe,china,germany,uk
oceania,france,russia,uk
americas,china,netherlands,france
americas,usa,uk,usa
americas,china,switzerland,netherlands
americas,canada,netherlands,usa
europe,usa,germany,usa
europe,japan,austria,usa
americas,usa,switzerland,china
asia,china,russia,japan
americas,usa,germany,usa
asia,canada,germany,usa
americas,japan,france,china
americas,ireland,italy,canada
asia,usa,uk,usa
americas,germany,denmark,china
asia,france,uk,germany
europe,usa,switzerland,usa
americas,denmark,italy,canada
europe,usa,germany,japan
europe,usa,uk,china
americas,usa,uk,france
europe,india,finland,france
asia,usa,uk,usa
americas,usa,sweden,usa
europe,usa,uk,ireland
asia,usa,uk,canada
americas,usa,uk,germany
europe,netherlands,russia,china
europe,usa,denmark,germany
americas,china,france,usa
europe,usa,switzerland,uk
americas,germany,ireland,germany
americas,usa,switzerland,usa
europe,usa,ireland,netherlands
americas,germany,germany,usa
asia,usa,uk,usa
americas,uk,sweden,usa
americas,usa,ireland,usa
europe,china,germany,china
americas,usa,spain,usa
americas,china,uk,usa
americas,usa,ireland,france
americas,usa,switzerland,china
asia,usa,sweden,usa
americas,usa,switzerland,usa
asia,france,switzerland,usa
americas,usa,finland,usa
asia,australia,france,australia
americas,hong kong,germany,uk
americas,uk,france,hong kong
europe,usa,uk,india
americas,usa,switzerland,usa
americas,usa,belgium,usa
americas,uk,uk,usa
europe,usa,sweden,usa
asia,usa,netherlands,uk
oceania,india,france,usa
americas,usa,finland,belgium
europe,usa,uk,usa
americas,usa,norway,china
europe,usa,france,usa
asia,uk,germany,russia
europe,china,italy,usa
americas,belgium,finland,uk
americas,usa,sweden,usa
americas,russia,netherlands,usa
americas,usa,germany,usa
americas,france,denmark,usa
europe,usa,spain,usa
americas,usa,sweden,france
americas,usa,netherlands,usa
americas,china,italy,netherlands
asia,usa,netherlands,usa
americas,usa,germany,usa
americas,usa,switzerland,usa
americas,netherlands,sweden,usa
europe,usa,spain,china
americas,china,luxembourg,germany
europe,singapore,switzerland,singapore
asia,usa,germany,china
asia,germany,france,japan
europe,india,spain,japan
asia,germany,france,germany
europe,japan,france,usa
americas,japan,switzerland,france
asia,france,sweden,usa
asia,usa,germany,india
americas,usa,uk,spain
europe,usa,sweden,australia
asia,usa,switzerland,germany
oceania,usa,germany,usa
europe,spain,sweden,saudi arabia
americas,usa,switzerland,usa
europe,uk,uk,usa
americas,australia,switzerland,usa
americas,saudi arabia,netherlands,uk
americas,germany,france,usa
europe,usa,denmark,usa
europe,saudi arabia,switzerland,uk
americas,usa,sweden,china
americas,usa,finland,germany
europe,china,ireland,usa
asia,germany,germany,usa
americas,usa,ireland,saudi arabia
americas,usa,netherlands,usa
asia,germany,germany,usa
americas,uk,uk,germany
americas,france,ireland,france
europe,usa,finland,usa
europe,usa,france,japan
europe,usa,switzerland,canada
americas,japan,france,usa
asia,canada,spain,usa
americas,norway,ireland,norway
americas,uk,uk,usa
americas,germany,spain,uk
europe,usa,denmark,germany
americas,france,switzerland,france
americas,usa,germany,canada
americas,usa,switzerland,switzerland
asia,canada,ireland,usa
americas,japan,sweden,usa
americas,canada,spain,usa
americas,usa,uk,canada
europe,usa,uk,usa
europe,switzerland,denmark,japan
europe,switzerland,germany,switzerland
europe,china,uk,uk
americas,usa,uk,france
americas,uk,ireland,china
europe,switzerland,spain,switzerland
americas,france,germany,usa
europe,usa,germany,ireland
europe,russia,switzerland,usa
europe,usa,sweden,usa
americas,usa,sweden,russia
asia,ireland,ireland,usa
asia,usa,ireland,usa
asia,usa,uk,usa
americas,canada,sweden,saudi arabia
americas,japan,uk,india
americas,germany,germany,germany
europe,usa,russia,usa
asia,usa,norway,usa
americas,usa,uk,japan
americas,saudi arabia,spain,canada
americas,india,denmark,usa
europe,italy,uk,germany
asia,china,luxembourg,japan
europe,china,spain,china
americas,japan,uk,sweden
asia,germany,finland,india
europe,india,italy,sweden
asia,usa,netherlands,china
asia,sweden,belgium,usa
asia,china,russia,china
europe,sweden,portugal,italy
americas,usa,uk,india
asia,usa,netherlands,australia
americas,australia,austria,usa
oceania,usa,czech republic,switzerland
americas,india,austria,usa
americas,usa,switzerland,usa
americas,switzerland,germany,russia
europe,russia,netherlands,usa
europe,netherlands,russia,usa
europe,usa,italy,netherlands
asia,france,germany,canada
americas,canada,germany,france
americas,india,italy,hong kong
americas,hong kong,france,usa
asia,china,netherlands,south korea
asia,south korea,uk,china
asia,usa,germany,usa
asia,usa,russia,china
americas,usa,uk,usa
europe,china,germany,india
americas,spain,spain,spain
europe,usa,uk,france
europe,brazil,russia,switzerland
americas,usa,germany,brazil
europe,japan,germany,usa
asia,france,france,japan
americas,usa,netherlands,usa
americas,switzerland,italy,canada
americas,germany,france,germany
europe,canada,russia,usa
europe,uk,germany,uk
oceania,bermuda,norway,china
americas,china,belgium,usa
americas,usa,ireland,russia
europe,usa,france,germany
americas,russia,ireland,usa
americas,usa,sweden,usa
asia,usa,norway,australia
americas,australia,denmark,usa
europe,germany,france,bermuda
asia,denmark,netherlands,denmark
europe,brazil,germany,japan
asia,germany,france,germany
americas,japan,france,usa
europe,china,belgium,switzerland
asia,switzerland,uk,china
asia,usa,sweden,china
europe,china,uk,ireland
americas,ireland,uk,brazil
europe,china,italy,china
asia,japan,italy,mexico
americas,switzerland,uk,china
americas,usa,spain,japan
americas,china,italy,usa
asia,mexico,germany,japan
americas,indonesia,denmark,switzerland
asia,usa,russia,usa
americas,usa,france,indonesia
europe,usa,germany,usa
asia,japan,uk,usa
asia,japan,italy,usa
americas,usa,finland,singapore
europe,singapore,netherlands,china
americas,usa,uk,usa
americas,china,uk,usa
asia,usa,russia,usa
americas,usa,hungary,japan
asia,netherlands,switzerland,usa
americas,usa,russia,china
asia,china,portugal,netherlands
americas,taiwan,ireland,usa
asia,usa,poland,china
americas,usa,uk,india
asia,italy,france,usa
americas,mexico,france,usa
americas,usa,monaco,mexico
europe,china,france,italy
americas,usa,germany,taiwan
americas,india,uk,usa
asia,usa,germany,usa
asia,uk,germany,india
americas,india,france,uk
europe,usa,france,spain
europe,spain,switzerland,france
europe,usa,switzerland,france
americas,sweden,uk,saudi arabia
europe,france,sweden,sweden
americas,france,france,usa
asia,usa,sweden,usa
europe,saudi arabia,france,usa
europe,uk,luxembourg,china
asia,germany,uk,india
europe,russia,sweden,uk
asia,japan,uk,usa
europe,usa,norway,japan
oceania,australia,switzerland,australia
americas,netherlands,netherlands,netherlands
asia,india,switzerland,germany
europe,uk,germany,uk
europe,china,sweden,russia
oceania,australia,netherlands,usa
americas,usa,sweden,china
americas,usa,sweden,switzerland
oceania,switzerland,italy,usa
asia,australia,uk,usa
americas,usa,germany,australia
oceania,china,uk,usa
europe,australia,finland,australia
americas,usa,uk,australia
americas,usa,uk,usa
europe,usa,uk,china
americas,china,uk,germany
asia,netherlands,belgium,china
americas,japan,belgium,netherlands
americas,germany,germany,japan
europe,canada,uk,usa
asia,usa,germany,canada
europe,china,uk,usa
asia,canada,norway,canada
americas,austria,uk,austria
americas,switzerland,uk,russia
asia,usa,france,switzerland
europe,russia,norway,uae
americas,usa,denmark,canada
americas,uae,sweden,germany
asia,usa,denmark,china
americas,canada,germany,argentina
europe,germany,norway,usa
americas,china,sweden,usa
europe,argentina,germany,usa
asia,japan,switzerland,italy
europe,germany,germany,india
asia,france,uk,china
asia,china,uk,germany
europe,usa,russia,china
asia,india,ireland,france
americas,italy,netherlands,japan
asia,china,netherlands,japan
europe,japan,france,uk
europe,uk,france,usa
asia,taiwan,germany,china
europe,china,netherlands,china
asia,japan,italy,taiwan
europe,usa,uk,japan
americas,usa,germany,china
asia,china,spain,usa
americas,usa,sweden,uk
americas,denmark,spain,denmark
asia,china,sweden,usa
asia,uk,italy,usa
asia,usa,france,india
asia,switzerland,uk,germany
europe,italy,uk,usa
americas,china,sweden,china
americas,india,italy,qatar
asia,usa,sweden,italy
asia,usa,italy,switzerland
europe,germany,netherlands,japan
europe,japan,germany,usa
americas,qatar,sweden,usa
americas,usa,belgium,china
asia,usa,sweden,china
americas,china,russia,japan
asia,china,denmark,japan
asia,uk,sweden,china
europe,japan,france,usa
asia,japan,netherlands,usa
asia,usa,uk,uk
americas,china,spain,usa
americas,usa,switzerland,usa
asia,japan,france,uk
europe,india,italy,uae
americas,usa,belgium,india
asia,uk,germany,japan
americas,china,sweden,usa
americas,usa,austria,mexico
asia,usa,uk,finland
europe,uae,norway,china
americas,mexico,uk,usa
asia,finland,uk,usa
americas,uk,uk,china
americas,japan,italy,usa
asia,china,france,japan
americas,usa,russia,china
americas,usa,uk,uk
americas,usa,sweden,usa
americas,usa,finland,usa
asia,china,russia,usa
asia,usa,france,usa
europe,usa,luxembourg,usa
americas,usa,uk,australia
americas,sweden,norway,germany
americas,usa,finland,sweden
europe,japan,switzerland,canada
oceania,canada,italy,usa
europe,germany,germany,japan
americas,australia,luxembourg,uk
asia,uk,germany,canada
americas,canada,sweden,usa
europe,usa,sweden,usa
asia,uk,poland,india
europe,russia,uk,china
europe,india,france,russia
americas,denmark,uk,uk
americas,usa,switzerland,usa
asia,usa,poland,denmark
asia,china,sweden,usa
americas,south korea,switzerland,south korea
americas,usa,uk,usa
europe,usa,sweden,usa
americas,china,poland,usa
americas,france,portugal,usa
americas,usa,uk,switzerland
asia,switzerland,france,france
americas,usa,sweden,china
americas,usa,uk,usa
europe,india,belgium,india
americas,canada,uk,usa
europe,usa,france,usa
asia,usa,greece,canada
europe,usa,luxembourg,usa
americas,japan,finland,usa
asia,ireland,czech republic,usa
americas,usa,uk,usa
americas,usa,italy,switzerland
americas,usa,germany,usa
americas,usa,belgium,ireland
europe,south korea,germany,south korea
asia,usa,switzerland,japan
americas,switzerland,france,usa
americas,usa,russia,usa
americas,usa,germany,australia
americas,australia,ireland,usa
americas,usa,luxembourg,usa
americas,usa,uk,usa
americas,ireland,netherlands,usa
europe,usa,uk,ireland
americas,usa,ireland,usa
americas,usa,poland,usa
oceania,usa,czech republic,usa
americas,bermuda,netherlands,indonesia
americas,usa,hong kong,usa
americas,south korea,denmark,bermuda
americas,usa,norway,usa
americas,indonesia,ireland,usa
asia,usa,italy,south korea
americas,usa,sweden,usa
asia,usa,norway,usa
americas,usa,uk,usa
americas,usa,uk,usa
americas,china,france,brazil
europe,usa,uk,china
asia,china,uk,china
asia,usa,germany,usa
americas,hong kong,switzerland,japan
asia,usa,germany,hong kong
americas,china,france,usa
asia,japan,switzerland,usa
