00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_302.080 m,doll_50.672 m,doll_352.760 m,doll_394.330 m,"365,820 million usd"
doll_54.253 m,doll_75.543 m,doll_129.800 m,doll_55.306 m,"198,270 million usd"
doll_17.575 m,doll_26.612 m,doll_44.187 m,doll_26.914 m,"400,460 million usd"
doll_443.850 m,doll_514.930 m,doll_956.780 m,doll_354.640 m,"257,640 million usd"
doll_41.108 m,doll_124.880 m,doll_165.990 m,doll_117.930 m,"469,820 million usd"
doll_31.942 m,doll_30.189 m,doll_62.131 m,doll_53.823 m,"53,823 million usd"
doll_282.300 m,doll_138.240 m,doll_420.550 m,doll_469.820 m,"117,930 million usd"
doll_107.630 m,doll_251.640 m,doll_359.270 m,doll_257.640 m,"354,640 million usd"
doll_279.840 m,doll_296.860 m,doll_576.700 m,doll_400.460 m,"26,914 million usd"
doll_198.300 m,doll_166.540 m,doll_364.840 m,doll_198.270 m,"55,306 million usd"
doll_152.970 m,doll_91.891 m,doll_244.860 m,doll_572.750 m,"87,995 million usd"
doll_2.899.900 m,doll_270.070 m,doll_3.169.900 m,doll_89.110 m,"121,640 million usd"
doll_86.168 m,doll_51.925 m,doll_138.090 m,doll_70.765 m,"24,100 million usd"
doll_73.572 m,doll_-1.696 m,doll_71.876 m,doll_151.160 m,"93,770 million usd"
doll_137.160 m,doll_75.045 m,doll_212.210 m,doll_285.270 m,"229,280 million usd"
doll_106.910 m,doll_242.920 m,doll_349.830 m,doll_229.280 m,"285,270 million usd"
doll_108.000 m,doll_74.023 m,doll_182.020 m,doll_93.770 m,"151,160 million usd"
doll_45.307 m,doll_37.589 m,doll_82.896 m,doll_24.100 m,"70,765 million usd"
doll_3.449.400 m,doll_294.130 m,doll_3.743.600 m,doll_121.640 m,"89,110 million usd"
doll_126.630 m,doll_126.670 m,doll_253.300 m,doll_87.995 m,"572,750 million usd"
doll_70.354 m,doll_46.854 m,doll_117.210 m,doll_80.187 m,"80,187 million usd"
doll_110.540 m,doll_93.011 m,doll_203.610 m,doll_67.410 m,"15,929 million usd"
doll_175.600 m,doll_157.150 m,doll_332.750 m,doll_285.640 m,"92,575 million usd"
doll_22.356 m,doll_13.051 m,doll_35.408 m,doll_20.509 m,"18,880 million usd"
doll_90.991 m,doll_63.238 m,doll_154.230 m,doll_81.288 m,"66,757 million usd"
doll_89.257 m,doll_157.480 m,doll_246.740 m,doll_124.140 m,"124,140 million usd"
doll_72.101 m,doll_26.032 m,doll_98.133 m,doll_66.757 m,"81,288 million usd"
doll_30.286 m,doll_7.383 m,doll_37.669 m,doll_18.880 m,"20,509 million usd"
doll_91.420 m,doll_56.488 m,doll_147.910 m,doll_92.575 m,"285,640 million usd"
doll_8.471 m,doll_28.662 m,doll_37.133 m,doll_15.929 m,"67,410 million usd"
doll_12.444 m,doll_14.797 m,doll_27.241 m,doll_15.785 m,"228,980 million usd"
doll_40.807 m,doll_5.641 m,doll_46.633 m,doll_28.318 m,"38,655 million usd"
doll_25.040 m,doll_15.281 m,doll_40.321 m,doll_46.710 m,"51,557 million usd"
doll_21.409 m,doll_25.991 m,doll_47.400 m,doll_35.580 m,"27,450 million usd"
doll_4.783.900 m,doll_454.570 m,doll_5.238.500 m,doll_138.160 m,"6,866 million usd"
doll_20.815 m,doll_50.523 m,doll_71.338 m,doll_6.866 m,"138,160 million usd"
doll_50.581 m,doll_24.989 m,doll_75.570 m,doll_27.450 m,"35,580 million usd"
doll_54.229 m,doll_39.773 m,doll_94.002 m,doll_51.557 m,"46,710 million usd"
doll_71.355 m,doll_22.999 m,doll_94.354 m,doll_38.655 m,"28,318 million usd"
doll_295.780 m,doll_198.150 m,doll_493.920 m,doll_228.980 m,"15,785 million usd"
doll_115.060 m,doll_-5.768 m,doll_109.300 m,doll_42.440 m,"155,600 million usd"
doll_23.646 m,doll_19.529 m,doll_43.175 m,doll_50.533 m,"79,470 million usd"
doll_41.190 m,doll_18.078 m,doll_59.268 m,doll_195.920 m,"43,075 million usd"
doll_131.120 m,doll_15.408 m,doll_146.530 m,doll_56.197 m,"29,697 million usd"
doll_94.669 m,122 million usd,doll_94.791 m,doll_39.211 m,"103,000 million usd"
,,,doll_103.000 m,"39,211 million usd"
doll_28.735 m,doll_15.849 m,doll_44.584 m,doll_29.697 m,"56,197 million usd"
doll_39.394 m,doll_35.802 m,doll_75.196 m,doll_43.075 m,"195,920 million usd"
