,index,address_name,city,country,name,location_type,postalcode,state,trade_name
0,0,445 dexter ave,montgomery,united states,"cnhi, llc",headquarter,361043892,alabama(al),
1,1,7th floor suite 1 50 broadway,london,united kingdom,craig & rose limited,single address,              sw1h 0bl,united kingdom,
2,2,via della dataria 96,roma,italy,segretariato generale della presidenza della repubblica,headquarter,187,italy,
3,3,narva mnt 6-44,tallinn,estonia,bih real estate ou,single address,10117,estonia,
4,4,1215 o st,sacramento,united states,"developmental services, california department of",headquarter,958145804,california(ca),
5,5,"mitchell point ensign way, hamble",southampton,united kingdom,qioptiq photonics limited,single address,              so31 4rf,united kingdom,
6,6,via fava 56,gozzano,italy,cristina srl,headquarter,28024,italy,
7,7,peterburi tee 48a,tallinn,estonia,recticel ou,single address,11415,estonia,
8,8,16401 swingley ridge rd ste 700,chesterfield,united states,"laird technologies, inc.",headquarter,630170744,missouri(mo),
9,9,3 latimer place,london,united kingdom,designers guild limited,headquarter,              w10 6qt,united kingdom,
10,10,piazza quadrivio 8,sondrio,italy,banca piccolo credito valtellinese spa,,23100,italy,CREDITO VALTELLINESE
11,11,2 tornimae tn 2,tallinn,estonia,seb pank as,headquarter,15010,estonia,
12,12,2220 colorado ave,santa monica,united states,"universal music group distribution, corp.",headquarter,904043506,california(ca),UNIVERSAL MUSIC GROUP
13,13,isle of grain road isle of grain,rochester,united kingdom,national grid grain lng limited,single address,              me3 0ab,united kingdom,
14,14,via puglia 35,torino,italy,iveco group n.v.,headquarter,10156,italy,
15,15,vana-viru tn 7,tallinn,estonia,tbb pank as,headquarter,15097,estonia,
16,16,2220 colorado ave,santa monica,united states,"universal music group, inc.",headquarter,904043506,california(ca),
17,17,red central 60 high street,redhill,united kingdom,lactalis mclelland limited,headquarter,              rh1 1sh,united kingdom,
18,18,via delle nazioni unite 4,collecchio,italy,dalmata spa,headquarter,43044,italy,
19,19,veski poik 3,"assaku alevik, rae vald",estonia,simpes grupp ou,headquarter,75301,estonia,
20,20,2220 colorado ave,santa monica,united states,"universal music investments, inc.",headquarter,904043506,california(ca),
21,21,redcentral 60 high street,redhill,united kingdom,lactalis (uk) limited,single address,              rh1 1sh,united kingdom,
22,22,corso inghilterra 3,torino,italy,intesa sanpaolo assicura spa,headquarter,10138,italy,
23,23,liivalaia tn 8,tallinn,estonia,swedbank support ou,single address,10118,estonia,
24,24,4025 viscount ave,memphis,united states,"international sourcing company, inc.",headquarter,381186106,tennessee(tn),
25,25,201 haverstock hill,london,united kingdom,ronly limited,headquarter,              nw3 4qg,united kingdom,
26,26,viale delle industrie snc,arzano,italy,ciro paone spa,headquarter,80022,italy,
27,27,veski poik 3,"assaku alevik, rae vald",estonia,astel garden group ou,headquarter,75301,estonia,
28,28,200 4th ave s ste 100,nashville,united states,"bridgestone americas, inc.",headquarter,372012256,tennessee(tn),BRIDGESTONE AMERICAS SOURCING
29,29,industrial road hertburn industrial estate hertburn,washington,united kingdom,the encore group (envelopes and packaging) limited,headquarter,              ne37 2sa,united kingdom,
30,30,piazza sicilia 6,milano,italy,diamalteria italiana srl,headquarter,20146,italy,
31,31,variku tee 6-1,tallinn,estonia,abc garden ou,headquarter,11911,estonia,
32,32,100 1st stamford pl ste 700,stamford,united states,"united rentals, inc.",headquarter,69029200,connecticut(ct),
33,33,"unit 9, riley court milburn hill road",coventry,united kingdom,dassault systemes uk limited,headquarter,              cv4 7hp,united kingdom,
34,34,via modena 53,castelvetro di modena,italy,cremofin srl,headquarter,41014,italy,
35,35,erika tn 14,tallinn,estonia,brandgate group ou,headquarter,10416,estonia,
36,36,126 e lincoln ave,rahway,united states,merck sharp & dohme llc,headquarter,70654607,new jersey(nj),
37,37,"faculty building, level 1 south kensington campus",london,united kingdom,imperial college london limited,headquarter,              sw7 2az,united kingdom,
38,38,via enrico fermi 13/f,verona,italy,fedrigoni spa,headquarter,37135,italy,
39,39,kullassepa tn 4,tallinn,estonia,aurum ou,single address,10146,estonia,
40,40,126 e lincoln ave,rahway,united states,merck sharp & dohme (i.a.) llc,headquarter,70654607,new jersey(nj),
41,41,duncan macmillan house porchester road,nottingham,united kingdom,nottinghamshire healthcare n h s foundation trust,headquarter,              ng3 6aa,united kingdom,
42,42,piazza attias 13,livorno,italy,eiffage infraestructuras sa,single address,57125,italy,
43,43,vana-louna tn 15,tallinn,estonia,bolt technology ou,headquarter,10134,estonia,
44,44,126 e lincoln ave,rahway,united states,merck sharp & dohme (argentina) inc.,headquarter,70654607,new jersey(nj),
45,45,2nd floor 40 grosvenor place,london,united kingdom,liberty finance management (lig) ltd,single address,              sw1x 7gg,united kingdom,
46,46,via ferruccio lamborghini 18,san giovanni in persiceto,italy,safe spa,headquarter,40017,italy,
47,47,ravala pst 8,tallinn,estonia,game machine ou,headquarter,10143,estonia,
48,48,4201 northpark dr,opelika,united states,hl mando america corporation,headquarter,368019667,alabama(al),MANDO
49,49,"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,gcp asset management (uk) ltd,single address,              wc1v 7da,united kingdom,
50,50,via camillo olivetti 2,agrate brianza,italy,stmicroelectronics srl,,20864,italy,STM
51,51,sarruse tn 3,tallinn,estonia,milworks ou,single address,13816,estonia,
52,52,9801 international dr,orlando,united states,"hyatt hotels of florida, inc.",single address,328198104,florida(fl),HYATT REGENCY ORLANDO
53,53,"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,garnet uk 7 new limited,single address,              wc1v 7da,united kingdom,
54,54,via palermo 21-23,atessa,italy,travaglini logistic and transport srl,,66041,italy,TRAVAGLINI
55,55,vana-louna tn 15,tallinn,estonia,bolt operations ou,headquarter,10134,estonia,
56,56,3990 n sunnyside rd,lena,united states,"kolb-lena, inc.",single address,610489613,illinois(il),
57,57,"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,garnet uk 7 new residential limited,single address,              wc1v 7da,united kingdom,
58,58,strada tomboleto 12,azeglio,italy,huntsman gomet srl,headquarter,10010,italy,
59,59,narva mnt 5,tallinn,estonia,b-bus ou,single address,10117,estonia,
60,60,3900 n washington st ste 2,wilmington,united states,verizon international holdings inc.,headquarter,198022137,delaware(de),
61,61,"2nd floor kingsbourne house, 229-231 high holborn",london,united kingdom,garnet uk 23 new limited,single address,              wc1v 7da,united kingdom,
62,62,via milanese 124,cinisello balsamo,italy,johnson controls italia srl,headquarter,20092,italy,
63,63,liivalaia tn 45,tallinn,estonia,luminor bank as,headquarter,10145,estonia,
64,64,1209 n orange st,wilmington,united states,"micro focus (us) international holdings, inc.",headquarter,198011120,delaware(de),
65,65,turner house 16 great marlborough street,london,united kingdom,turner broadcasting system europe limited,headquarter,              w1f 7hs,united kingdom,
66,66,corso alessandria 395,asti,italy,johnson electric asti srl,headquarter,14100,italy,
67,67,sadama tn 5,tallinn,estonia,tallink as,headquarter,10111,estonia,
68,68,1209 orange ste,wilmington,united states,"usf international holdings, llc",headquarter,198011120,delaware(de),
69,69,"the maylands building 200 maylands avenue, hemel hempstead industrial estate",hemel hempstead,united kingdom,southern parks limited,,              hp2 7tg,united kingdom,Aria Resorts
70,70,via larga 26,milano,italy,moby spa,headquarter,20122,italy,
71,71,sadama tn 5,tallinn,estonia,tallink grupp as,headquarter,10111,estonia,
72,72,6000 town center blvd ste 240,canonsburg,united states,"gantrex, inc.",single address,153175841,pennsylvania(pa),
73,73,111 strand,london,united kingdom,cvc advisers limited,headquarter,              wc2r 0ag,united kingdom,
74,74,via prati della rosa 17,colico (zona industriale ),italy,galperti engineering and flow control spa,headquarter,23823,italy,
75,75,vaike-paala tn 1,tallinn,estonia,top connect ou,headquarter,11415,estonia,
76,76,600 n 18th st,birmingham,united states,alabama power company,headquarter,352032200,alabama(al),
77,77,20 vauxhall bridge road,london,united kingdom,penguin random house limited,headquarter,              sw1v 2sa,united kingdom,
78,78,via luciano lama 33,sesto san giovanni,italy,abb spa,headquarter,20099,italy,
79,79,viru valjak 4,tallinn,estonia,pontos baltic as,headquarter,10111,estonia,
80,80,290 healthwest dr ste 2,dothan,united states,"construction partners, inc.",headquarter,363032051,alabama(al),
81,81,whole building 20 vauxhall bridge road,london,united kingdom,the random house group limited,headquarter,              sw1v 2sa,united kingdom,
82,82,via canalazzo 35,medolla,italy,oli spa,headquarter,41036,italy,
83,83,laki poik 6,tallinn,estonia,sandmani grupi as,headquarter,12918,estonia,
84,84,1007 goodyear ave,gadsden,united states,"gadsden regional medical center, llc",headquarter,359031100,alabama(al),
85,85,"fao sophie leedham ugi house gisborne close, staveley",chesterfield,united kingdom,avanti gas limited,headquarter,              s43 3jt,united kingdom,
86,86,strada degli schiocchi 12,modena,italy,oli ebike systems srl,headquarter,41124,italy,
87,87,parnu mnt 141,tallinn,estonia,prfoods as,headquarter,11314,estonia,
88,88,1 letterman dr ste cm 500,san francisco,united states,"luminate capital partners ii, lp",headquarter,941291496,california(ca),
89,89,becket house 1 lambeth palace road,london,united kingdom,bouygues e&s solutions limited,,              se1 7eu,united kingdom,BOUYGUES CONSTRUCTION
90,90,piazza san babila 5,milano,italy,business integration partners spa,headquarter,20122,italy,
91,91,parnu mnt 139e/2,tallinn,estonia,schneider electric eesti as,single address,11317,estonia,
92,92,702 sw 8th st,bentonville,united states,walmart inc.,headquarter,727166299,arkansas(ar),
93,93,becket house 1 lambeth palace road,london,united kingdom,bouygues (u.k.) limited,headquarter,              se1 7eu,united kingdom,
94,94,uffici direzionali gesac snc,napoli (aeroporto di capodichino ),italy,societa' gestione servizi aeroporti campani ge.s.a.c. spa,,80100,italy,AEROPORTO INTERNAZIONALE DI NAPOLI
95,95,puidu tn 2,"tartu, tartu",estonia,kodumaja as,headquarter,50411,estonia,
96,96,702 sw 8th st,bentonville,united states,"wal-mart stores east, lp",headquarter,727166299,arkansas(ar),WALMART
97,97,1 new street square,london,united kingdom,deloitte llp,headquarter,              ec4a 3hq,united kingdom,
98,98,corso vittorio emanuele 292,napoli,italy,universita' degli studi suor orsola benincasa,headquarter,80135,italy,
99,99,telliskivi tn 60/2,tallinn,estonia,iizi kindlustusmaakler as,headquarter,10412,estonia,
100,100,3000 tannery way,santa clara,united states,"palo alto networks, inc.",headquarter,950542832,california(ca),
101,101,1 new street square,london,united kingdom,deloitte mcs limited,,              ec4a 3hq,united kingdom,DELOITTE
102,102,piazza san marco 3,milano,italy,lombard international assurance s.a.,headquarter,20121,italy,
103,103,tartu mnt 18,tallinn,estonia,marsh kindlustusmaakler as,single address,10145,estonia,
104,104,95-136 coonbrook rd,petersburg,united states,"tonoga, inc.",headquarter,12138,new york(ny),TACONIC
105,105,"8th floor the point, 37 north wharf road",london,united kingdom,first mtr south western trains limited,single address,              w2 1af,united kingdom,
106,106,viale serenissima 20,vigonovo,italy,pm srl,headquarter,30030,italy,
107,107,tahe tn 133,"tartu, tartu",estonia,kroonpress as,single address,50107,estonia,
108,108,210 6th ave ste 3300,pittsburgh,united states,evoqua water technologies llc,headquarter,152222603,pennsylvania(pa),
