,index,founded,industry,headquarters,name,size,website
0,0,2004,pharmaceuticals,"redwood city, ca",proteus digital health careers,201 to 500 employees,www.proteus.com
1,1,2016,information technology & services,"bedminster, nj",zelis careers,"1,001 to 5,000 employees",www.zelis.com
2,2,2013,real estate,"burlingame, ca",upnest careers,1 to 50 employees,www.upnest.com
3,3,2013,broadcast & online media,"menlo park, ca",conferacity careers,1 to 50 employees,conferacity.com
4,4,2010,computer software,"bellevue, wa",zenoti careers,"501 to 1,000 employees",www.zenoti.com
5,5,2016,insurance,"marina del rey, ca",leaselock careers,51 to 200 employees,leaselock.com
6,6,2013,computer software,"menlo park, ca",kespry careers,51 to 200 employees,www.kespry.com
7,7,2008,marketing & advertising,"new york, ny",newscred careers,201 to 500 employees,www.newscred.com
8,8,2017,information technology & services,"hyderabad, india",brane enterprises careers,201 to 500 employees,nslhub.com
9,9,1930,insurance,"glen allen, va",markel careers,"1,001 to 5,000 employees",www.markel.com
10,10,2012,venture capital & private equity,"san mateo, ca",eso fund careers,1 to 50 employees,www.esofund.com
11,11,2013,food & beverages,"boston, ma",indigo ag careers,"501 to 1,000 employees",www.indigoag.com
12,12,1988,insurance,"warren, nj","msig holdings (americas), inc. careers",201 to 500 employees,www.msigusa.com
13,13,2004,internet,"luxembourg city, luxembourg",mindgeek careers,"1,001 to 5,000 employees",mindgeek.com
14,14,2000,computer & network security,"san jose, ca",forescout technologies careers,"1,001 to 5,000 employees",www.crunchbase.com/rank_/entity
15,15,1989,broadcast & online media,"los angeles, ca",marketplace careers,51 to 200 employees,www.marketplace.org
16,16,1988,semiconductors,"milpitas, ca",sandisk careers,"5,001 to 10,000 employees",www.sandisk.com
17,17,2014,consumer goods,"mountain view, ca",wag careers,51 to 200 employees,www.wagwalking.com
18,18,2017,"apparel, fashion & luxury","brooklyn, ny",maisonette careers,51 to 200 employees,www.maisonette.com
19,19,1994,industrial automation,"marina, ca",fox thermal careers,1 to 50 employees,www.foxthermal.com
20,20,2009,management consulting,"washington, dc",optimity advisors careers,201 to 500 employees,www.optimityadvisors.com
