01-DDD-totalraised,01-DDD-valuation,04-iGMM-valuation
doll_1.907 b,doll_8.3 b,doll_140 b
doll_556 m,doll_8.3 b,doll_127 b
doll_1.345 b,doll_8.1 b,doll_100 b
doll_2.309 b,doll_8.48 b,doll_95 b
doll_1.971 b,doll_8.4 b,doll_40 b
doll_7.44 b,doll_140 b,doll_40 b
doll_770 m,doll_9 b,doll_39 b
doll_3.114 b,doll_9 b,doll_38 b
doll_2.702 b,doll_8.7 b,doll_33 b
doll_724.83 m,doll_8.5 b,doll_31.5 b
doll_778.5 m,doll_9.2 b,doll_32 b
doll_775 m,doll_8.75 b,doll_27 b
doll_2.132 b,doll_8.6 b,doll_25 b
doll_1.171 b,doll_9 b,doll_22 b
doll_1.093 b,doll_8.5 b,doll_20 b
doll_2.03 b,doll_8.5 b,doll_20 b
doll_536.72 m,doll_8.6 b,doll_17.5 b
doll_1.722 b,doll_9.23 b,doll_15.5 b
doll_579.23 m,doll_9.28 b,doll_15 b
doll_1.099 b,doll_9.5 b,doll_15 b
doll_180 m,doll_10 b,doll_15 b
doll_3.396 b,doll_10 b,doll_15 b
doll_4.304 b,doll_10 b,doll_15 b
doll_1.326 b,doll_10 b,doll_14 b
doll_1.644 b,doll_9.2 b,doll_13.5 b
doll_600 m,doll_10 b,doll_13.3 b
doll_355 m,doll_1 b,doll_13 b
doll_504.77 m,doll_10 b,doll_13 b
doll_464.12 m,doll_1 b,doll_12.6 b
doll_7.262 b,doll_9.08 b,doll_12.59 b
doll_189.2 m,doll_1 b,doll_12.3 b
doll_71.84 m,doll_1 b,doll_12 b
doll_119 m,doll_1 b,doll_12 b
doll_155.3 m,doll_1 b,doll_12 b
doll_180 m,doll_1 b,doll_12 b
doll_242.9 m,doll_1 b,doll_12 b
doll_572.01 m,doll_9.5 b,doll_12 b
doll_25 m,doll_1 b,doll_11.8 b
doll_199.83 m,doll_1 b,doll_11.7 b
doll_396.8 m,doll_1 b,doll_11.4 b
doll_220.4 m,doll_1 b,doll_11.25 b
doll_342 m,doll_10 b,doll_11.1 b
doll_330.36 m,doll_1 b,doll_11 b
doll_259.5 m,doll_1 b,doll_10.2 b
doll_428 m,doll_1 b,doll_10.88 b
doll_2.475 b,doll_10 b,doll_10.7 b
doll_746.12 m,doll_10 b,doll_10 b
doll_362.05 m,doll_1 b,doll_10 b
doll_143.3 m,doll_1 b,doll_10 b
doll_212.15 m,doll_1 b,doll_10 b
doll_2.293 b,doll_1 b,doll_10 b
doll_200 m,doll_1 b,doll_10 b
doll_296 m,doll_1 b,doll_10 b
doll_187.4 m,doll_1 b,doll_10 b
doll_266.26 m,doll_1 b,doll_10 b
doll_224.2 m,doll_1 b,doll_9.5 b
doll_195.5 m,doll_1 b,doll_9.5 b
doll_350 m,doll_1 b,doll_9.28 b
doll_525.5 m,doll_1 b,doll_9.23 b
doll_44.94 m,doll_1 b,doll_9.2 b
non e,doll_1 b,doll_9.2 b
doll_379.64 m,doll_1 b,doll_9.08 b
non e,doll_1 b,doll_9 b
doll_216.15 m,doll_1 b,doll_9 b
doll_167.35 m,doll_1 b,doll_9 b
doll_449.72 m,doll_1 b,doll_8.75 b
doll_610.85 m,doll_1 b,doll_8.7 b
doll_272.73 m,doll_1 b,doll_8.6 b
doll_177.36 m,doll_1 b,doll_8.6 b
non e,doll_1 b,doll_8.6 b
doll_63.75 m,doll_1 b,doll_8.5 b
doll_236.5 m,doll_1 b,doll_8.5 b
doll_79.42 m,doll_1 b,doll_8.48 b
doll_315.43 m,doll_1 b,doll_8.5 b
doll_727 m,doll_1 b,doll_8.4 b
doll_273 m,doll_1 b,doll_8.3 b
doll_10 m,doll_1 b,doll_8.3 b
doll_144.43 m,doll_1 b,doll_8.1 b
doll_212.5 m,doll_1 b,doll_8.1 b
doll_136.51 m,doll_1 b,doll_8 b
doll_181.06 m,doll_1 b,doll_8 b
doll_115.37 m,doll_1 b,doll_8 b
doll_688 m,doll_1 b,doll_8 b
doll_501.64 m,doll_1 b,doll_7.83 b
doll_517.9 m,doll_1 b,doll_7.6 b
doll_601.59 m,doll_1 b,doll_7.75 b
doll_486 m,doll_1 b,doll_7.5 b
doll_126.3 m,doll_1 b,doll_7.5 b
doll_185 m,doll_1 b,doll_7.5 b
doll_192.85 m,doll_1 b,doll_7.4 b
doll_220 m,doll_1 b,doll_7.3 b
doll_517.24 m,doll_1 b,doll_7.25 b
doll_397.86 m,doll_1 b,doll_7.25 b
doll_126.35 m,doll_1 b,doll_7.1 b
doll_233 m,doll_1 b,doll_7 b
doll_766.7 m,doll_1 b,doll_7 b
doll_141 m,doll_1 b,doll_7 b
doll_330 m,doll_1 b,doll_6.8 b
doll_513.24 m,doll_1 b,doll_6.8 b
doll_260.33 m,doll_1 b,doll_6.7 b
non e,doll_1 b,doll_6.6 b
doll_203.91 m,doll_1 b,doll_6.51 b
doll_268.5 m,doll_1 b,doll_6.5 b
doll_371.4 m,doll_1 b,doll_6.5 b
doll_492.05 m,doll_1 b,doll_7.5 b
doll_259.6 m,doll_1 b,doll_6.4 b
doll_705 m,doll_1 b,doll_6.3 b
doll_100 m,doll_1 b,doll_6.28 b
doll_126 m,doll_1 b,doll_6.2 b
doll_288.8 m,doll_1 b,doll_6.1 b
doll_361.53 m,doll_1.1 b,doll_6.1 b
doll_1.033 b,doll_1 b,doll_6 b
doll_110 m,doll_1 b,doll_6 b
doll_228.58 m,doll_1 b,doll_6 b
doll_56.9 m,doll_1 b,doll_6 b
doll_334.1 m,doll_1 b,doll_5.2 b
doll_6.62 m,doll_1 b,doll_5.99 b
doll_130.6 m,doll_1 b,doll_5.78 b
non e,doll_1 b,doll_5.77 b
doll_269 m,doll_1 b,doll_5.7 b
doll_377.93 m,doll_1 b,doll_5.7 b
doll_671.93 m,doll_1 b,doll_5.7 b
doll_294 m,doll_1 b,doll_5.7 b
doll_171.85 m,doll_1 b,doll_5.7 b
doll_260.07 m,doll_1 b,doll_5.7 b
doll_200 m,doll_1 b,doll_5.6 b
doll_111.25 m,doll_1 b,doll_5.6 b
doll_310 m,doll_1 b,doll_5.6 b
doll_328.43 m,doll_1 b,doll_5.36 b
doll_370.34 m,doll_1 b,doll_5.25 b
doll_142.27 m,doll_1 b,doll_5.25 b
