09-wissel-company_code,05-MalPatSaj-symbol,04-iGMM-code,02-GioPonSpiz-codice
vrtx,aapl,aapl,aapl
vrnof,msft,mcd,2222.sr
azz,2222.sr,tmus,msft
fnb,goog,tm,goog
nx,amzn,csco,amzn
sxt,brk-b,dhr,brk-b
cts,unh,nvs,v
amn,tsla,abt,xom
ash,jnj,or.pa,tcehy
ggg,v,1398.hk,unh
hzn,nvda,avgo,jnj
pen,xom,cost,tsm
chdn,tsm,orcl,mc.pa
iart,tcehy,azn,nvda
sxi,wmt,shel,jpm
cnmd,jpm,reliance.ns,wmt
road,mc.pa,low,tsla
hrb,pg,hdb,ma
bx,lly,lmt,meta
gdyn,ma,1299.hk,600519.ss
stra,hd,601857.ss,pg
coin,cvx,elv,lly
pins,nesn.sw,ul,cvx
sr,meta,sap,nesn.sw
lesl,600519.ss,unp,hd
azpn,pfe,crm,005930.ks
mrna,005930.ks,3968.hk,baba
ryan,nvo,ibm,nvo
hqy,abbv,qcom,mrk
rbbn,mrk,de,bac
etwo,ko,ry,abbv
lope,rog.sw,prx.as,pfe
cvgw,bac,3690.hk,asml
grpn,pep,cvs,ko
rog,asml,nflx,rog.sw
spwr,baba,t,ihc.ae
tile,avgo,cdi.pa,avgo
cabo,tmo,cop,pep
snex,orcl,601288.ss,orcl
aciw,azn,601318.ss,tmo
hwc,cost,mmm,azn
lbrt,reliance.ns,600900.ss,1398.hk
dt,1398.hk,hum,or.pa
nsp,csco,ibe.mc,cost
ogs,mcd,mrna,shel
blkb,or.pa,apd,reliance.ns
hibb,dhr,mbg.de,csco
atcx,shel,bdx,nke
manh,nvs,zts,dhr
sgh,tm,zurn.sw,abt
viav,abt,tgt,mcd
he,acn,slb,nvs
pb,tmus,mufg,tm
aud,nke,pbr,tmus
amr,nee,600028.ss,rms.pa
umbf,dis,cp,dis
psfe,rms.pa,gazp.me,acn
crlbf,lin,cfr.sw,vz
rga,bmy,so,bhp
tnet,wfc,gsk,wfc
plce,txn,bkng,cmcsa
evh,ups,eog,nee
conn,pm,ai.pa,lin
trs,adbe,duk,601939.ss
cme,bhp,pgr,prx.as
schn,vz,bayzf,300750.sz
utz,ms,mpc,txn
mnst,cmcsa,itc.ns,adbe
mtrn,tte,adm,tte
pbf,601939.ss,sre,pm
snda,300750.sz,gis,ups
hood,rtx,rosn.me,ms
alsn,tcs.ns,epd,schw
atkr,amgn,rkt.l,0941.hk
cno,0941.hk,000333.sz,bmy
mwa,hon,orly,3968.hk
tse,schw,psa,cop
brp,601288.ss,saf.pa,cdi.pa
dkng,nflx,uber,tcs.ns
gbci,3690.hk,f,601288.ss
gwre,cop,kkr,crm
ds,prx.as,601166.ss,nflx
vly,cdi.pa,mnst,hon
wal,qcom,ls4c.f,rtx
fico,crm,mco,amgn
stks,t,603288.ss,hsbc
praa,ibm,omzzp.me,601318.ss
dorm,unp,aal.l,t
real,de,0728.hk,ry
lamr,cvs,kdp,sap
nex,3968.hk,gm,qcom
lnt,ry,1211.sr,cat
dk,ul,207940.ks,601857.ss
shyf,hdb,hes,601988.ss
arch,sap,adsk,1299.hk
denn,low,600309.ss,3690.hk
ktos,1299.hk,cqp,unp
spwh,601857.ss,dvn,601628.ss
smar,lmt,exc,ibm
shcr,elv,cmg,de
pltr,601988.ss,biib,ul
glt,cba.ax,ifx.de,low
cxm,hsbc,nxpi,ba
kkr,gs,wday,gs
infn,cat,bce,cba.ax
vno,sny,syy,rio
cmco,bud,rsg,hdb
gl,601318.ss,ecl,bud
wtrg,lisn.sw,trp,intc
sfnc,intu,4519.t,sny
bhg,td,meli,sbux
ddog,sbux,enph,sie.de
fult,intc,fmg.ax,pdd
hmpt,601628.ss,trv,td
cnsl,eqnr,ing,spgi
sdc,spgi,cdns,000858.sz
lanc,axp,payx,cvs
pnfp,rio,ed,lmt
htld,pdd,mrvl,axp
,pld,xiacf,elv
tost,ba,cmi,amd
usph,amd,dsv.vi,jd
nvee,gild,all,blk
sph,sie.de,abc,pld
wrld,adp,2359.hk,dte.de
cir,deo,dd,intu
spxc,blk,hlag.de,amt
ufi,jd,idxx,gild
sgma,bp,stm,taqa.ae
ewbc,mdt,7741.t,bp
pwsc,amt,axisbank.bo,mdt
bgs,ci,ea,002594.sz
onem,dte.de,bbva,sony
hain,000858.sz,wba,deo
coup,sony,3382.t,6861.t
cohu,002594.sz,j36.si,adp
mgi,6861.t,cve,p911.de
net,isrg,006405.ks,nppxf
estc,p911.de,601668.ss,mufg
altr,csl.ax,600276.ss,air.pa
amc,syk,as7.f,syk
bmrn,nppxf,cof,eqnr
dlr,amat,ad.as,c
mbuu,air.pa,l.to,csl.ax
roku,bti,es,ci
por,mdlz,rok,alv.de
clw,tjx,6273.t,el
wttr,cb,crh,cb
expr,c,hen3.de,tjx
le,ge,stt,mrk.de
tech,el,givn.sw,idexy
kai,adi,gww,amat
shc,glcnf,aca.pa,mdlz
nvta,alv.de,tu,isrg
bned,373220.ks,dhi,373220.ks
tmhc,mrk.de,qsr,pypl
cvlg,mmc,rwe.de,su.pa
anet,el.pa,wec,bkng
ubsi,cni,300015.sz,ge
cf,now,dell,glcnf
bowl,mo,ceg,mmc
awi,vow3.de,0066.hk,adi
skil,idexy,peg,bti
plpc,pypl,gold,vale
mcs,noc,wege3.sa,el.pa
vtol,regn,vod,enb
azta,su.pa,alb,cfr.sw
giii,enb,600887.ss,cni
strl,mrna,ebk.de,now
cwst,vrtx,eqr,1120.sr
nuva,duk,ccep,slb
senea,infy,seba.f,ai.pa
tdup,1120.sr,uri,mo
cube,bkng,ulta,601088.ss
pri,vale,sgo.pa,duk
pcor,ibn,7733.t,bnp.pa
