05-MalPatSaj-country,07-silvestri-country,08-slytherin-country
united states,united states,united states
china,china,china
saudi arabia,saudi arabia,saudi arabia
united states,united states,united states
china,china,china
united states,united states,united states
united states,united states,united states
china,china,china
united states,united states,united states
japan,japan,japan
united states,united states,united states
united states,united states,united states
china,china,china
south korea,south korea,south korea
united states,united states,united states
united kingdom,united kingdom,united kingdom
china,china,china
united states,united states,united states
united states,united states,united states
united states,united states,united states
china,china,china
united states,united states,united states
united states,united states,united states
china,china,china
germany,germany,germany
united states,united states,united states
united states,united states,united states
china,china,china
france,france,france
china,china,china
hong kong,hong kong,hong kong
united states,united states,united states
china,china,china
united states,united states,united states
germany,germany,germany
united states,united states,united states
united states,united states,united states
united kingdom,united kingdom,united kingdom
france,france,france
united states,united states,united states
germany,germany,germany
united states,united states,united states
united states,united states,united states
japan,japan,japan
china,china,china
canada,canada,canada
switzerland,switzerland,switzerland
france,france,france
russia,russia,russia
united kingdom,united kingdom,united kingdom
united states,united states,united states
canada,canada,canada
japan,japan,japan
india,india,india
china,china,china
japan,japan,japan
spain,spain,spain
japan,japan,japan
taiwan,taiwan,taiwan
canada,canada,canada
france,france,france
china,china,china
united states,united states,united states
germany,germany,germany
brazil,brazil,brazil
germany,germany,germany
united states,united states,united states
switzerland,switzerland,switzerland
united states,united states,united states
norway,norway,norway
china,china,china
switzerland,switzerland,switzerland
hong kong,hong kong,hong kong
united states,united states,united states
australia,australia,australia
canada,canada,canada
united states,united states,united states
germany,germany,germany
netherlands,netherlands,netherlands
switzerland,switzerland,switzerland
russia,russia,russia
united kingdom,united kingdom,united kingdom
canada,canada,canada
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
canada,canada,canada
united states,united states,united states
switzerland,switzerland,switzerland
united states,united states,united states
belgium,belgium,belgium
united states,united states,united states
switzerland,switzerland,switzerland
hong kong,hong kong,hong kong
united kingdom,united kingdom,united kingdom
united states,united states,united states
france,france,france
united states,united states,united states
united kingdom,united kingdom,united kingdom
switzerland,switzerland,switzerland
japan,japan,japan
japan,japan,japan
china,china,china
india,india,india
australia,australia,australia
china,china,china
united states,united states,united states
italy,italy,italy
italy,italy,italy
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
russia,russia,russia
canada,canada,canada
brazil,brazil,brazil
france,france,france
united states,united states,united states
france,france,france
netherlands,netherlands,netherlands
united states,united states,united states
taiwan,taiwan,taiwan
united kingdom,united kingdom,united kingdom
united states,united states,united states
japan,japan,japan
united states,united states,united states
united kingdom,united kingdom,united kingdom
italy,italy,italy
canada,canada,canada
united states,united states,united states
germany,germany,germany
hong kong,hong kong,hong kong
united states,united states,united states
spain,spain,spain
china,china,china
brazil,brazil,brazil
united states,united states,united states
japan,japan,japan
japan,japan,japan
united states,united states,united states
united states,united states,united states
canada,canada,canada
japan,japan,japan
japan,japan,japan
south korea,south korea,south korea
china,china,china
united states,united states,united states
united states,united states,united states
spain,spain,spain
united states,united states,united states
united states,united states,united states
india,india,india
united kingdom,united kingdom,united kingdom
germany,germany,germany
japan,japan,japan
united states,united states,united states
united states,united states,united states
italy,italy,italy
denmark,denmark,denmark
united states,united states,united states
united states,united states,united states
germany,germany,germany
united states,united states,united states
united states,united states,united states
russia,russia,russia
ireland,ireland,ireland
germany,germany,germany
south korea,south korea,south korea
france,france,france
united states,united states,united states
united states,united states,united states
australia,australia,australia
united states,united states,united states
united states,united states,united states
france,france,france
japan,japan,japan
mexico,mexico,mexico
germany,germany,germany
united kingdom,united kingdom,united kingdom
brazil,brazil,brazil
netherlands,netherlands,netherlands
ireland,ireland,ireland
united states,united states,united states
japan,japan,japan
united kingdom,united kingdom,united kingdom
luxembourg,luxembourg,luxembourg
canada,canada,canada
china,china,china
united states,united states,united states
australia,australia,australia
taiwan,taiwan,taiwan
china,china,china
united states,united states,united states
united states,united states,united states
spain,spain,spain
china,china,china
australia,australia,australia
taiwan,taiwan,taiwan
united states,united states,united states
france,france,france
canada,canada,canada
china,china,china
india,india,india
china,china,china
united states,united states,united states
china,china,china
united states,united states,united states
united states,united states,united states
united states,united states,united states
japan,japan,japan
canada,canada,united states
japan,japan,japan
united states,united states,united states
united states,united states,united states
hong kong,hong kong,hong kong
singapore,singapore,singapore
china,china,china
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
canada,canada,canada
france,france,france
france,france,france
united states,united states,united states
united states,united states,united states
india,india,india
united states,united states,united states
germany,germany,germany
thailand,thailand,thailand
hong kong,hong kong,hong kong
canada,canada,canada
canada,canada,canada
united states,united states,united states
united states,united states,united states
united states,united states,united states
china,china,china
united kingdom,united kingdom,united kingdom
united states,united states,united states
united states,united states,united states
china,china,china
singapore,singapore,singapore
china,china,china
china,china,china
united kingdom,united kingdom,united kingdom
united states,united states,united states
united states,united states,united states
united states,united states,united states
canada,canada,canada
qatar,qatar,qatar
germany,germany,germany
united states,united states,united states
china,china,china
united states,united states,united states
south korea,south korea,south korea
china,china,china
united states,united states,united states
finland,finland,finland
japan,japan,japan
canada,canada,canada
united states,united states,united states
france,france,france
japan,japan,japan
united states,united states,united states
united states,united states,united states
brazil,brazil,brazil
united states,united states,united states
india,india,india
united states,united states,united states
germany,germany,germany
spain,spain,spain
switzerland,switzerland,switzerland
sweden,sweden,sweden
united states,united states,united states
united kingdom,united kingdom,united kingdom
united states,united states,united states
south korea,south korea,south korea
netherlands,netherlands,netherlands
canada,canada,canada
sweden,sweden,sweden
south korea,south korea,south korea
france,france,france
denmark,denmark,denmark
south korea,south korea,south korea
united kingdom,united kingdom,united kingdom
netherlands,netherlands,netherlands
china,china,china
united states,united states,united states
united states,united states,united states
china,china,china
china,china,china
china,china,china
china,china,china
colombia,colombia,colombia
united kingdom,united kingdom,united kingdom
china,china,china
italy,italy,italy
united states,united states,united states
france,france,france
spain,spain,spain
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
belgium,belgium,belgium
united kingdom,united kingdom,united kingdom
china,china,china
united states,united states,united states
united states,united states,united states
australia,australia,australia
japan,japan,japan
switzerland,switzerland,switzerland
united states,united states,united states
france,france,france
united states,united states,united states
united states,united states,united states
united states,united states,united states
spain,spain,spain
japan,japan,japan
switzerland,switzerland,switzerland
united states,united states,united states
united states,united states,united states
germany,germany,germany
china,china,china
saudi arabia,saudi arabia,saudi arabia
switzerland,switzerland,switzerland
france,france,france
saudi arabia,saudi arabia,saudi arabia
france,france,france
japan,japan,japan
south korea,south korea,south korea
united states,united states,united states
canada,canada,canada
china,china,china
netherlands,netherlands,netherlands
united states,united states,united states
germany,germany,germany
united states,united states,united states
united states,united states,united states
united states,united states,united states
japan,japan,japan
japan,japan,japan
japan,japan,japan
china,china,china
united arab emirates,united arab emirates,united arab emirates
canada,canada,canada
united states,united states,united states
united states,united states,united states
indonesia,indonesia,indonesia
united kingdom,united kingdom,united kingdom
ireland,ireland,ireland
china,china,china
united states,united states,united states
china,china,china
united states,united states,united states
china,china,china
india,india,india
united states,united states,united states
united states,united states,united states
singapore,singapore,singapore
united states,united states,united states
united states,united states,united states
japan,japan,japan
italy,italy,italy
singapore,singapore,singapore
hong kong,hong kong,hong kong
united states,united states,united states
united states,united states,united states
denmark,denmark,denmark
australia,australia,australia
china,china,china
united states,united states,united states
australia,australia,australia
china,china,china
united states,united states,united states
united states,united states,united states
united states,united states,united states
saudi arabia,saudi arabia,saudi arabia
china,china,china
japan,japan,japan
united states,united states,united states
united states,united states,united states
japan,japan,japan
india,india,india
japan,japan,japan
austria,austria,austria
switzerland,switzerland,switzerland
china,china,china
united states,united states,united states
united states,united states,united states
hong kong,hong kong,hong kong
china,china,china
finland,finland,finland
china,china,china
china,china,china
ireland,ireland,ireland
south korea,south korea,south korea
ireland,ireland,ireland
brazil,brazil,brazil
saudi arabia,saudi arabia,saudi arabia
bermuda,bermuda,bermuda
canada,canada,canada
united states,united states,united states
finland,finland,finland
japan,japan,japan
japan,japan,japan
india,india,india
netherlands,netherlands,netherlands
united kingdom,united kingdom,united kingdom
united arab emirates,united arab emirates,united arab emirates
united kingdom,united kingdom,united kingdom
taiwan,taiwan,taiwan
russia,russia,russia
china,china,china
germany,germany,germany
japan,japan,japan
netherlands,netherlands,netherlands
china,china,china
sweden,sweden,sweden
japan,japan,japan
united states,united states,united states
china,china,china
netherlands,netherlands,netherlands
united states,united states,united states
china,china,china
norway,norway,norway
united states,united states,united states
united kingdom,united kingdom,united kingdom
canada,canada,united states
united states,united states,united states
india,india,india
canada,canada,canada
united states,united states,united states
united kingdom,united kingdom,united kingdom
canada,canada,canada
germany,germany,germany
france,france,france
united states,united states,united states
united states,united states,united states
united states,united states,united states
finland,finland,finland
mexico,mexico,mexico
united states,united states,united states
united states,united states,united states
south africa,south africa,south africa
south africa,south africa,south africa
canada,canada,canada
russia,russia,russia
spain,spain,spain
canada,canada,canada
germany,germany,germany
taiwan,taiwan,taiwan
japan,japan,japan
china,china,china
united states,united states,united states
united states,united states,united states
united states,united states,united states
japan,japan,japan
japan,japan,japan
united kingdom,united kingdom,united kingdom
china,china,china
china,china,china
japan,japan,japan
united arab emirates,united arab emirates,united arab emirates
japan,japan,japan
china,china,china
united states,united states,united states
china,china,china
united states,united states,united states
south africa,south africa,south africa
france,france,france
japan,japan,japan
sweden,sweden,sweden
russia,russia,russia
china,china,china
canada,canada,canada
denmark,denmark,denmark
germany,germany,germany
united kingdom,united kingdom,united kingdom
japan,japan,japan
south korea,south korea,south korea
south korea,south korea,south korea
india,india,india
malaysia,malaysia,malaysia
united states,united states,united states
united arab emirates,united arab emirates,united arab emirates
france,france,france
indonesia,indonesia,indonesia
mexico,mexico,mexico
united states,united states,united states
united states,united states,united states
japan,japan,japan
taiwan,taiwan,taiwan
japan,japan,japan
china,china,china
hong kong,hong kong,hong kong
japan,japan,japan
united kingdom,united kingdom,united kingdom
germany,germany,germany
united kingdom,united kingdom,united kingdom
united states,united states,united states
japan,japan,japan
united states,united states,united states
united states,united states,united states
austria,austria,austria
united states,united states,united states
united states,united states,united states
united states,united states,united states
china,china,china
germany,germany,germany
russia,russia,russia
japan,japan,japan
india,india,india
united states,united states,united states
china,china,china
indonesia,indonesia,indonesia
sweden,sweden,sweden
canada,canada,canada
denmark,denmark,denmark
united states,united states,united states
united states,united states,united states
france,france,france
united states,united states,united states
france,france,france
france,france,france
mexico,mexico,mexico
hong kong,hong kong,hong kong
france,france,france
switzerland,switzerland,switzerland
united states,united states,united states
south korea,south korea,south korea
united states,united states,united states
united states,united states,united states
china,china,china
united states,united states,united states
japan,japan,japan
south korea,south korea,south korea
india,india,india
united kingdom,united kingdom,united kingdom
china,china,china
canada,canada,canada
united states,united states,united states
japan,japan,japan
south korea,south korea,south korea
australia,australia,australia
canada,canada,canada
united states,united states,united states
japan,japan,japan
united states,united states,united states
united states,united states,united states
switzerland,switzerland,switzerland
ireland,ireland,ireland
canada,canada,canada
united states,united states,united states
united states,united states,united states
united kingdom,united kingdom,united kingdom
china,china,china
australia,australia,australia
japan,japan,japan
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
china,china,china
united states,united states,united states
sweden,sweden,sweden
united states,united states,united states
united states,united states,united states
germany,germany,germany
united states,united states,united states
united states,united states,united states
japan,japan,japan
india,india,india
united states,united states,united states
united states,united states,united states
sweden,sweden,sweden
united states,united states,united states
china,china,china
united states,united states,united states
china,china,china
united states,united states,united states
united kingdom,united kingdom,united kingdom
united states,united states,united states
united kingdom,united kingdom,united kingdom
taiwan,taiwan,taiwan
france,france,france
united states,united states,united states
china,china,china
china,china,china
united states,united states,united states
united states,united states,united states
india,india,india
south korea,south korea,south korea
united states,united states,united states
australia,australia,australia
switzerland,switzerland,switzerland
canada,canada,canada
united states,united states,united states
united states,united states,united states
united states,united states,united states
france,france,france
japan,japan,japan
united states,united states,united states
switzerland,switzerland,switzerland
germany,germany,germany
china,china,china
japan,japan,japan
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
china,china,china
united states,united states,united states
india,india,india
united states,united states,united states
china,china,china
united states,united states,united states
germany,germany,germany
taiwan,taiwan,taiwan
united states,united states,united states
china,china,china
france,france,france
united states,united states,united states
turkey,turkey,turkey
japan,japan,japan
china,china,china
india,india,india
canada,canada,canada
united states,united states,united states
germany,germany,germany
united states,united states,united states
china,china,china
japan,japan,japan
united kingdom,united kingdom,united kingdom
china,china,china
hong kong,hong kong,hong kong
japan,japan,japan
taiwan,taiwan,taiwan
united states,united states,united states
united states,united states,united states
china,china,china
india,india,india
china,china,china
france,france,france
united arab emirates,united arab emirates,united arab emirates
united states,united states,united states
japan,japan,japan
united states,united states,united states
spain,spain,spain
china,china,china
taiwan,taiwan,taiwan
japan,japan,japan
united states,united states,united states
china,china,china
netherlands,netherlands,netherlands
united states,united states,united states
united states,united states,united states
japan,japan,japan
united states,united states,united states
china,china,china
sweden,sweden,sweden
united states,united states,united states
japan,japan,japan
portugal,portugal,portugal
japan,japan,japan
china,china,china
united states,united states,united states
hong kong,hong kong,hong kong
canada,canada,canada
finland,finland,finland
germany,germany,germany
sweden,sweden,sweden
united kingdom,united kingdom,united kingdom
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
taiwan,taiwan,taiwan
saudi arabia,saudi arabia,saudi arabia
united states,united states,united states
russia,russia,russia
united kingdom,united kingdom,united kingdom
united states,united states,united states
hong kong,hong kong,hong kong
united states,united states,united states
china,china,china
united states,united states,united states
china,china,china
china,china,china
china,china,china
united states,united states,united states
china,china,china
france,france,france
united states,united states,united states
united states,united states,united states
bermuda,bermuda,bermuda
united states,united states,united states
israel,israel,israel
ireland,ireland,ireland
france,france,france
united states,united states,united states
united states,united states,united states
france,france,france
south korea,south korea,south korea
united states,united states,united states
india,india,india
china,china,china
united states,united states,united states
switzerland,switzerland,switzerland
china,china,china
belgium,belgium,belgium
taiwan,taiwan,taiwan
canada,canada,canada
united states,united states,united states
south korea,south korea,south korea
united states,united states,united states
japan,japan,japan
united states,united states,united states
japan,japan,japan
china,china,china
united kingdom,united kingdom,united kingdom
india,india,india
japan,japan,japan
united states,united states,united states
india,india,india
japan,japan,japan
united states,united states,united states
south korea,south korea,south korea
hong kong,hong kong,hong kong
kuwait,kuwait,kuwait
singapore,singapore,singapore
united states,united states,united states
united states,united states,united states
saudi arabia,saudi arabia,saudi arabia
china,china,china
japan,japan,japan
japan,japan,japan
united states,united states,united states
united states,united states,united states
netherlands,netherlands,netherlands
indonesia,indonesia,indonesia
poland,poland,poland
china,china,china
norway,norway,norway
taiwan,taiwan,taiwan
united states,united states,united states
malaysia,malaysia,malaysia
china,china,china
china,china,china
united states,united states,united states
china,china,china
united kingdom,united kingdom,united kingdom
united states,united states,united states
japan,japan,japan
united states,united states,united states
sweden,sweden,sweden
thailand,thailand,thailand
japan,japan,japan
united arab emirates,united arab emirates,united arab emirates
china,china,china
china,china,china
china,china,china
china,china,china
china,china,china
hong kong,hong kong,hong kong
south korea,south korea,south korea
canada,canada,canada
south korea,south korea,south korea
netherlands,netherlands,netherlands
brazil,brazil,brazil
united states,united states,united states
united states,united states,united states
bermuda,bermuda,bermuda
united states,united states,united states
united states,united states,united states
united states,united states,united states
japan,japan,japan
japan,japan,japan
china,china,china
thailand,thailand,thailand
israel,israel,israel
australia,australia,australia
hong kong,hong kong,hong kong
russia,russia,russia
india,india,india
united states,united states,united states
switzerland,switzerland,switzerland
france,france,france
japan,japan,japan
united states,united states,united states
united states,united states,united states
china,china,china
austria,austria,austria
united states,united states,united states
germany,germany,germany
united states,united states,united states
south korea,south korea,south korea
united states,united states,united states
finland,finland,finland
taiwan,taiwan,taiwan
south korea,south korea,south korea
sweden,sweden,sweden
japan,japan,japan
spain,spain,spain
india,india,india
japan,japan,japan
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
united states,united states,united states
china,china,china
united states,united states,united states
finland,finland,finland
taiwan,taiwan,taiwan
united kingdom,united kingdom,united kingdom
india,india,india
