03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu,07-silvestri-revenue_2020,08-slytherin-revenue
507000.0,doll_97.61 m,doll_97.61 m,doll_97.61 m,doll_88.77 m
344428.0,doll_57.32 m,doll_57.32 m,doll_57.32 m,doll_45.48 m
4325512.0,doll_568.32 m,doll_568.32 m,doll_568.32 m,doll_9.49 m
2652185.0,doll_316.73 m,doll_316.73 m,doll_316.73 m,doll_12.44 m
486165.0,doll_56.11 m,doll_56.11 m,doll_56.11 m,doll_24.42 m
150908.0,doll_13.17 m,doll_13.17 m,doll_13.17 m,doll_108.46 m
251668.0,doll_18.73 m,doll_18.73 m,doll_18.73 m,doll_44.04 m
706700.0,doll_47.6 m,doll_47.6 m,doll_47.6 m,doll_15.02 m
111500.0,doll_7.34 m,doll_7.34 m,doll_7.34 m,doll_64.65 m
392055.0,doll_24.48 m,doll_24.48 m,doll_24.48 m,doll_7.06 m
680197.0,doll_41.21 m,doll_41.21 m,doll_41.21 m,doll_86.35 m
153046.0,doll_9.02 m,doll_9.02 m,doll_9.02 m,doll_6.17 m
155406.0,doll_9.03 m,doll_9.03 m,doll_9.03 m,doll_31.04 m
229201.0,doll_12.16 m,doll_12.16 m,doll_12.16 m,doll_4.56 m
238118.0,doll_11.39 m,doll_11.39 m,doll_11.39 m,doll_204.99 m
454975.0,doll_21.46 m,doll_21.46 m,doll_21.46 m,doll_46.08 m
149397.0,doll_7.23 m,doll_7.23 m,doll_7.23 m,doll_35.63 m
325585.0,doll_14.34 m,doll_14.34 m,doll_14.34 m,doll_97.61 m
160624.0,doll_6.85 m,doll_6.85 m,doll_6.85 m,doll_5.62 m
274575.0,doll_11.58 m,doll_11.58 m,doll_11.58 m,doll_6.75 m
782918.0,doll_30.89 m,doll_30.89 m,doll_30.89 m,doll_7.42 m
238451.0,doll_9.01 m,doll_9.01 m,doll_9.01 m,doll_24.81 m
207120.0,doll_8.38 m,doll_8.38 m,doll_8.38 m,doll_7.56 m
416562.0,doll_16.14 m,doll_16.14 m,doll_16.14 m,doll_57.32 m
363010.0,doll_13.89 m,doll_13.89 m,doll_13.89 m,doll_568.32 m
181772.0,doll_6.24 m,doll_6.24 m,doll_6.24 m,doll_23.52 m
214673.0,doll_6.46 m,doll_6.46 m,doll_6.46 m,doll_9.78 m
170950.0,doll_5.19 m,doll_5.19 m,doll_5.19 m,doll_3.36 m
263663.0,doll_8.04 m,doll_8.04 m,doll_8.04 m,doll_17.91 m
4044537.0,doll_121.31 m,doll_121.31 m,doll_121.31 m,doll_7.18 m
381830.0,doll_11.3 m,doll_11.3 m,doll_11.3 m,doll_316.73 m
155043.0,doll_4.54 m,doll_4.54 m,doll_4.54 m,doll_1737.59 m
125682.0,doll_3.58 m,doll_3.58 m,doll_3.58 m,doll_3.64 m
7403458.0,doll_210.56 m,doll_210.56 m,doll_210.56 m,doll_35.24 m
210820.0,doll_5.82 m,doll_5.82 m,doll_5.82 m,doll_10.71 m
2039961.0,doll_56.02 m,doll_56.02 m,doll_56.02 m,doll_6.76 m
155310.0,doll_4.18 m,doll_4.18 m,doll_4.18 m,doll_14.63 m
182100.0,doll_4.45 m,doll_4.45 m,doll_4.45 m,doll_8.38 m
229713.0,doll_5.93 m,doll_5.93 m,doll_5.93 m,doll_56.11 m
225380.0,doll_5.72 m,doll_5.72 m,doll_5.72 m,doll_101.48 m
194090.0,doll_4.86 m,doll_4.86 m,doll_4.86 m,doll_807.49 m
101311.0,doll_2.55 m,doll_2.55 m,doll_2.55 m,doll_21.69 m
100711.0,doll_2.43 m,doll_2.43 m,doll_2.43 m,doll_9.45 m
379771.0,doll_8.95 m,doll_8.95 m,doll_8.95 m,doll_209.25 m
757323.0,doll_17.16 m,doll_17.16 m,doll_17.16 m,doll_28.21 m
110200.0,doll_2.5 m,doll_2.5 m,doll_2.5 m,doll_13.17 m
744092.0,doll_16.48 m,doll_16.48 m,doll_16.48 m,doll_55.9 m
387995.0,doll_8.59 m,doll_8.59 m,doll_8.59 m,doll_2.61 m
179204.0,doll_3.84 m,doll_3.84 m,doll_3.84 m,doll_215.01 m
388565.0,doll_7.78 m,doll_7.78 m,doll_7.78 m,doll_3.63 m
1186853.0,doll_25.9 m,doll_25.9 m,doll_25.9 m,doll_249.53 m
640056.0,doll_13.31 m,doll_13.31 m,doll_13.31 m,doll_12.01 m
