09-wissel-registration_date,09-wissel-dissolution_date
,
,4 December 2012
19 August 2022,
17 November 2022,
16 November 2022,
17 October 2022,
8 November 2022,
23 November 2022,
29 November 2022,
,
,24 February 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,7 January 2022
,
,
,
,30 August 2022
,
,
,
,
,
,
,
,
,7 March 2022
,
,
,
,
,
,
,5 July 2022
,
,
,
,
,
,2 August 2022
,
,
,
,
,
,
,
,
,
,11 January 2022
,21 December 2021
,
,
,
,
,
,17 May 2022
,
,21 December 2021
,
,
,
,
,
,17 May 2022
,
,
,
,
,5 April 2022
,
,
,
,
,
,4 January 2022
,
,
,
,
,
,
,
,
,
,
,
,14 December 2021
,
,
,
,
,
,
,
,
,
,
,
,
,
,22 July 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,18 January 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,15 March 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,23 August 2022
,
,
,
,
,
,
,
,
,11 October 2022
,
,
,
,7 December 2021
,
,
,
,
,11 January 2022
,
,
,
,
,1 March 2022
,
,
,
,
,6 September 2022
,
,
,
,
,
,15 February 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,26 April 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,23 August 2022
,
,
,
,
,
,7 June 2022
,
,
,
,7 December 2021
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,7 December 2021
,
,
,
,
,
,
,
,
,
,14 December 2021
,
,
,
,18 January 2022
,
,
,
,23 August 2022
,19 April 2022
,
,18 October 2022
,13 September 2022
,
,18 October 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,11 January 2022
,
,
,
,
,
,
,
,
,22 February 2022
,
,
,15 February 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,7 June 2022
,
,28 June 2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5 October 2022,
24 October 2022,
6 September 2022,
,
,
,
,
,
,
,
,3 May 2022
,
,
,
,28 June 2022
,
,
,
,
,
,
,
,
,
,8 February 2022
,
,
,
,
,
,
,
,
,
,5 April 2022
,
,
,4 October 2022
,
,
,
,
,
,
,
,
,
,
,
,
,31 May 2022
,
,
,
,
,
,
,
