00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo
tim cook,tim cook,tim cook,tim cook,bernard arnault,tim cook
c. c. wei,,satya nadella,satya nadella,ulf mark schneider,mark liu
jensen huang,h.e. yasir othman al-rumayyan,amin h. al-nasser,amin h. al-nasser,severin schwan,satya nadella
warren buffett,john l. hennessy,sundar pichai,sundar pichai,peter wennink,jensen huang
mark zuckerberg,andy jassy,andy jassy,andy jassy,bob van dijk,andy jassy
elon musk,elon musk,elon musk,elon musk,jean paul agon,h.e. yasir othman al-rumayyan
andy jassy,mark zuckerberg,mark zuckerberg,mark zuckerberg,julie sweet,warren buffett
sundar pichai,warren buffett,warren buffett,warren buffett,lars fruergaard jorgensen,john l. hennessy
amin h. al-nasser,jensen huang,jensen huang,jensen huang,vasant narasimhan,elon musk
satya nadella,mark liu,c. c. wei,c. c. wei,ben van beurden,mark zuckerberg
doug mcmillon,,ma huateng,ma huateng,pascal soriot,lee kun-hee
brian moynihan,james quincey,jamie dimon,jamie dimon,axel dumas,doug mcmillon
bernard arnault,chuck robbins,alfred f kelly jr,alfred f kelly jr,sanjiv lamba,frank blake
craig menear,henry samueli,joaquin duato,joaquin duato,christian klein,bernard arnault
andrew witty,,kim hyun suk koh dong-jin kim ki nam,kim hyun suk,pietro beccari,andrew witty
"['kim hyun suk', 'koh dong-jin', 'kim ki nam']",chen siqing,andrew witty,andrew witty,geoffrey s. martha,william c. weldon
joaquin duato,,craig menear,craig menear,roland busch,william b. harrison jr.
alfred f kelly jr,mark parker,bernard arnault,bernard arnault,patrick pouyanne,brian moynihan
jamie dimon,juan r. luciano,brian moynihan,brian moynihan,alan jope,alfred f kelly jr
ma huateng,shantanu narayen,doug mcmillon,doug mcmillon,herbert diess,ma huateng
jon r. moeller,ma huateng,jon r. moeller,jon r. moeller,noel quinn,albert bourla
bob chapek,william b. harrison jr.,li bao fang,li bao fang,paul hudson,michael miebach
darren woods,alfred f kelly jr,ulf mark schneider,ulf mark schneider,ivan menezes,daniel zhang
peter wennink,william c. weldon,michael miebach,michael miebach,jakob stausholm,li bao fang
albert bourla,lee kun-hee,severin schwan,severin schwan,dame emma walmsley,christoph franz
daniel zhang,andrew witty,daniel zhang,daniel zhang,michel doukeris,gerard kleisterlee
severin schwan,frank blake,albert bourla,albert bourla,alexey miller,suresh narayanan
michael miebach,bernard arnault,peter wennink,peter wennink,jean-pascal tricoire,jon r. moeller
ulf mark schneider,brian moynihan,darren woods,darren woods,guillaume faury,susan arnold
li bao fang,doug mcmillon,bob chapek,bob chapek,oliver bate,darren w. woods
shantanu narayen,jon r. moeller,akio toyoda,akio toyoda,belen garijo,henry samueli
david a. ricks,li bao fang,james quincey,james quincey,francois-henri pinault,jean paul agon
john donahoe,suresh narayanan,chuck robbins,chuck robbins,pablo isla,shantanu narayen
jean paul agon,michael miebach,hock e. tan,hock e. tan,bernard looney,james quincey
nicolas jimenez,christoph franz,bob van dijk,bob van dijk,timotheus hottges,koos bekker
