07-silvestri-market_value_jan_2020,03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,03-gren-annual_revenue_usd
doll_2.38 b,doll_99.8 b,doll_1.323 t,doll_394.33 b
doll_3.12 b,doll_72.74 b,doll_1.215 t,doll_198.27 b
doll_2.8 b,doll_105.38 b,doll_1.8981 t,doll_400.46 b
doll_1.28 b,doll_76.0 b,doll_9.44 b,doll_257.64 b
doll_1.26 b,doll_33.36 b,doll_9.41 b,doll_469.82 b
doll_1.66 b,doll_5.52 b,doll_80.03 m,doll_53.82 b
doll_1.34 b,doll_39.37 b,doll_5.98 b,doll_117.93 b
doll_1.38 b,doll_89.8 b,doll_5.55 b,doll_354.64 b
doll_2.15 b,doll_9.75 b,doll_1.46 b,doll_26.91 b
doll_2.37 b,doll_20.78 b,doll_2.93 b,doll_55.31 b
doll_1.35 b,doll_35.32 b,doll_4.79 b,doll_88.0 b
doll_78.34 m,doll_46.5 b,doll_4.38 b,doll_121.64 b
doll_1.14 b,doll_12.31 b,doll_4.22 b,doll_24.1 b
doll_1.7 b,doll_20.87 b,doll_3.83 b,doll_93.77 b
doll_93.28 m,doll_32.18 b,doll_3.2 b,doll_229.28 b
doll_1.54 b,doll_17.28 b,doll_2.75 b,doll_285.27 b
doll_1.09 b,doll_16.43 b,doll_2.4 b,doll_151.16 b
doll_1.45 b,doll_13.26 b,doll_2.38 b,doll_70.77 b
doll_1.52 b,doll_30.55 b,doll_3.18 b,doll_89.11 b
doll_1.11 b,doll_13.67 b,doll_3.37 b,doll_572.75 b
doll_1.61 b,doll_14.46 b,doll_3.08 b,doll_80.19 b
doll_1.27 b,doll_7.63 b,doll_1.91 b,doll_15.93 b
doll_1.04 b,doll_17.97 b,doll_3.12 b,doll_92.58 b
doll_1.15 b,doll_8.68 b,doll_3.04 b,doll_18.88 b
doll_1.17 b,doll_14.81 b,doll_2.8 b,doll_66.76 b
doll_1.63 b,doll_9.02 b,doll_5.92 b,doll_124.14 b
doll_93.96 m,doll_21.98 b,doll_2.15 b,doll_81.29 b
doll_57.46 m,doll_6.76 b,doll_1.28 b,doll_20.51 b
doll_1.17 b,doll_23.04 b,doll_2.98 b,doll_285.64 b
doll_1.06 b,doll_1.99 b,doll_2.67 b,doll_67.41 b
doll_52.67 m,doll_20.8 b,doll_2.03 b,doll_228.98 b
doll_84.01 m,doll_9.77 b,doll_2.36 b,doll_38.66 b
doll_1.11 b,doll_11.81 b,doll_2.04 b,doll_51.56 b
doll_1.29 b,doll_6.44 b,doll_1.27 b,doll_27.45 b
doll_78.32 m,doll_18.73 b,doll_1.26 b,doll_6.87 b
doll_74.76 m,doll_51.21 b,doll_3.01 b,doll_138.16 b
doll_67.45 m,doll_5.07 b,doll_1.66 b,doll_35.58 b
doll_1.01 b,doll_6.05 b,doll_1.6 b,doll_46.71 b
doll_61.3 m,doll_5.58 b,doll_1.28 b,doll_28.32 b
doll_66.78 m,doll_4.82 b,doll_1.61 b,doll_15.79 b
doll_70.06 m,doll_15.62 b,doll_2.29 b,doll_155.6 b
doll_14.54 m,doll_7.61 b,doll_1.89 b,doll_79.47 b
doll_45.1 m,doll_7.07 b,doll_1.52 b,doll_43.08 b
doll_70.86 m,doll_5.12 b,doll_1.45 b,doll_29.7 b
doll_90.33 m,0.0,0,doll_103.0 b
doll_47.67 m,doll_7.72 b,doll_1.33 b,doll_39.21 b
doll_82.06 m,doll_11.54 b,doll_1.32 b,doll_56.2 b
doll_47.72 m,doll_5.01 b,doll_1.31 b,doll_195.92 b
doll_49.33 m,doll_5.91 b,doll_1.34 b,doll_50.53 b
doll_43.99 m,doll_6.72 b,doll_1.72 b,doll_42.44 b
doll_53.28 m,doll_7.07 b,doll_1.38 b,doll_20.84 b
doll_78.0 m,doll_14.16 b,doll_2.06 b,doll_116.38 b
doll_24.98 m,doll_22.06 b,doll_2.52 b,doll_133.61 b
doll_68.46 m,doll_1.44 b,doll_1.47 b,doll_26.49 b
doll_63.05 m,doll_7.6 b,doll_1.36 b,doll_87.61 b
doll_42.9 m,doll_4.17 b,doll_1.3 b,doll_25.37 b
doll_42.02 m,doll_21.55 b,doll_2.27 b,doll_78.49 b
doll_54.03 m,doll_19.86 b,doll_2.64 b,doll_79.02 b
doll_61.32 m,doll_7.46 b,doll_1.08 b,doll_29.45 b
doll_70.79 m,doll_13.04 b,doll_2.32 b,doll_48.7 b
doll_28.03 m,doll_9.04 b,doll_1.03 b,doll_33.56 b
doll_62.11 m,doll_24.02 b,doll_2.15 b,doll_52.88 b
doll_39.31 m,doll_17.79 b,doll_1.4 b,doll_48.55 b
doll_46.42 m,doll_7.54 b,doll_1.57 b,doll_23.22 b
0,doll_2.32 b,doll_33.24 m,doll_18.97 b
doll_42.03 m,doll_4.8 b,doll_1.13 b,doll_24.0 b
doll_57.94 m,doll_12.89 b,doll_1.02 b,doll_97.29 b
doll_71.79 m,doll_19.87 b,doll_2.84 b,doll_168.86 b
doll_35.34 m,doll_14.57 b,doll_83.87 m,doll_56.41 b
doll_64.25 m,doll_44.47 b,doll_2.23 b,doll_120.93 b
doll_47.44 m,doll_-21680.0 m,doll_2.37 b,doll_180.64 b
doll_39.78 m,doll_112.0 m,doll_1.35 b,doll_37.42 b
doll_29.41 m,doll_5.86 b,doll_62.46 m,doll_19.0 b
doll_66.23 m,doll_2.69 b,doll_78.34 m,doll_9.9 b
doll_35.77 m,doll_3.83 b,doll_1.14 b,doll_30.79 b
doll_48.35 m,doll_3.57 b,doll_1.2 b,doll_17.07 b
doll_27.31 m,doll_8.41 b,doll_93.56 m,doll_96.25 b
doll_47.99 m,doll_7.77 b,doll_1.26 b,doll_18.34 b
doll_15.14 m,doll_6.52 b,doll_1.27 b,doll_21.8 b
doll_17.61 m,doll_21.39 b,doll_1.41 b,doll_45.07 b
doll_26.54 m,doll_5.79 b,doll_1.7 b,doll_30.68 b
0,doll_35.1 b,doll_1.86 b,doll_104.7 b
doll_64.44 m,doll_2.07 b,doll_69.11 m,doll_12.73 b
doll_78.08 m,doll_-3698.0 m,doll_78.82 m,doll_28.14 b
doll_65.79 m,doll_12.23 b,doll_1.13 b,doll_35.38 b
doll_46.65 m,doll_3.16 b,doll_55.86 m,doll_16.43 b
doll_35.74 m,doll_6.44 b,doll_1.0 b,doll_72.4 b
doll_26.45 m,doll_9.11 b,doll_1.35 b,doll_31.41 b
doll_43.27 m,doll_15.96 b,doll_2.27 b,doll_202.29 b
doll_32.39 m,doll_5.54 b,doll_1.28 b,doll_34.39 b
doll_56.98 m,doll_10.8 b,doll_1.02 b,doll_32.5 b
doll_8.12 m,doll_13.41 b,doll_1.48 b,doll_380.44 b
