07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,04-iGMM-world_rank__jan_07_2022,04-iGMM-world_rank__jan_2020
"150,000","154,000","154,000",1,2.0
"276,000","65,152","220,000",2,3.0
"100,920","18,975","79,800",3,1.0
"28,000","372,000","156,500",4,4.0
"23,874","77,805","1,335,000",5,5.0
"85,392","99,290","99,290",6,144.0
"699,000","1,335,000","77,805",7,6.0
"45,971","156,500","372,000",8,8.0
"104,323","79,800","18,975",9,63.0
"86,000","220,000","65,152",10,21.0
"83,100","2,300,000","112,771",11,9.0
"15,417","208,000","271,025",12,10.0
"74,207","150,000","21,500",13,11.0
"107,415","500,000","141,700",14,12.0
"128,339","350,000","113,753",15,14.0
"90,000","113,753","350,000",16,24.0
"303,000","141,700","500,000",17,28.0
"105,476","21,500","150,000",18,29.0
"149,000","271,025","208,000",19,15.0
"662,575","112,771","2,300,000",20,13.0
"223,448","101,000","101,000",21,17.0
"95,442","190,000","29,031",22,42.0
"28,025","64,000","276,000",23,16.0
"49,000","28,000","24,000",24,18.0
"99,000","78,500","100,920",25,23.0
"164,000","251,462","251,462",26,7.0
"473,800","100,920","78,500",27,37.0
"166,025","24,000","28,000",28,84.0
"125,888","276,000","64,000",29,20.0
"150,269","29,031","190,000",30,25.0
"58,408","25,988","366,283",31,41.0
"38,553","35,000","80,300",32,31.0
"144,116","73,300","79,500",33,40.0
"60,000","85,392","20,000",34,85.0
"226,291","434,798","23,874",35,89.0
"190,000","23,874","434,798",36,19.0
"21,245","20,000","85,392",37,50.0
"55,000","79,500","73,300",38,54.0
"288,481","80,300","35,000",39,82.0
"151,017","366,283","25,988",40,52.0
"31,000","132,000","42,595",41,33.0
"32,424","699,000","309,000",42,43.0
"34,760","288,000","113,000",43,57.0
"67,000","50,000","12,135",44,65.0
"285,555","130,000","750,000",44,
"52,000","750,000","130,000",45,74.0
"66,438","12,135","50,000",46,76.0
"571,974","113,000","288,000",47,77.0
"40,000","309,000","699,000",48,73.0
"20,054","42,595","132,000",49,48.0
"105,000","45,971","45,971",50,69.0
"315,000","68,000","189,000",51,39.0
"1,750","78,000","118,400",52,27.0
"96,595","121,100","56,606",53,62.0
"45,000","253,871","236,330",54,70.0
"19,789","30,900","30,900",55,79.0
"134,878","236,330","253,871",56,34.0
"120,726","56,606","121,100",57,26.0
"16,821","118,400","78,000",58,102.0
"110,302","189,000","68,000",59,32.0
"80,000","349,671","45,000",60,111.0
"52,930","68,097","104,323",61,38.0
"85,947","203,000","90,867",62,68.0
"71,551","534,000","200,000",63,55.0
"189,512","613,974","33,078",64,466.0
"4,556","33,078","606,331",65,97.0
"43,000","200,000","534,000",66,115.0
"191,189","90,867","203,000",67,22.0
"95,850","104,323","68,097",68,138.0
"217,731","45,000","349,671",69,36.0
"18,500","32,000","86,000",70,30.0
"90,000","83,100","83,100",71,72.0
"50,288","86,000","32,000",72,201.0
"101,000","80,000","15,417",73,149.0
"31,000","32,124","74,207",74,95.0
"33,500","31,000","9,700",75,91.0
"16,218","220,000","220,000",76,124.0
"57,000","9,700","31,000",77,88.0
"14,100","74,207","32,124",78,86.0
"2,980","15,417","80,000",79,67.0
"24,848","99,000","107,415",80,49.0
,"362,000","459,000",81,45.0
"62,285","69,900","13,500",82,177.0
"99,538","109,700","58,390",83,148.0
"76,800","15,500","85,301",84,96.0
"105,615","85,301","15,500",85,236.0
"24,158","58,390","109,700",86,117.0
"56,000","13,500","69,900",87,71.0
"23,683","459,000","362,000",88,35.0
"89,000","107,415","99,000",89,81.0
"31,495","295,000","89,464",90,114.0
"1,941","105,476","476,223",91,61.0
"61,576","303,000","128,339",92,126.0
"16,000","32,200","7,000",93,305.0
"28,051","90,000","8,380",94,134.0
"18,687","8,380","90,000",95,56.0
"1,160","7,000","32,200",96,58.0
,"128,339","303,000",97,101.0
"83,000","476,223","105,476",98,64.0
282,"89,464","295,000",99,119.0
"75,901","149,000","149,000",100,59.0
"6,429","223,448","75,000",101,182.0
"73,037","27,000","306,322",102,60.0
"16,842","662,575","16,500",103,145.0
"151,000","64,000","500,000",103,103.0
"48,254","174,000","174,000",104,78.0
"37,000","500,000","64,000",105,108.0
"39,642","16,500","662,575",106,99.0
"105,000","306,322","27,000",107,229.0
"6,617","75,000","223,448",108,53.0
"17,800","383,000","43,900",109,113.0
"10,622","95,442","26,348",110,173.0
"110,432","141,014","223,400",111,46.0
"478,070","62,000","454,332",112,47.0
"79,200",,"24,200",113,66.0
"101,911","24,200",,113,113.0
"20,532","454,332","62,000",114,161.0
"1,519","223,400","141,014",115,44.0
"23,655","26,348","95,442",116,87.0
"4,825","43,900","383,000",117,103.0
"289,501","161,027","49,245",118,118.0
"9,016","9,793","23,000",119,75.0
"167,552","75,600","28,025",120,107.0
"34,352","49,000","5,618",121,112.0
"78,249","375,300","107,700",122,139.0
"33,916","107,700","375,300",123,90.0
"59,900","5,618","49,000",124,94.0
"101,322","28,025","75,600",125,240.0
"23,127","23,000","9,793",126,183.0
"20,477","49,245","161,027",127,120.0
"61,380","22,850","2,053",128,235.0
"19,386","473,800","16,881",129,244.0
"9,200","93,700","168,000",130,109.0
"171,000","164,000","409,000",131,192.0
"52,600","104,160","99,000",132,93.0
"90,836","99,000","104,160",133,83.0
"87,927","409,000","164,000",134,51.0
"37,125","168,000","93,700",135,105.0
"232,000","16,881","473,800",136,123.0
"78,126","2,053","22,850",137,185.0
"12,568","122,000","166,025",138,226.0
"2,877","125,888","26,037",139,139.0
"48,000","6,132","18,800",139,
"81,592","63,900","10,100",140,167.0
"72,644","43,000","314,906",141,210.0
"19,200","314,906","43,000",142,205.0
,"10,100","63,900",143,154.0
"67,409","18,800","6,132",144,276.0
"153,000","26,037","125,888",145,92.0
"19,000","166,025","122,000",145,145.0
"167,743","56,000","60,000",145,145.0
"7,340","38,553","33,800",146,870.0
916,"27,558","95,000",147,110.0
"152,050","303,350","150,269",148,104.0
"10,540","58,408","345,218",149,335.0
"117,500","346,845","58,408",150,257.0
"36,726","150,269","303,350",151,121.0
"13,500","95,000","27,558",152,128.0
"15,500","33,800","38,553",153,137.0
"7,238","60,000","56,000",154,164.0
"367,321","19,400","19,400",155,132.0
"18,700","400,000","12,100",156,196.0
"13,189","13,716","43,000",157,147.0
"84,512","25,000","114,000",158,98.0
"13,840","60,000","144,116",159,100.0
"19,062","183,000","183,000",160,413.0
"46,600","144,116","60,000",161,80.0
"11,908","114,000","25,000",162,131.0
