,column_name,cluster
0,ambitiobox-name,17
1,ambitiobox-industry,3
2,ambitiobox-headquarter,17
3,ambitiobox-ownership,2
4,ambitiobox-foundation_year,5
5,ariregister-url,21
6,ariregister-id,1
7,ariregister-name,16
8,ariregister-code,12
9,ariregister-legal_form,17
10,ariregister-status,2
11,ariregister-registration_date,15
12,ariregister-capital,16
13,ariregister-address,19
14,ariregister-deletion_date,15
15,cbinsights-valuation,6
16,cbinsights-totalraised,27
17,cbinsights-city,2
18,cbinsights-founded,24
19,cbinsights-country,4
20,cbinsights-stage,17
21,cbinsights-investors,10
22,cbinsights-datejoined,15
23,cbinsights-name,2
24,cbinsights-industry,31
25,companiesmarketcap-id,11
26,companiesmarketcap-employees,1
27,companiesmarketcap-pricecap,6
28,companiesmarketcap-revenue,6
29,companiesmarketcap-earnings,6
30,companiesmarketcap-name,17
31,companiesmarketcap-change_1day,20
32,companiesmarketcap-change_1year,20
33,companiesmarketcap-share_price,6
34,companiesmarketcap-url,18
35,companiesmarketcap-company_code,2
36,companiesmarketcap-rank,14
37,companiesmarketcap-country,4
38,companiesmarketcap-shares,9
39,companiesmarketcap-categories,31
40,disfold-founded,26
41,disfold-headquarters_country,2
42,disfold-employees,26
43,disfold-industry,17
44,disfold-link,30
45,disfold-rank,1
46,disfold-headquarters,17
47,disfold-official_name,17
48,disfold-sector,3
49,disfold-market_cap,27
50,disfold-ceo,17
51,disfold-country,4
52,disfold-id,16
53,disfold-revenue,13
54,disfold-net_income,27
55,disfold-name,17
56,disfold-gbp,27
57,disfold-stock,16
58,disfold-headquarters_continent,4
59,disfold-categories,23
60,forbes-ceo,17
61,forbes-founded,5
62,forbes-employees,1
63,forbes-sales,6
64,forbes-assets,6
65,forbes-market_value,6
66,forbes-profit,6
67,forbes-industry,31
68,forbes-name,17
69,forbes-country,4
70,forbes-link,7
71,ft-employees_number_2017,1
72,ft-employees_number_2020,1
73,ft-sector,3
74,ft-revenue_2017_eu,1
75,ft-name,17
76,ft-country,4
77,ft-link,32
78,ft-revenue_2020_eu,27
79,ft-compound_annual_growth_rate_cagr_pct,1
80,ft-founding_year,5
81,ft-absolute_growth_rate_pct,1
82,globaldata-name,25
83,globaldata-headquarters,4
84,globaldata-number_of_employees,8
85,globaldata-address,33
86,globaldata-industry,3
87,globaldata-website,32
88,globaldata-market_cap,6
89,globaldata-telephone,26
90,globaldata-revenue,6
91,govuk-company_number,8
92,govuk-name,17
93,govuk-office_address,10
94,govuk-dissolution_date,28
95,govuk-registration_date,28
96,govuk-registered_office_address,10
97,govuk-incorporation_date,28
98,govuk-url,21
99,govuk-id,8
100,govuk-company_type,17
101,govuk-company_status,2
102,hithorizons-Unnamed: 0,1
103,hithorizons-id,11
104,hithorizons-name,17
105,hithorizons-address,10
106,hithorizons-nation,4
107,hithorizons-hhid,11
108,hithorizons-industry,31
109,hithorizons-sic_code,17
110,hithorizons-type,2
111,hithorizons-est_of_ownership,5
112,infoclipper-index,8
113,infoclipper-url,21
114,infoclipper-name,17
115,infoclipper-trade_name,17
116,infoclipper-address_name,25
117,infoclipper-postalcode,22
118,infoclipper-city,2
119,infoclipper-state,4
120,infoclipper-country,4
121,infoclipper-location_type,2
122,teamblind-name,17
123,teamblind-website,2
124,teamblind-locations,17
125,teamblind-size,28
126,teamblind-industry,3
127,teamblind-founded,5
128,valuetoday-name,17
129,valuetoday-employees_number,1
130,valuetoday-facebook_page_url,7
131,valuetoday-twitter_page_url,32
132,valuetoday-industry,29
133,valuetoday-link,7
134,valuetoday-id,11
135,valuetoday-ceo,17
136,valuetoday-country,4
137,valuetoday-world_rank,8
138,valuetoday-company_website,32
139,valuetoday-headquarters_region_city,2
140,valuetoday-headquarters_sub_region,17
141,valuetoday-headquarters_continent,2
142,valuetoday-rank,1
143,valuetoday-wikipedia_page_url,7
144,valuetoday-annual_results_for_year_ending,16
145,valuetoday-employees_2022,8
146,valuetoday-sector,3
147,valuetoday-market_value_jan_2020,27
148,valuetoday-market_value_jan_2021,27
149,valuetoday-annual_revenue_usd,27
150,valuetoday-annual_net_income_usd,6
151,valuetoday-founded,5
152,valuetoday-founders,0
153,valuetoday-revenue,27
154,valuetoday-market_capitalization_2022,27
155,valuetoday-total_assets_in_usd,27
156,valuetoday-total_equity_in_usd,27
157,valuetoday-total_liabilities_in_usd,27
158,wikipedia-founded,5
159,wikipedia-area_served,0
160,wikipedia-notes,31
161,wikipedia-name,17
162,wikipedia-headquarters,2
163,wikipedia-industry,3
