,revenue_2020_eu
0,doll_97.61 m
1,doll_57.32 m
2,doll_568.32 m
3,doll_316.73 m
4,doll_56.11 m
5,doll_13.17 m
6,doll_18.73 m
7,doll_47.6 m
8,doll_7.34 m
9,doll_24.48 m
10,doll_41.21 m
11,doll_9.02 m
12,doll_9.03 m
13,doll_12.16 m
14,doll_11.39 m
15,doll_21.46 m
16,doll_7.23 m
17,doll_14.34 m
18,doll_6.85 m
19,doll_11.58 m
20,doll_30.89 m
21,doll_9.01 m
22,doll_8.38 m
23,doll_16.14 m
24,doll_13.89 m
25,doll_6.24 m
26,doll_6.46 m
27,doll_5.19 m
28,doll_8.04 m
29,doll_121.31 m
30,doll_11.3 m
31,doll_4.54 m
32,doll_3.58 m
33,doll_210.56 m
34,doll_5.82 m
35,doll_56.02 m
36,doll_4.18 m
37,doll_4.45 m
38,doll_5.93 m
39,doll_5.72 m
40,doll_4.86 m
41,doll_2.55 m
42,doll_2.43 m
43,doll_8.95 m
44,doll_17.16 m
45,doll_2.5 m
46,doll_16.48 m
47,doll_8.59 m
48,doll_3.84 m
49,doll_7.78 m
50,doll_25.9 m
51,doll_13.31 m
52,doll_2.13 m
53,doll_64.22 m
54,doll_4.75 m
55,doll_11.66 m
56,doll_7.44 m
57,doll_4.01 m
58,doll_5.14 m
59,doll_6.95 m
60,doll_9.79 m
61,doll_15.37 m
62,doll_35.94 m
63,doll_6.63 m
64,doll_6.39 m
65,doll_14.18 m
66,doll_57.67 m
67,doll_109.25 m
68,doll_2.21 m
69,doll_4.0 m
70,doll_5.16 m
71,doll_1.83 m
72,doll_2.21 m
73,doll_20.15 m
74,doll_40.81 m
75,doll_4.46 m
76,doll_11.76 m
77,doll_4.9 m
78,doll_3.87 m
79,doll_4.84 m
80,doll_10.02 m
81,doll_2120.07 m
82,doll_5.64 m
83,doll_3.5 m
84,doll_7.29 m
85,doll_3.69 m
86,doll_23.8 m
87,doll_2.61 m
88,doll_107.86 m
89,doll_12.57 m
90,doll_5.76 m
91,doll_2.18 m
92,doll_74.07 m
93,doll_1.53 m
94,doll_3.32 m
95,doll_1.88 m
96,doll_3.06 m
97,doll_9.19 m
98,doll_2.27 m
99,doll_3.86 m
100,doll_11.53 m
101,doll_8.73 m
102,doll_2.85 m
103,doll_6.89 m
104,doll_5.47 m
105,doll_3.79 m
106,doll_1.72 m
107,doll_79.3 m
108,doll_3.03 m
109,doll_15.88 m
110,doll_1.63 m
111,doll_7.66 m
112,doll_2.68 m
113,doll_10.05 m
114,doll_1.6 m
115,doll_26.89 m
116,doll_2.51 m
117,doll_1.61 m
118,doll_2.91 m
119,doll_6.71 m
120,doll_8.47 m
121,doll_2.12 m
122,doll_6.69 m
123,doll_1.83 m
124,doll_9.92 m
125,doll_3.33 m
126,doll_24.72 m
127,doll_16.01 m
128,doll_3.23 m
129,doll_8.87 m
130,doll_28.0 m
131,doll_5.74 m
132,doll_3.73 m
133,doll_7.64 m
134,doll_6.01 m
135,doll_3.6 m
136,doll_4.89 m
137,doll_17.58 m
138,doll_2.2 m
139,doll_6.84 m
140,doll_6.62 m
141,doll_221.39 m
142,doll_1.67 m
143,doll_22.14 m
144,doll_15.49 m
145,doll_2.02 m
146,doll_3.0 m
147,doll_1.72 m
148,doll_5.64 m
149,doll_12.79 m
150,doll_43.81 m
151,doll_2.52 m
152,doll_1.57 m
153,doll_2.03 m
154,doll_26.63 m
155,doll_29.62 m
156,doll_20.83 m
157,doll_2.27 m
158,doll_18.2 m
159,doll_72.04 m
160,doll_2.71 m
161,doll_11.5 m
162,doll_5.02 m
163,doll_66.15 m
164,doll_4.05 m
165,doll_19.45 m
166,doll_4.44 m
167,doll_6.8 m
168,doll_3.46 m
169,doll_4.71 m
170,doll_4.86 m
171,doll_2.81 m
172,doll_2.27 m
173,doll_9.39 m
174,doll_26.53 m
175,doll_8.61 m
176,doll_2.11 m
177,doll_11.12 m
178,doll_156.62 m
179,doll_22.39 m
180,doll_4.87 m
181,doll_2.41 m
182,doll_2.6 m
183,doll_11.59 m
184,doll_1.98 m
185,doll_4.88 m
186,doll_5.59 m
187,doll_2.24 m
188,doll_3.4 m
189,doll_18.03 m
190,doll_17.06 m
191,doll_15.25 m
192,doll_18.94 m
193,doll_2.46 m
194,doll_2.18 m
195,doll_2.63 m
196,doll_1.58 m
197,doll_11.09 m
198,doll_3.94 m
199,doll_6.64 m
200,doll_210.95 m
201,doll_12.68 m
202,doll_60.07 m
203,doll_6.74 m
204,doll_8.98 m
205,doll_1.97 m
206,doll_50.72 m
207,doll_40.31 m
208,doll_3.52 m
209,doll_10.5 m
210,doll_70.18 m
211,doll_9.02 m
212,doll_155.6 m
213,doll_6.32 m
214,doll_19.42 m
215,doll_103.63 m
216,doll_77.76 m
217,doll_3.92 m
218,doll_3.96 m
219,doll_1.75 m
220,doll_30.41 m
221,doll_3.92 m
222,doll_4.25 m
223,doll_4.07 m
224,doll_2.13 m
225,doll_1.66 m
226,doll_5.74 m
227,doll_57.38 m
228,doll_11.86 m
229,doll_15.65 m
230,doll_63.88 m
231,doll_19.43 m
232,doll_197.26 m
233,doll_4.11 m
234,doll_20.2 m
235,doll_7.32 m
236,doll_2.16 m
237,doll_6.56 m
238,doll_4.15 m
239,doll_15.87 m
240,doll_2.5 m
241,doll_7.65 m
242,doll_4.53 m
243,doll_2.57 m
244,doll_2.42 m
245,doll_2.99 m
246,doll_14.94 m
247,doll_4.8 m
248,doll_4.88 m
249,doll_1.85 m
250,doll_24.58 m
251,doll_2.64 m
252,doll_111.54 m
253,doll_6.79 m
254,doll_352.88 m
255,doll_18.77 m
256,doll_2.0 m
257,doll_6.52 m
258,doll_9.55 m
259,doll_2.34 m
260,doll_25.67 m
261,doll_1.81 m
262,doll_1.51 m
263,doll_1.9 m
264,doll_4.48 m
265,doll_115.79 m
266,doll_32.61 m
267,doll_4.68 m
268,doll_19.58 m
269,doll_4.53 m
270,doll_146.45 m
271,doll_1.53 m
272,doll_6.53 m
273,doll_1.79 m
274,doll_2.07 m
275,doll_30.44 m
276,doll_9.38 m
277,doll_10.54 m
278,doll_2.68 m
279,doll_1.65 m
280,doll_32.27 m
281,doll_21.25 m
282,doll_2.86 m
283,doll_45.23 m
284,doll_3.0 m
285,doll_4.11 m
286,doll_6.69 m
287,doll_2.91 m
288,doll_32.04 m
289,doll_32.17 m
290,doll_2.7 m
291,doll_2.0 m
292,doll_1.95 m
293,doll_4.97 m
294,doll_33.65 m
295,doll_28.99 m
296,doll_1.53 m
297,doll_73.51 m
298,doll_11.03 m
299,doll_1.99 m
300,doll_2.39 m
301,doll_22.89 m
302,doll_5.7 m
303,doll_3.69 m
304,doll_25.0 m
305,doll_4.53 m
306,doll_4.28 m
307,doll_3.38 m
308,doll_7.79 m
309,doll_10.0 m
310,doll_33.9 m
311,doll_4.13 m
312,doll_6.04 m
313,doll_6.26 m
314,doll_6.31 m
315,doll_6.48 m
316,doll_2.92 m
317,doll_5.36 m
318,doll_7.1 m
319,doll_8.21 m
320,doll_14.6 m
321,doll_3.06 m
322,doll_12.17 m
323,doll_3.4 m
324,doll_19.8 m
325,doll_4.98 m
326,doll_2.05 m
327,doll_1.67 m
328,doll_5.09 m
329,doll_2.56 m
330,doll_2.72 m
331,doll_40.55 m
332,doll_3.67 m
333,doll_1.99 m
334,doll_2.0 m
335,doll_1.9 m
336,doll_2.82 m
337,doll_18.17 m
338,doll_13.82 m
339,doll_3.6 m
340,doll_12.82 m
341,doll_2.31 m
342,doll_16.39 m
343,doll_3.17 m
344,doll_1.91 m
345,doll_9.24 m
346,doll_21.82 m
347,doll_54.15 m
348,doll_14.64 m
349,doll_2.34 m
350,doll_15.05 m
351,doll_8.9 m
352,doll_4.06 m
353,doll_2.94 m
354,doll_70.18 m
355,doll_1.6 m
356,doll_2.94 m
357,doll_4.99 m
358,doll_1.74 m
359,doll_1.88 m
360,doll_7.05 m
361,doll_16.07 m
362,doll_4.64 m
363,doll_22.95 m
364,doll_26.2 m
365,doll_7.26 m
366,doll_3.4 m
367,doll_5.4 m
368,doll_7.83 m
369,doll_3.0 m
370,doll_108.5 m
371,doll_11.22 m
372,doll_38.43 m
373,doll_2.41 m
374,doll_21.79 m
375,doll_2.97 m
376,doll_2.04 m
377,doll_31.4 m
378,doll_4.3 m
379,doll_15.64 m
380,doll_3.4 m
381,doll_12.47 m
382,doll_7.34 m
383,doll_11.07 m
384,doll_6.67 m
385,doll_5.58 m
386,doll_13.09 m
387,doll_22.07 m
388,doll_1.72 m
389,doll_4.27 m
390,doll_5.34 m
391,doll_3.98 m
392,doll_22.44 m
393,doll_12.06 m
394,doll_28.14 m
395,doll_10.8 m
396,doll_38.0 m
397,doll_3.81 m
398,doll_1.51 m
399,doll_58.42 m
400,doll_1.7 m
401,doll_3.02 m
402,doll_2.58 m
403,doll_31.85 m
404,doll_9.69 m
405,doll_7.52 m
406,doll_2.28 m
407,doll_16.09 m
408,doll_3.43 m
409,doll_19.17 m
410,doll_5.51 m
411,doll_6.81 m
412,doll_3.31 m
413,doll_14.67 m
414,doll_7.06 m
415,doll_12.81 m
416,doll_12.49 m
417,doll_1.58 m
418,doll_10.17 m
419,doll_26.45 m
420,doll_6.94 m
421,doll_1.95 m
422,doll_5.21 m
423,doll_18.36 m
424,doll_9.02 m
425,doll_2.06 m
426,doll_2.8 m
427,doll_7.16 m
428,doll_19.46 m
429,doll_3.58 m
430,doll_17.08 m
431,doll_11.6 m
432,doll_9.22 m
433,doll_25.34 m
434,doll_2.06 m
435,doll_5.0 m
436,doll_2.3 m
437,doll_468.26 m
438,doll_2.64 m
439,doll_3.65 m
440,doll_101.73 m
441,doll_56.12 m
442,doll_3.21 m
443,doll_5.92 m
444,doll_4.83 m
445,doll_83.63 m
446,doll_4.29 m
447,doll_3.37 m
448,doll_4.84 m
449,doll_5.08 m
450,doll_148.51 m
451,doll_1.82 m
452,doll_191.6 m
453,doll_15.38 m
454,doll_15.9 m
455,doll_7.01 m
456,doll_2.91 m
457,doll_5.08 m
458,doll_2.26 m
459,doll_2.31 m
460,doll_3.45 m
461,doll_3.39 m
462,doll_6.61 m
463,doll_1.6 m
464,doll_39.36 m
465,doll_6.11 m
466,doll_3.77 m
467,doll_2.39 m
468,doll_6.98 m
469,doll_9.09 m
470,doll_40.39 m
471,doll_3.25 m
472,doll_4.85 m
473,doll_4.6 m
474,doll_9.5 m
475,doll_1.95 m
476,doll_10.83 m
477,doll_2.72 m
478,doll_4.17 m
479,doll_2.13 m
480,doll_2.84 m
481,doll_2.96 m
482,doll_1.89 m
483,doll_3.93 m
484,doll_4.85 m
485,doll_7.26 m
486,doll_13.48 m
487,doll_4.01 m
488,doll_93.44 m
489,doll_17.45 m
490,doll_9.72 m
491,doll_82.24 m
492,doll_34.68 m
493,doll_3.38 m
494,doll_38.6 m
495,doll_22.7 m
496,doll_119.16 m
497,doll_4.55 m
498,doll_2.79 m
499,doll_89.33 m
500,doll_11.32 m
501,doll_1.57 m
502,doll_1.98 m
503,doll_10.81 m
504,doll_23.5 m
505,doll_8.36 m
506,doll_4.72 m
507,doll_5.3 m
508,doll_1.86 m
509,doll_3.27 m
510,doll_26.39 m
511,doll_4.32 m
512,doll_3.33 m
513,doll_21.97 m
514,doll_4.9 m
515,doll_4.13 m
516,doll_4.79 m
517,doll_2.44 m
518,doll_14.0 m
519,doll_411.39 m
520,doll_6.77 m
521,doll_12.61 m
522,doll_7.53 m
523,doll_1.82 m
524,doll_4.36 m
525,doll_2.24 m
526,doll_9.49 m
527,doll_2.73 m
528,doll_3.5 m
529,doll_3.06 m
530,doll_2.81 m
531,doll_5.99 m
532,doll_4.71 m
533,doll_12.12 m
534,doll_5.03 m
535,doll_2.28 m
536,doll_118.0 m
537,doll_2.25 m
538,doll_3.37 m
539,doll_2.9 m
540,doll_2.63 m
541,doll_5.25 m
542,doll_9.75 m
543,doll_3.29 m
544,doll_8.56 m
545,doll_2.42 m
546,doll_81.78 m
547,doll_1.9 m
548,doll_32.1 m
549,doll_2.79 m
550,doll_14.9 m
551,doll_13.31 m
552,doll_2.05 m
553,doll_13.03 m
554,doll_117.82 m
555,doll_8.23 m
556,doll_4.57 m
557,doll_22.7 m
558,doll_20.78 m
559,doll_9.93 m
560,doll_4.53 m
561,doll_2.4 m
562,doll_14.69 m
563,doll_8.75 m
564,doll_8.38 m
565,doll_22.37 m
566,doll_1.58 m
567,doll_37.25 m
568,doll_18.74 m
569,doll_1.86 m
570,doll_31.46 m
571,doll_41.13 m
572,doll_8.34 m
573,doll_71.29 m
574,doll_4.38 m
575,doll_3.96 m
576,doll_20.22 m
577,doll_3.07 m
578,doll_20.68 m
579,doll_6.59 m
580,doll_25.86 m
581,doll_6.54 m
582,doll_2.22 m
583,doll_2.78 m
584,doll_10.06 m
585,doll_4.42 m
586,doll_1.52 m
587,doll_8.07 m
588,doll_3.35 m
589,doll_2.54 m
590,doll_12.28 m
591,doll_13.77 m
592,doll_17.59 m
593,doll_4.78 m
594,doll_19.65 m
595,doll_5.01 m
596,doll_199.82 m
597,doll_4.21 m
598,doll_2.03 m
599,doll_4.18 m
600,doll_1.51 m
601,doll_4.6 m
602,doll_2.43 m
603,doll_4.58 m
604,doll_16.75 m
605,doll_8.11 m
606,doll_21.52 m
607,doll_55.14 m
608,doll_20.25 m
609,doll_5.91 m
610,doll_3.06 m
611,doll_13.86 m
612,doll_2.23 m
613,doll_2.07 m
614,doll_3.64 m
615,doll_19.89 m
616,doll_4.01 m
617,doll_1.54 m
618,doll_11.59 m
619,doll_2.28 m
620,doll_6.3 m
621,doll_12.3 m
622,doll_26.27 m
623,doll_22.08 m
624,doll_5.82 m
625,doll_43.36 m
626,doll_3.65 m
627,doll_2.41 m
628,doll_3.73 m
629,doll_11.79 m
630,doll_114.04 m
631,doll_3.79 m
632,doll_5.21 m
633,doll_17.56 m
634,doll_7.57 m
635,doll_8.2 m
636,doll_6.33 m
637,doll_31.76 m
638,doll_1.91 m
639,doll_5.47 m
640,doll_2.72 m
641,doll_7.62 m
642,doll_18.48 m
643,doll_6.73 m
644,doll_2.28 m
645,doll_3.73 m
646,doll_20.41 m
647,doll_1.87 m
648,doll_8.99 m
649,doll_1.56 m
650,doll_18.14 m
651,doll_2.66 m
652,doll_88.59 m
653,doll_41.47 m
654,doll_6.19 m
655,doll_3.52 m
656,doll_51.64 m
657,doll_4.95 m
658,doll_42.51 m
659,doll_77.36 m
660,doll_13.07 m
661,doll_25.04 m
662,doll_2.33 m
663,doll_29.1 m
664,doll_3.19 m
665,doll_3.29 m
666,doll_8.52 m
667,doll_2.08 m
668,doll_34.49 m
669,doll_10.24 m
670,doll_3.18 m
671,doll_4.53 m
672,doll_8.07 m
673,doll_2.35 m
674,doll_12.76 m
675,doll_2.95 m
676,doll_4.53 m
677,doll_14.85 m
678,doll_57.45 m
679,doll_8.74 m
680,doll_6.69 m
681,doll_35.11 m
682,doll_2.65 m
683,doll_3.23 m
684,doll_6.21 m
685,doll_14.86 m
686,doll_2.55 m
687,doll_4.69 m
688,doll_2.18 m
689,doll_13.86 m
690,doll_6.39 m
691,doll_4.21 m
692,doll_15.08 m
693,doll_24.05 m
694,doll_26.82 m
695,doll_3.37 m
696,doll_3.51 m
697,doll_2.68 m
698,doll_2.27 m
699,doll_3.3 m
700,doll_32.39 m
701,doll_4.03 m
702,doll_57.09 m
703,doll_4.01 m
704,doll_5.99 m
705,doll_18.18 m
706,doll_7.78 m
707,doll_5.86 m
708,doll_26.14 m
709,doll_10.19 m
710,doll_17.05 m
711,doll_2.95 m
712,doll_205.31 m
713,doll_33.4 m
714,doll_156.23 m
715,doll_1.8 m
716,doll_4.2 m
717,doll_2.6 m
718,doll_5.17 m
719,doll_2.01 m
720,doll_22.02 m
721,doll_57.06 m
722,doll_7.19 m
723,doll_12.93 m
724,doll_5.48 m
725,doll_33.37 m
726,doll_3.76 m
727,doll_3.87 m
728,doll_16.92 m
729,doll_2.3 m
730,doll_3.5 m
731,doll_6.93 m
732,doll_3.54 m
733,doll_2.55 m
734,doll_38.37 m
735,doll_30.89 m
736,doll_2.8 m
737,doll_5.31 m
738,doll_4.26 m
739,doll_1.64 m
740,doll_40.78 m
741,doll_9.73 m
742,doll_32.17 m
743,doll_2.55 m
744,doll_9.57 m
745,doll_49.58 m
746,doll_1.81 m
747,doll_4.39 m
748,doll_2.13 m
749,doll_49.19 m
750,doll_26.01 m
751,doll_20.75 m
752,doll_2.7 m
753,doll_2.09 m
754,doll_16.37 m
755,doll_6.36 m
756,doll_10.46 m
757,doll_15.85 m
758,doll_10.2 m
759,doll_8.12 m
760,doll_3.66 m
761,doll_57.77 m
762,doll_7.88 m
763,doll_1.97 m
764,doll_3.14 m
765,doll_5.63 m
766,doll_6.74 m
767,doll_6.57 m
768,doll_13.26 m
769,doll_3.98 m
770,doll_3.35 m
771,doll_7.7 m
772,doll_9.48 m
773,doll_5.41 m
774,doll_2.05 m
775,doll_3.29 m
776,doll_70.39 m
777,doll_10.45 m
778,doll_3.15 m
779,doll_8.71 m
780,doll_2.2 m
781,doll_14.73 m
782,doll_3.83 m
783,doll_5.89 m
784,doll_4.79 m
785,doll_8.27 m
786,doll_2.62 m
787,doll_2.57 m
788,doll_3.54 m
789,doll_1.78 m
790,doll_16.6 m
791,doll_24.11 m
792,doll_3.42 m
793,doll_6.36 m
794,doll_3.23 m
795,doll_2.33 m
796,doll_11.9 m
797,doll_6.18 m
