,Unnamed: 0,revenue_2020_eu
0,0,doll_0.09761 b
1,1,doll_0.05732 b
2,2,doll_0.56832 b
3,3,doll_0.31673 b
4,4,doll_0.05611 b
5,5,doll_0.01317 b
6,6,doll_0.01873 b
7,7,doll_0.0476 b
8,8,doll_0.00734 b
9,9,doll_0.024480000000000002 b
10,10,doll_0.041210000000000004 b
11,11,doll_0.00902 b
12,12,doll_0.00903 b
13,13,doll_0.01216 b
14,14,doll_0.01139 b
15,15,doll_0.02146 b
16,16,doll_0.00723 b
17,17,doll_0.01434 b
18,18,doll_0.006849999999999999 b
19,19,doll_0.01158 b
20,20,doll_0.03089 b
21,21,doll_0.00901 b
22,22,doll_0.00838 b
23,23,doll_0.01614 b
24,24,doll_0.013890000000000001 b
25,25,doll_0.00624 b
26,26,doll_0.00646 b
27,27,doll_0.00519 b
28,28,doll_0.008039999999999999 b
29,29,doll_0.12131 b
30,30,doll_0.011300000000000001 b
31,31,doll_0.00454 b
32,32,doll_0.0035800000000000003 b
33,33,doll_0.21056 b
34,34,doll_0.0058200000000000005 b
35,35,doll_0.05602 b
36,36,doll_0.00418 b
37,37,doll_0.00445 b
38,38,doll_0.0059299999999999995 b
39,39,doll_0.005719999999999999 b
40,40,doll_0.004860000000000001 b
41,41,doll_0.0025499999999999997 b
42,42,doll_0.0024300000000000003 b
43,43,doll_0.00895 b
44,44,doll_0.01716 b
45,45,doll_0.0025 b
46,46,doll_0.01648 b
47,47,doll_0.00859 b
48,48,doll_0.0038399999999999997 b
49,49,doll_0.0077800000000000005 b
50,50,doll_0.0259 b
51,51,doll_0.01331 b
52,52,doll_0.00213 b
53,53,doll_0.06422 b
54,54,doll_0.00475 b
55,55,doll_0.01166 b
56,56,doll_0.00744 b
57,57,doll_0.00401 b
58,58,doll_0.00514 b
59,59,doll_0.0069500000000000004 b
60,60,doll_0.009789999999999998 b
61,61,doll_0.01537 b
62,62,doll_0.03594 b
63,63,doll_0.00663 b
64,64,doll_0.00639 b
65,65,doll_0.01418 b
66,66,doll_0.05767 b
67,67,doll_0.10925 b
68,68,doll_0.00221 b
69,69,doll_0.004 b
70,70,doll_0.0051600000000000005 b
71,71,doll_0.00183 b
72,72,doll_0.00221 b
73,73,doll_0.020149999999999998 b
74,74,doll_0.04081 b
75,75,doll_0.0044599999999999996 b
76,76,doll_0.01176 b
77,77,doll_0.004900000000000001 b
78,78,doll_0.00387 b
79,79,doll_0.00484 b
80,80,doll_0.01002 b
81,81,doll_2.12007 b
82,82,doll_0.00564 b
83,83,doll_0.0035 b
84,84,doll_0.00729 b
85,85,doll_0.00369 b
86,86,doll_0.0238 b
87,87,doll_0.00261 b
88,88,doll_0.10786 b
89,89,doll_0.01257 b
90,90,doll_0.0057599999999999995 b
91,91,doll_0.00218 b
92,92,doll_0.07407 b
93,93,doll_0.0015300000000000001 b
94,94,doll_0.00332 b
95,95,doll_0.00188 b
96,96,doll_0.0030600000000000002 b
97,97,doll_0.00919 b
98,98,doll_0.00227 b
99,99,doll_0.0038599999999999997 b
100,100,doll_0.011529999999999999 b
101,101,doll_0.00873 b
102,102,doll_0.00285 b
103,103,doll_0.006889999999999999 b
104,104,doll_0.00547 b
105,105,doll_0.00379 b
106,106,doll_0.00172 b
107,107,doll_0.0793 b
108,108,doll_0.0030299999999999997 b
109,109,doll_0.015880000000000002 b
110,110,doll_0.00163 b
111,111,doll_0.00766 b
112,112,doll_0.00268 b
113,113,doll_0.01005 b
114,114,doll_0.0016 b
115,115,doll_0.02689 b
116,116,doll_0.0025099999999999996 b
117,117,doll_0.00161 b
118,118,doll_0.0029100000000000003 b
119,119,doll_0.00671 b
120,120,doll_0.00847 b
121,121,doll_0.00212 b
122,122,doll_0.006690000000000001 b
123,123,doll_0.00183 b
124,124,doll_0.00992 b
125,125,doll_0.00333 b
126,126,doll_0.02472 b
127,127,doll_0.01601 b
128,128,doll_0.00323 b
129,129,doll_0.00887 b
130,130,doll_0.028 b
131,131,doll_0.00574 b
132,132,doll_0.00373 b
133,133,doll_0.00764 b
134,134,doll_0.00601 b
135,135,doll_0.0036 b
136,136,doll_0.004889999999999999 b
137,137,doll_0.01758 b
138,138,doll_0.0022 b
139,139,doll_0.00684 b
140,140,doll_0.00662 b
141,141,doll_0.22138999999999998 b
142,142,doll_0.0016699999999999998 b
143,143,doll_0.02214 b
144,144,doll_0.01549 b
145,145,doll_0.00202 b
146,146,doll_0.003 b
147,147,doll_0.00172 b
148,148,doll_0.00564 b
149,149,doll_0.01279 b
150,150,doll_0.04381 b
151,151,doll_0.00252 b
152,152,doll_0.00157 b
153,153,doll_0.0020299999999999997 b
154,154,doll_0.026629999999999997 b
155,155,doll_0.02962 b
156,156,doll_0.020829999999999998 b
157,157,doll_0.00227 b
158,158,doll_0.0182 b
159,159,doll_0.07204 b
160,160,doll_0.00271 b
161,161,doll_0.0115 b
162,162,doll_0.005019999999999999 b
163,163,doll_0.06615 b
164,164,doll_0.00405 b
165,165,doll_0.01945 b
166,166,doll_0.00444 b
167,167,doll_0.0068 b
168,168,doll_0.00346 b
169,169,doll_0.00471 b
170,170,doll_0.004860000000000001 b
171,171,doll_0.00281 b
172,172,doll_0.00227 b
173,173,doll_0.00939 b
174,174,doll_0.02653 b
175,175,doll_0.00861 b
176,176,doll_0.00211 b
177,177,doll_0.01112 b
178,178,doll_0.15662 b
179,179,doll_0.02239 b
180,180,doll_0.00487 b
181,181,doll_0.0024100000000000002 b
182,182,doll_0.0026 b
183,183,doll_0.01159 b
184,184,doll_0.00198 b
185,185,doll_0.00488 b
186,186,doll_0.0055899999999999995 b
187,187,doll_0.0022400000000000002 b
188,188,doll_0.0034 b
189,189,doll_0.01803 b
190,190,doll_0.01706 b
191,191,doll_0.01525 b
192,192,doll_0.018940000000000002 b
193,193,doll_0.00246 b
194,194,doll_0.00218 b
195,195,doll_0.00263 b
196,196,doll_0.00158 b
197,197,doll_0.01109 b
198,198,doll_0.00394 b
199,199,doll_0.00664 b
200,200,doll_0.21095 b
201,201,doll_0.01268 b
202,202,doll_0.06007 b
203,203,doll_0.00674 b
204,204,doll_0.00898 b
205,205,doll_0.00197 b
206,206,doll_0.05072 b
207,207,doll_0.040310000000000006 b
208,208,doll_0.00352 b
209,209,doll_0.0105 b
210,210,doll_0.07018 b
211,211,doll_0.00902 b
212,212,doll_0.1556 b
213,213,doll_0.00632 b
214,214,doll_0.019420000000000003 b
215,215,doll_0.10363 b
216,216,doll_0.07776000000000001 b
217,217,doll_0.00392 b
218,218,doll_0.00396 b
219,219,doll_0.00175 b
220,220,doll_0.03041 b
221,221,doll_0.00392 b
222,222,doll_0.00425 b
223,223,doll_0.004070000000000001 b
224,224,doll_0.00213 b
225,225,doll_0.00166 b
226,226,doll_0.00574 b
227,227,doll_0.05738 b
228,228,doll_0.011859999999999999 b
229,229,doll_0.01565 b
230,230,doll_0.06388 b
231,231,doll_0.01943 b
232,232,doll_0.19726 b
233,233,doll_0.00411 b
234,234,doll_0.0202 b
235,235,doll_0.00732 b
236,236,doll_0.00216 b
237,237,doll_0.00656 b
238,238,doll_0.00415 b
239,239,doll_0.01587 b
240,240,doll_0.0025 b
241,241,doll_0.0076500000000000005 b
242,242,doll_0.00453 b
243,243,doll_0.00257 b
244,244,doll_0.00242 b
245,245,doll_0.00299 b
246,246,doll_0.01494 b
247,247,doll_0.0048 b
248,248,doll_0.00488 b
249,249,doll_0.00185 b
250,250,doll_0.024579999999999998 b
251,251,doll_0.00264 b
252,252,doll_0.11154 b
253,253,doll_0.00679 b
254,254,doll_0.35287999999999997 b
255,255,doll_0.01877 b
256,256,doll_0.002 b
257,257,doll_0.00652 b
258,258,doll_0.009550000000000001 b
259,259,doll_0.00234 b
260,260,doll_0.025670000000000002 b
261,261,doll_0.00181 b
262,262,doll_0.00151 b
263,263,doll_0.0019 b
264,264,doll_0.0044800000000000005 b
265,265,doll_0.11579 b
266,266,doll_0.03261 b
267,267,doll_0.00468 b
268,268,doll_0.019579999999999997 b
269,269,doll_0.00453 b
270,270,doll_0.14645 b
271,271,doll_0.0015300000000000001 b
272,272,doll_0.00653 b
273,273,doll_0.0017900000000000001 b
274,274,doll_0.00207 b
275,275,doll_0.030440000000000002 b
276,276,doll_0.009380000000000001 b
277,277,doll_0.010539999999999999 b
278,278,doll_0.00268 b
279,279,doll_0.00165 b
280,280,doll_0.03227 b
281,281,doll_0.02125 b
282,282,doll_0.0028599999999999997 b
283,283,doll_0.04523 b
284,284,doll_0.003 b
285,285,doll_0.00411 b
286,286,doll_0.006690000000000001 b
287,287,doll_0.0029100000000000003 b
288,288,doll_0.03204 b
289,289,doll_0.032170000000000004 b
290,290,doll_0.0027 b
291,291,doll_0.002 b
292,292,doll_0.00195 b
293,293,doll_0.00497 b
294,294,doll_0.03365 b
295,295,doll_0.02899 b
296,296,doll_0.0015300000000000001 b
297,297,doll_0.07351 b
298,298,doll_0.01103 b
299,299,doll_0.00199 b
300,300,doll_0.00239 b
301,301,doll_0.02289 b
302,302,doll_0.0057 b
303,303,doll_0.00369 b
304,304,doll_0.025 b
305,305,doll_0.00453 b
306,306,doll_0.00428 b
307,307,doll_0.0033799999999999998 b
308,308,doll_0.00779 b
309,309,doll_0.01 b
310,310,doll_0.0339 b
311,311,doll_0.00413 b
312,312,doll_0.00604 b
313,313,doll_0.00626 b
314,314,doll_0.00631 b
315,315,doll_0.0064800000000000005 b
316,316,doll_0.00292 b
317,317,doll_0.00536 b
318,318,doll_0.0070999999999999995 b
319,319,doll_0.00821 b
320,320,doll_0.0146 b
321,321,doll_0.0030600000000000002 b
322,322,doll_0.01217 b
323,323,doll_0.0034 b
324,324,doll_0.0198 b
325,325,doll_0.00498 b
326,326,doll_0.0020499999999999997 b
327,327,doll_0.0016699999999999998 b
328,328,doll_0.00509 b
329,329,doll_0.00256 b
330,330,doll_0.00272 b
331,331,doll_0.040549999999999996 b
332,332,doll_0.00367 b
333,333,doll_0.00199 b
334,334,doll_0.002 b
335,335,doll_0.0019 b
336,336,doll_0.00282 b
337,337,doll_0.018170000000000002 b
338,338,doll_0.01382 b
339,339,doll_0.0036 b
340,340,doll_0.01282 b
341,341,doll_0.00231 b
342,342,doll_0.016390000000000002 b
343,343,doll_0.00317 b
344,344,doll_0.00191 b
345,345,doll_0.00924 b
346,346,doll_0.02182 b
347,347,doll_0.05415 b
348,348,doll_0.01464 b
349,349,doll_0.00234 b
350,350,doll_0.015050000000000001 b
351,351,doll_0.0089 b
352,352,doll_0.004059999999999999 b
353,353,doll_0.00294 b
354,354,doll_0.07018 b
355,355,doll_0.0016 b
356,356,doll_0.00294 b
357,357,doll_0.0049900000000000005 b
358,358,doll_0.00174 b
359,359,doll_0.00188 b
360,360,doll_0.00705 b
361,361,doll_0.01607 b
362,362,doll_0.00464 b
363,363,doll_0.022949999999999998 b
364,364,doll_0.026199999999999998 b
365,365,doll_0.00726 b
366,366,doll_0.0034 b
367,367,doll_0.0054 b
368,368,doll_0.00783 b
369,369,doll_0.003 b
370,370,doll_0.1085 b
371,371,doll_0.01122 b
372,372,doll_0.03843 b
373,373,doll_0.0024100000000000002 b
374,374,doll_0.02179 b
375,375,doll_0.00297 b
376,376,doll_0.00204 b
377,377,doll_0.0314 b
378,378,doll_0.0043 b
379,379,doll_0.01564 b
380,380,doll_0.0034 b
381,381,doll_0.01247 b
382,382,doll_0.00734 b
383,383,doll_0.01107 b
384,384,doll_0.00667 b
385,385,doll_0.00558 b
386,386,doll_0.01309 b
387,387,doll_0.02207 b
388,388,doll_0.00172 b
389,389,doll_0.0042699999999999995 b
390,390,doll_0.00534 b
391,391,doll_0.00398 b
392,392,doll_0.02244 b
393,393,doll_0.012060000000000001 b
394,394,doll_0.028140000000000002 b
395,395,doll_0.0108 b
396,396,doll_0.038 b
397,397,doll_0.00381 b
398,398,doll_0.00151 b
399,399,doll_0.05842 b
400,400,doll_0.0017 b
401,401,doll_0.00302 b
402,402,doll_0.0025800000000000003 b
403,403,doll_0.03185 b
404,404,doll_0.009689999999999999 b
405,405,doll_0.00752 b
406,406,doll_0.00228 b
407,407,doll_0.01609 b
408,408,doll_0.0034300000000000003 b
409,409,doll_0.019170000000000003 b
410,410,doll_0.00551 b
411,411,doll_0.006809999999999999 b
412,412,doll_0.00331 b
413,413,doll_0.01467 b
414,414,doll_0.0070599999999999994 b
415,415,doll_0.01281 b
416,416,doll_0.01249 b
417,417,doll_0.00158 b
418,418,doll_0.01017 b
419,419,doll_0.026449999999999998 b
420,420,doll_0.00694 b
421,421,doll_0.00195 b
422,422,doll_0.00521 b
423,423,doll_0.018359999999999998 b
424,424,doll_0.00902 b
425,425,doll_0.00206 b
426,426,doll_0.0028 b
427,427,doll_0.0071600000000000006 b
428,428,doll_0.01946 b
429,429,doll_0.0035800000000000003 b
430,430,doll_0.017079999999999998 b
431,431,doll_0.0116 b
432,432,doll_0.00922 b
433,433,doll_0.02534 b
434,434,doll_0.00206 b
435,435,doll_0.005 b
436,436,doll_0.0023 b
437,437,doll_0.46826 b
438,438,doll_0.00264 b
439,439,doll_0.00365 b
440,440,doll_0.10173 b
441,441,doll_0.056119999999999996 b
442,442,doll_0.00321 b
443,443,doll_0.00592 b
444,444,doll_0.00483 b
445,445,doll_0.08363 b
446,446,doll_0.00429 b
447,447,doll_0.00337 b
448,448,doll_0.00484 b
449,449,doll_0.00508 b
450,450,doll_0.14851 b
451,451,doll_0.00182 b
452,452,doll_0.1916 b
453,453,doll_0.015380000000000001 b
454,454,doll_0.0159 b
455,455,doll_0.00701 b
456,456,doll_0.0029100000000000003 b
457,457,doll_0.00508 b
458,458,doll_0.00226 b
459,459,doll_0.00231 b
460,460,doll_0.0034500000000000004 b
461,461,doll_0.0033900000000000002 b
462,462,doll_0.00661 b
463,463,doll_0.0016 b
464,464,doll_0.03936 b
465,465,doll_0.00611 b
466,466,doll_0.00377 b
467,467,doll_0.00239 b
468,468,doll_0.00698 b
469,469,doll_0.009089999999999999 b
470,470,doll_0.04039 b
471,471,doll_0.00325 b
472,472,doll_0.004849999999999999 b
473,473,doll_0.0046 b
474,474,doll_0.0095 b
475,475,doll_0.00195 b
476,476,doll_0.01083 b
477,477,doll_0.00272 b
478,478,doll_0.00417 b
479,479,doll_0.00213 b
480,480,doll_0.0028399999999999996 b
481,481,doll_0.00296 b
482,482,doll_0.00189 b
483,483,doll_0.00393 b
484,484,doll_0.004849999999999999 b
485,485,doll_0.00726 b
486,486,doll_0.01348 b
487,487,doll_0.00401 b
488,488,doll_0.09344 b
489,489,doll_0.01745 b
490,490,doll_0.009720000000000001 b
491,491,doll_0.08224 b
492,492,doll_0.03468 b
493,493,doll_0.0033799999999999998 b
494,494,doll_0.0386 b
495,495,doll_0.022699999999999998 b
496,496,doll_0.11916 b
497,497,doll_0.00455 b
498,498,doll_0.00279 b
499,499,doll_0.08932999999999999 b
500,500,doll_0.01132 b
501,501,doll_0.00157 b
502,502,doll_0.00198 b
503,503,doll_0.01081 b
504,504,doll_0.0235 b
505,505,doll_0.00836 b
506,506,doll_0.004719999999999999 b
507,507,doll_0.0053 b
508,508,doll_0.00186 b
509,509,doll_0.00327 b
510,510,doll_0.02639 b
511,511,doll_0.00432 b
512,512,doll_0.00333 b
513,513,doll_0.02197 b
514,514,doll_0.004900000000000001 b
515,515,doll_0.00413 b
516,516,doll_0.00479 b
517,517,doll_0.00244 b
518,518,doll_0.014 b
519,519,doll_0.41139 b
520,520,doll_0.00677 b
521,521,doll_0.01261 b
522,522,doll_0.00753 b
523,523,doll_0.00182 b
524,524,doll_0.00436 b
525,525,doll_0.0022400000000000002 b
526,526,doll_0.00949 b
527,527,doll_0.00273 b
528,528,doll_0.0035 b
529,529,doll_0.0030600000000000002 b
530,530,doll_0.00281 b
531,531,doll_0.0059900000000000005 b
532,532,doll_0.00471 b
533,533,doll_0.012119999999999999 b
534,534,doll_0.005030000000000001 b
535,535,doll_0.00228 b
536,536,doll_0.118 b
537,537,doll_0.00225 b
538,538,doll_0.00337 b
539,539,doll_0.0029 b
540,540,doll_0.00263 b
541,541,doll_0.00525 b
542,542,doll_0.00975 b
543,543,doll_0.00329 b
544,544,doll_0.00856 b
545,545,doll_0.00242 b
546,546,doll_0.08178 b
547,547,doll_0.0019 b
548,548,doll_0.032100000000000004 b
549,549,doll_0.00279 b
550,550,doll_0.0149 b
551,551,doll_0.01331 b
552,552,doll_0.0020499999999999997 b
553,553,doll_0.01303 b
554,554,doll_0.11782 b
555,555,doll_0.008230000000000001 b
556,556,doll_0.00457 b
557,557,doll_0.022699999999999998 b
558,558,doll_0.02078 b
559,559,doll_0.00993 b
560,560,doll_0.00453 b
561,561,doll_0.0024 b
562,562,doll_0.01469 b
563,563,doll_0.00875 b
564,564,doll_0.00838 b
565,565,doll_0.02237 b
