,Unnamed: 0,market_cap,revenue
0,0,0,doll_0.988 b
1,1,doll_2.7 b,doll_0.9882000000000001 b
2,2,doll_0.7874 b,doll_0.9852000000000001 b
3,3,doll_2.7 b,doll_0.9869 b
4,4,doll_5.0 b,doll_0.9877999999999999 b
5,5,0,doll_0.9885 b
6,6,doll_9.5 b,doll_0.986 b
7,7,doll_2.1 b,doll_0.986 b
8,8,doll_2.7 b,doll_0.9895 b
9,9,doll_0.8216 b,doll_0.9889 b
10,10,doll_0.18469999999999998 b,doll_0.99 b
11,11,doll_0.38780000000000003 b,doll_0.991 b
12,12,doll_0.7686000000000001 b,doll_0.9914 b
13,13,doll_0.9094 b,doll_0.99 b
14,14,doll_5.4 b,doll_0.9903 b
15,15,doll_1.8 b,doll_0.9913 b
16,16,doll_1.0 b,doll_0.9917999999999999 b
17,17,doll_3.1 b,doll_0.9919 b
18,18,doll_5.8 b,doll_0.9914 b
19,19,doll_2.4 b,doll_0.9927999999999999 b
20,20,doll_0.9756 b,doll_0.9926 b
21,21,doll_0.7992 b,doll_0.9931 b
22,22,doll_0.12190000000000001 b,doll_0.9935 b
23,23,doll_4.4 b,doll_0.9932000000000001 b
24,24,doll_1.7 b,doll_0.9956 b
25,25,doll_0.5906 b,doll_0.9949 b
26,26,doll_0.1451 b,doll_0.9956 b
27,27,doll_2.1 b,doll_0.9977999999999999 b
28,28,doll_2.6 b,doll_0.9972000000000001 b
29,29,doll_0.5336000000000001 b,doll_0.998 b
30,30,doll_0.7097 b,doll_0.9995 b
31,31,doll_0.3926 b,doll_1.0 b
32,32,doll_1.9 b,doll_1.0 b
33,33,doll_0.3153 b,doll_1.0 b
34,34,doll_2.0 b,doll_1.0 b
35,35,doll_3.5 b,doll_1.0 b
36,36,doll_3.9 b,doll_1.0 b
37,37,doll_0.7696000000000001 b,doll_1.0 b
38,38,doll_1.1 b,doll_1.0 b
39,39,doll_2.2 b,doll_1.0 b
40,40,0,doll_1.0 b
41,41,doll_1.7 b,doll_1.0 b
42,42,doll_1.3 b,doll_1.0 b
43,43,doll_3.6 b,doll_1.0 b
44,44,doll_0.7355 b,doll_1.0 b
45,45,doll_1.3 b,doll_1.0 b
46,46,doll_0.9128999999999999 b,doll_1.0 b
47,47,doll_0.7847000000000001 b,doll_1.0 b
48,48,doll_2.9 b,doll_1.0 b
49,49,doll_0.5488 b,doll_1.0 b
50,50,doll_0.0741 b,doll_1.0 b
51,51,0,doll_1.0 b
52,52,doll_1.5 b,doll_1.0 b
53,53,doll_13.4 b,doll_1.0 b
