,column_name,type_of_data,type_of_string,avg_mon_values (0 if not monetary),avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,is_sector,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int,is_year
0,ambitiobox-name,0,6,0.0,17.44855144855145,71.83376663296735,8.47548031871748,0.07039801037329436,0.0020439086166702193,0,0,0.0,0.0,0.0,0.0,0.0,0,0
1,ambitiobox-industry,0,6,0.0,15.887112887112886,58.076167588655025,7.620772112368603,0.06054715320786143,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0
2,ambitiobox-headquarter,0,6,0.0,24.303696303696302,77.37030601765863,8.796039223290142,0.08164277169816718,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
3,ambitiobox-ownership,0,6,0.0,6.7392607392607395,0.8580889639830751,0.9263309149451264,0.000148000148000148,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
4,ambitiobox-foundation_year,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1736.0,2020.0,1987.202657807309,1042.1482985838998,32.282321765695535,2,1
5,ariregister-url,0,3,0.0,94.93506493506493,64.39438483594303,8.024611195313017,0.0,0.15112245573306318,0,0,0.0,0.0,0.0,0.0,0.0,0,0
6,ariregister-id,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29.0,1469.0,751.2225913621262,169951.32254610877,412.25152825199905,1,0
7,ariregister-name,0,6,0.0,29.174825174825173,66.81359200240367,8.173958160059524,0.0,0.2903431780725477,0,0,0.0,0.0,0.0,0.0,0.0,0,0
8,ariregister-code,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10048686.0,90003054.0,18332247.25913621,325932103247594.25,18053589.760698404,2,0
9,ariregister-legal_form,0,6,0.0,22.295704295704297,13.24123029817323,3.638850134063401,0.08347757767354164,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
