,name,precision,recall,f1,jaccard,avg comp inutili
0,name,1.0,1.0,1.0,1.0,0
1,country,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,1
2,address,0.5,1.0,0.6666666666666666,0.6666666666666666,1
3,founded,0.5,0.5,0.5,0.4,1
4,employees,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,1
5,market_cap,1.0,1.0,1.0,1.0,0
6,revenue,0.6,0.75,0.6666666666666665,0.6,1
7,profit,1.0,0.3333333333333333,0.5,0.3333333333333333,0
8,categories,1.0,0.3333333333333333,0.5,0.3333333333333333,0
9,ceo,1.0,1.0,1.0,1.0,0
