ft-founding_year,hithorizons-est_of_ownership,cbinsights-founded,disfold-founded,forbes-founded,teamblind-founded,valuetoday-founded,wikipedia-founded,valuetoday-founders,ambitiobox-foundation_year
2016.0,1962.0,2015,0,,2004,,2004,"['steve jobs', 'steve wozniak', 'ronald wayne']",1968.0
2013.0,1957.0,2010,1969,,2016,,2005,morris chang,1989.0
2012.0,2019.0,2015,1891,,2013,,1883,"['jensen huang', 'chris malachowsky', 'curtis priem']",1994.0
2016.0,1962.0,2017,1885,,2013,,1921,oliver chace,1994.0
2017.0,1870.0,2013,0,,2010,,2001,"['mark zuckerberg', 'andrew mccollum', 'eduardo saverin', 'dustin moskovitz', 'chris hughes']",1994.0
2017.0,2020.0,2012,1888,,2016,,2014,"['elon musk', 'jb straubel', 'martin eberhard', 'marc tarpenning', 'ian wright']",1945.0
2015.0,1980.0,2015,0,,2013,,1997,jeff bezos,1981.0
2015.0,1921.0,2012,0,,2008,,1895,"['larry page', 'sergey brin']",1967.0
2015.0,2004.0,2014,1989,,2017,,1904,,1986.0
2015.0,2007.0,2015,0,,1930,,1899,"['bill gates', 'paul allen']",1997.0
2016.0,1925.0,2012,0,,2012,,1883,sam walton,1991.0
2016.0,1891.0,2016,1956,,2013,,2002,"['amadeo giannini', 'hugh mccoll']",1994.0
2017.0,1861.0,2016,0,,1988,,1989,"['henry racamier', 'alain chevalier', 'henri racamier']",1993.0
2016.0,1996.0,2007,0,,2004,,1970,"['arthur blank', 'bernard marcus', 'kenneth langone', 'pat farrah', 'ron brill']",1911.0
2017.0,2002.0,2016,0,,2000,,2001,richard t burke,1983.0
2016.0,1994.0,2012,0,,1989,,1997,lee byung-chul,2007.0
2017.0,1992.0,2014,0,,1988,,1883,"['james wood johnson', 'robert wood johnson i', 'edward mead johnson']",1946.0
2016.0,2005.0,2013,0,,2014,,1988,dee hock,2007.0
2014.0,1897.0,2012,1961,,2017,,1994,balthazar p. melick,2018.0
2017.0,1927.0,2012,1876,,1994,,1913,"['ma huateng', 'chen yidan', 'zhang zhidong']",1978.0
2015.0,1962.0,2017,0,,2009,,1873,"['james gamble', 'william procter']",2006.0
2013.0,1925.0,2018,1984,,2010,,1958,"['walt disney', 'roy o. disney']",2003.0
2017.0,1908.0,2015,0,,1979,,1997,darren woods,1845.0
2016.0,1996.0,2005,2013,,2015,,2003,"['philips', 'asm international']",1973.0
2017.0,1978.0,2015,1849,,1991,,1999,"['charles f. erhart', 'charles pfizer']",1995.0
2011.0,2001.0,2015,0,,2018,,1873,"['jack ma', 'joseph c. tsai']",1945.0
2013.0,2000.0,2015,0,,2010,,1873,fritz hoffmann-la roche,2011.0
2016.0,2011.0,2011,0,,2016,,1964,"['wells fargo', 'crocker national bank', 'first interstate bancorp', 'bank of california']",2007.0
2016.0,1999.0,2011,0,,1983,,1984,,1996.0
2012.0,1953.0,2016,0,,1993,,2006,,1945.0
2015.0,1974.0,2011,1998,,2019,,1886,"['charles geschke', 'john warnock']",1994.0
2017.0,1991.0,2018,1966,,1853,,1994,eli lilly,1989.0
2016.0,1959.0,2018,0,,2004,,1945,"['phil knight', 'bill bowerman']",2017.0
2015.0,1950.0,2019,0,,1960,,1912,,2000.0
2017.0,1972.0,2019,0,,1968,,1963,jiang jianqing,2002.0
2000.0,2017.0,2014,0,,2011,,1984,,1983.0
2006.0,1911.0,2001,0,,2013,,2012,"['henry nicholas', 'henry samueli']",2018.0
2014.0,1972.0,2013,0,,2006,,1974,"['sandy lerner', 'leonard bosack']",2002.0
2014.0,2000.0,2015,0,,2012,,1990,asa griggs candler,2007.0
2016.0,1999.0,2019,0,,1969,,2004,kiichiro toyoda,1876.0
2015.0,2001.0,2013,1977,,2005,,1873,"['larry ellison', 'bob miner', 'ed oates']",2002.0
2016.0,2009.0,2016,0,,1987,,1906,clarence delany,1998.0
2017.0,2018.0,2016,0,,2012,,1931,"['james sinegal', 'jeffrey h. brotman']",2017.0
2017.0,1959.0,2015,0,,1969,,1932,,1986.0
2014.0,1994.0,2014,1839,,2009,,1919,george n. hatsopoulos,1986.0
2013.0,1999.0,2013,0,,2012,,1804,,1935.0
2017.0,1969.0,2011,0,,2007,,1981,"['reed hastings', 'marc randolph']",2004.0
2015.0,1962.0,2011,0,,1986,,1998,wallace calvin abbott,2016.0
2017.0,1939.0,2021,0,,2010,,1884,caleb bradham,2006.0
2016.0,1883.0,2016,0,,1887,,1992,john d. rockefeller's,1942.0
2013.0,1995.0,2015,2001,,1844,,1963,"['august krogh', 'hans christian hagedorn', 'august kongsted', 'marie krogh']",1988.0
2014.0,1999.0,2015,2008,,1898,,1803,"['george w. merck', 'theodore weicker']",2000.0
