revenue_2017_eu,revenue_2017,revenue_2017_euro,name,number_of_employees_2020,employees,employees_number_2020,employees_2020,founding_year,founded,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue,revenue_2020,revenue_2020_eu,sector,industry,absolute_growth_rate_pct,country,number_of_employees_2017,employees_2017,employees_number_2017
,,,swappie,218,,,,2016,,477.43,doll_97.61 m,,,,technology,,"19,152.82",finland,1,,
,,,kilo health,177,,,,2013,,450.05,doll_57.32 m,,,,health,,"16,541.73",lithuania,10,,
,,,oci,32,,,,2012,,409.59,doll_568.32 m,,,,financial services,,"13,133.13",uk,4,,
,,,onlyfans,800,,,,2016,,393.63,doll_316.73 m,,,,technology,,"11,928.05",uk,4,,
,,,enpal,365,,,,2017,,386.88,doll_56.11 m,,,,energy,,"11,441.27",germany,9,,
,,,mr consulting,9,,,,2017,,343.52,doll_13.17 m,,,,waste management & recycling,,"8,624.23",germany,2,,
,,,thriva,57,,,,2015,,321.66,doll_18.73 m,,,,health,,"7,396.77",uk,12,,
,,,exotec,200,,,,2015,,306.86,doll_47.6 m,,,,industrial goods,,"6,635.11",france,15,,
,,,winelivery,10,,,,2015,,303.73,doll_7.34 m,,,,ecommerce,,"6,480.53",italy,1,,
,,,instabox,117,,,,2015,,299.73,doll_24.48 m,,,,technology,,"6,287.13",sweden,5,,
,,,waterdrop,180,,,,2016,,292.74,doll_41.21 m,,,,food & beverage,,"5,957.94",austria,12,,
,,,one lease,11,,,,2016,,289.09,doll_9.02 m,,,,support services,,"5,790.52",france,2,,
,,,datlas*,251,,,,2017,,287.39,doll_9.03 m,,,,technology,,"5,713.76",italy,13,,
,,,zego,224,,,,2016,,276.63,doll_12.16 m,,,,fintech,,"5,242.60",uk,36,,
,,,hcl-logistics,24,,,,2017,,262.97,doll_11.39 m,,,,transport,,"4,682.15",germany,5,,
,,,popsa,34,,,,2016,,262.15,doll_21.46 m,,,,technology,,"4,649.68",uk,4,,
