headquarters,founded,area_served,industry,name,sector,notes
uppsala,2004,,health care,3h biomedical,biotechnology,
malmö,2005,,consumer goods,aarhuskarlshamn,food products,
gothenburg,1883,,consumer goods,abba seafood,food products,
svängsta,1921,,consumer goods,abu garcia,recreational products,
stockholm,2001,,technology,acando,software,
stockholm,2014,,technology,acast,software,
stockholm,1997,,consumer goods,acne studios,clothing & accessories,
stockholm,1895,,industrials,åf,business support services,
luleå,1904,,oil & gas,aga,exploration & production,
stockholm,1899,,consumer services,åhléns,broadline retailers,
lund,1883,,industrials,alfa laval,industrial machinery,
landskrona,2002,,industrials,alfdex,industrial machinery,
ulricehamn,1989,,industrials,ap&t,industrial machinery,
stockholm,1970,,health care,apoteket,pharmaceuticals,
stockholm,2001,,telecommunications,aptilo networks,mobile telecommunications,
mölndal,1997,,industrials,arcam,industrial suppliers,
västerås,1883,,industrials,asea,diversified industrials,
västerås,1988,,industrials,abb,industrial machinery,
stockholm,1994,,industrials,assa abloy,industrial suppliers,
södertälje,1913,,health care,astra ab,pharmaceuticals,
nacka,1873,,industrials,atlas copco,diversified industrials,
mölnlycke,1958,,industrials,atlet,commercial vehicles & trucks,
stockholm,1997,,industrials,autoliv,business support services,
stockholm,2003,,technology,avalanche studios,software,
stockholm,1999,,financials,avanza,investment services,
stockholm,1873,,conglomerates,axel johnson,-,
stockholm,1873,,conglomerates,axel johnson group,-,
stockholm,1964,,consumer services,axfood,food retailers & wholesalers,
lund,1984,,technology,axis communications,computer hardware,
örnsköldsvik,2006,,industrials,bae systems,defense,
enköping,1886,,industrials,bahco,diversified industrials,
stockholm,1994,,telecommunications,bahnhof,fixed line telecommunications,
gothenburg,1945,,consumer goods,ballograf,nondurable household products,
gothenburg,1912,,industrials,berg propulsion,industrial machinery,
stockholm,1963,,consumer services,betsson,gambling,
uppsala,1984,,health care,biacore,biotechnology,
solna,2012,,basic materials,billerudkorsnäs,paper,
stockholm,1974,,industrials,bindomatic,industrial suppliers,
stockholm,1990,,health care,biogaia,pharmaceuticals,
stockholm,2004,,consumer goods,björn borg,clothing & accessories,
karlskoga,1873,,industrials,bofors,defense,
lidingö,1906,,industrials,boghammar marin ab,commercial vehicles & trucks,
stockholm,1931,,basic materials,boliden,general mining,
eskilstuna,1932,,industrials,bolinder-munktell,commercial vehicles & trucks,
malmö,1919,,industrials,bona ab,building materials & fixtures,
stockholm,1804,,consumer services,bonnier group,broadcasting & entertainment,
malmö,1981,,consumer services,braathens regional aviation,airlines,
stockholm,1998,,telecommunications,bredbandsbolaget,fixed line telecommunications,
malmö,1884,,consumer goods,brio,toys,
stockholm,1992,,financials,bure equity,investment services,
stockholm,1963,,industrials,camfil,industrial machinery,
stockholm,1803,,financials,carnegie investment bank,investment services,
stockholm,1999,,consumer services,casino cosmopol,gambling,
upplands väsby,1895,,health care,cederroth,health care providers,
stockholm,2000,,consumer goods,cheap monday,clothing & accessories,
insjön,1918,,consumer services,clas ohlson,home improvement retailers,
stockholm,1983,,consumer goods,clavia,recreational products,
stockholm,1862,,consumer goods,cloetta,food products,
stockholm,2000,,technology,columbitech,software,
stockholm,1983,,telecommunications,com hem,fixed line telecommunications,
stockholm,1981,,telecommunications,comviq,fixed line telecommunications,
stockholm,2001,,consumer services,coop norden,food retailers & wholesalers,
malmö,1986,,financials,danir ab,investment services,
stockholm,2001,,telecommunications,dataphone,mobile telecommunications,
linköping,1954,,industrials,datasaab,business support services,
tumba,1883,,industrials,delaval,commercial vehicles & trucks,
visby,1998,,consumer services,destination gotland,travel & tourism,
stockholm,1994,,health care,diamyd medical,biotechnology,
docksta,1905,,industrials,dockstavarvet,commercial vehicles & trucks,
borlänge,1872,,basic materials,domnarvet,iron & steel,
malmö,1974,,technology,doro,telecommunications equipment,
nacka,2003,,technology,draim,software,
stockholm,1992,,technology,ea dice,software,
mölnlycke,1908,,industrials,elanders,business support services,
stockholm,1919,,consumer goods,electrolux,durable household products,
stockholm,1972,,health care,elekta,health care providers,
gothenburg,1998,,consumer goods,elektron,recreational products,
malmö,1948,,consumer goods,elfa international,furnishings,
borås,1947,,consumer services,ellos,broadline retailers,
kista,1968,,technology,enea ab,software,
stockholm,2000,,technology,eniro,internet,
stockholm,2009,,technology,epidemic sound,internet,
stockholm,1876,,technology,ericsson,telecommunications equipment,
gothenburg,1904,,industrials,esab,business support services,
eskilstuna,1993,,utilities,eskilstuna energy and environment,conventional electricity,
stockholm,1913,,industrials,esselte,industrial suppliers,
lund,2013,,industrials,european spallation source,business support services,
habo,1945,,industrials,fagerhult group,building materials & fixtures,
stockholm,2008,,technology,fatshark,software,
örnsköldsvik,1960,,consumer goods,fjällräven,clothing & accessories,
uddevalla,1961,,industrials,fkab,business support services,
stockholm,1992,,financials,föreningsbanken,banks,
stockholm,1927,,financials,forex bank,investment services,
helsingborg,2007,,technology,frictional games,software,
växjö,1990,,consumer goods,galvin green,clothing & accessories,
stockholm,1942,,consumer goods,gb glace,food products,
falkenberg,1963,,consumer services,gekås,broadline retailers,
gothenburg,1904,,health care,getinge group,medical equipment,
hässleholm,1946,,industrials,göinge mekaniska,heavy construction,
solna,2001,,industrials,green cargo,delivery services,
stockholm,1970,,conglomerates,grimaldi industri,-,
gothenburg,1889,,industrials,gunnebo group,business support services,
stockholm,1947,,consumer services,h&m,apparel retailers,
torsång,1914,,consumer goods,haglöfs,recreational products,
älvdalen,1925,,consumer goods,hagström,recreational products,
landskrona,1887,,consumer goods,haldex,auto parts,
ellös,1943,,consumer goods,hallberg-rassy,recreational products,
stockholm,1871,,financials,handelsbanken,banks,
gothenburg,1841,,consumer goods,hasselblad,recreational products,
köping,1852,,consumer services,hästens,specialty retailers,
hestra,1936,,consumer goods,hestra,clothing & accessories,
stockholm,1992,,industrials,hexagon ab,business support services,
halmstad,1988,,telecommunications,hms industrial networks,fixed line telecommunications,
höganäs,1797,,basic materials,höganäs ab,iron & steel,
stockholm,1875,,basic materials,holmen,paper,
mattighofen,1988,,consumer goods,husaberg,automobiles,
stockholm,1689,,industrials,husqvarna group,industrial suppliers,
hudiksvall,1944,,industrials,hydrauliska industri ab,commercial vehicles & trucks,
uppsala,1983,,technology,iar systems,software,
stockholm,1938,,consumer services,ica gruppen,broadline retailers,
linköping,1983,,technology,ifs ab,software,
malmö,1995,,financials,ikano bank,banks,
uppsala,2007,,technology,imint image intelligence ab,software,
solna,2010,,industrials,infranord,railroads,
stockholm,2001,,technology,ingate systems,software,
stockholm,2001,,technology,intertex,computer hardware,
gothenburg,1984,,financials,investment ab latour,investment services,
stockholm,1961,,financials,investment ab öresund,investment services,
stockholm,1916,,financials,investor ab,investment services,
malmö,1983,,consumer goods,isadora,personal products,
stockholm,2011,,technology,izettle,software,
stockholm,1997,,consumer goods,j.lindeberg,clothing & accessories,
stockholm,1992,,technology,jeeves,software,
stockholm,2001,,industrials,jernhusen,railroads,
malung,1926,,consumer goods,jofa,recreational products,
jonsered,1832,,industrials,jonsereds fabrikers ab,industrial machinery,
stockholm,1936,,financials,kinnevik ab,investment services,
stockholm,2005,,consumer services,klarna,broadline retailers,
malmö,1840,,industrials,kockums naval solutions,commercial vehicles & trucks,
ängelholm,1994,,consumer goods,koenigsegg,automobiles,
stockholm,1899,,consumer services,kooperativa förbundet,consumer co-operatives,
kopparberg,1882,,consumer goods,kopparbergs brewery,brewers,
kosta,1742,,industrials,kosta glasbruk,building materials & fixtures,
halmstad,1836,,consumer goods,krönleins,brewers,
järna,1929,,consumer goods,kungsörnen,food products,
stockholm,1944,,financials,l e lundbergföretagen,investment services,
stockholm,1801,,financials,länsförsäkringar,full line insurance,
stockholm,1996,,financials,länsförsäkringar bank,banks,
stockholm,2001,,consumer goods,lantmännen,farming & fishing,
stockholm,2011,,consumer services,leovegas,gambling,
gothenburg,1954,,consumer services,lindex,apparel retailers,
stockholm,1957,,consumer services,linjeflyg,airlines,
luleå,1890,,basic materials,lkab,general mining,
stockholm,1997,,industrials,loomis,business support services,
stockholm,2001,,oil & gas,lundin petroleum,exploration & production,
motala,1923,,consumer goods,luxor ab,consumer electronics,
uppsala,2009,,technology,machinegames,software,
västerås,1861,,utilities,mälarenergi,conventional electricity,
stockholm,2001,,consumer services,maratone studios,broadcasting & entertainment,
malmö,1997,,technology,massive entertainment,software,
gothenburg,1982,,technology,mecel,software,
solna,1954,,health care,meda ab,pharmaceuticals,
täby,2009,,basic materials,micromy,specialty chemicals,
stockholm,1987,,consumer services,modern times group,broadcasting & entertainment,
stockholm,2009,,technology,mojang,software,
gothenburg,1849,,health care,mölnlycke health care,medical equipment,
vansbro,1908,,consumer goods,monark,recreational products,
uppsala,1995,,technology,mysql ab,software,
henån,1971,,consumer goods,najad yachts,recreational products,
kista,2004,,technology,nanoradio,semiconductors,
stockholm,2003,,financials,nasdaq nordic,investment services,
solna,1988,,industrials,ncc ab,heavy construction,
gothenburg,2006,,consumer services,neogames,publishing,
stockholm,2001,,telecommunications,neonode,computer hardware,
stockholm,2002,,consumer services,nextjet,airlines,
