01-DDD-datejoined,04-iGMM-datejoined
1/7/2021,4/7/2017
10/6/2020,12/1/2012
3/21/2018,7/3/2018
9/11/2019,1/23/2014
5/29/2018,1/8/2018
4/7/2017,5/2/2019
11/24/2017,12/30/2014
9/25/2018,2/5/2019
10/1/2020,4/26/2018
1/19/2021,10/26/2018
11/17/2020,7/20/2021
12/3/2019,6/6/2012
2/11/2019,3/5/2019
3/31/2015,7/25/2017
7/11/2018,3/31/2016
7/16/2019,4/7/2021
11/23/2020,1/5/2022
1/10/2019,5/31/2017
7/1/2019,1/23/2015
11/14/2018,4/20/2018
5/10/2022,10/8/2020
7/15/2020,3/1/2020
3/12/2016,12/20/2019
7/31/2017,2/17/2021
11/8/2018,12/11/2018
11/1/2021,7/20/2021
7/5/2022,6/26/2018
10/3/2018,10/10/2019
7/12/2022,10/16/2018
6/12/2019,10/30/2019
6/21/2022,10/5/2018
7/27/2022,12/20/2017
6/2/2022,7/6/2018
5/18/2022,8/6/2018
6/8/2022,10/13/2021
6/21/2022,7/22/2020
6/5/2018,4/21/2021
5/10/2022,3/26/2021
5/3/2022,11/15/2018
5/11/2022,6/3/2021
5/9/2022,8/4/2020
4/1/2020,12/22/2016
4/28/2022,10/8/2021
6/8/2022,10/28/2021
4/25/2022,5/8/2021
2/21/2019,6/21/2018
12/18/2015,2/21/2019
3/16/2022,12/18/2015
3/30/2022,3/12/2016
3/29/2022,7/31/2017
4/7/2022,10/3/2018
4/6/2022,4/1/2020
6/6/2022,7/15/2020
5/2/2022,11/1/2021
4/12/2022,5/10/2022
4/20/2022,6/5/2018
3/21/2022,11/14/2018
3/15/2022,7/1/2019
2/23/2022,1/10/2019
3/7/2022,11/17/2020
10/11/2022,11/8/2018
3/23/2022,6/12/2019
2/24/2022,3/31/2015
2/24/2022,11/24/2017
3/21/2022,9/25/2018
2/23/2022,12/3/2019
4/21/2022,10/1/2020
3/23/2022,1/21/2020
4/21/2022,2/11/2019
2/8/2022,11/23/2020
2/15/2022,7/11/2018
2/14/2022,1/19/2021
2/2/2022,9/11/2019
1/26/2022	,7/16/2019
2/23/2022,5/29/2018
2/9/2022,1/7/2021
2/22/2022,10/6/2020
1/27/2022	,3/21/2018
2/1/2022,3/29/2021
2/22/2022,4/9/2019
2/22/2022,7/27/2021
1/25/2022	,4/30/2018
1/5/2022,8/10/2021
1/6/2022,5/12/2021
12/21/2021,3/30/2021
12/16/2021,11/10/2020
12/8/2021,11/13/2018
1/26/2022	,10/11/2020
1/11/2022	,5/27/2013
1/12/2022	,5/6/2019
12/15/2021,8/5/2019
12/21/2021,7/12/2019
12/13/2021,8/12/2020
12/6/2021,11/19/2021
12/27/2021,9/22/2015
12/9/2021,7/27/2020
12/14/2021,11/17/2021
12/1/2021,7/2/2018
7/19/2021,7/8/2021
12/8/2021,12/12/2011
12/1/2021,1/17/2018
12/22/2021,6/8/2020
12/6/2021,7/1/2020
11/23/2021,9/8/2020
12/6/2021,10/27/2014
12/7/2021,3/19/2019
11/30/2021,7/29/2019
11/17/2021,2/12/2018
11/18/2021,1/6/2021
11/18/2021,5/20/2021
11/10/2021,4/14/2021
11/8/2021,8/18/2015
11/2/2021,11/10/2020
11/16/2021,3/17/2021
11/8/2021,7/27/2021
11/18/2021,3/30/2021
11/16/2021,9/23/2020
11/10/2021,2/12/2018
10/26/2021,4/7/2016
11/9/2021,4/2/2011
10/21/2021,12/10/2020
10/19/2021,1/12/2021
10/26/2021,5/18/2021
10/7/2021,2/17/2022
10/13/2021,4/20/2022
10/13/2021,6/11/2020
10/5/2021,6/30/2020
2/10/2021,5/25/2021
10/11/2021,5/20/2021
10/7/2021,8/31/2018
11/2/2021,1/29/2019
10/5/2021,7/11/2019
10/4/2021,9/9/2019
11/3/2021,12/2/2020
10/21/2021,6/1/2018
9/30/2021,3/25/2019
9/29/2021,1/6/2021
9/9/2021,12/9/2018
9/14/2021,2/27/2019
9/27/2021,3/8/2019
9/24/2021,9/29/2020
9/9/2021,4/13/2021
9/2/2021,8/23/2021
8/17/2021,10/12/2017
9/15/2021,1/26/2020
9/21/2021,7/31/2021
9/9/2021,1/12/2021
8/30/2021,1/24/2020
8/16/2021,1/11/2022
8/10/2021,7/2/2019
8/4/2021,7/17/2019
9/21/2021,3/24/2021
7/22/2021,12/22/2020
7/12/2021,4/8/2021
9/1/2021,3/17/2021
7/7/2021,4/5/2021
8/26/2021,6/10/2021
8/9/2021,12/18/2020
7/13/2021,8/10/2021
8/5/2021,12/16/2021
7/13/2021,2/25/2021
7/13/2021,7/6/2021
6/29/2021,4/26/2022
6/8/2021,8/25/2020
6/29/2021,12/4/2019
6/24/2021,9/19/2019
6/29/2021,1/4/2021
6/21/2021,3/31/2021
6/16/2021,11/27/2019
6/17/2021,8/4/2016
6/15/2021,3/16/2021
6/14/2021,10/31/2018
6/16/2021,7/25/2016
6/10/2021,3/5/2019
7/12/2021,12/20/2019
6/2/2021,4/16/2019
6/7/2021,12/23/2020
6/1/2021,11/13/2019
5/18/2021,10/22/2020
6/2/2021,9/21/2021	
5/5/2021,11/23/2020
5/6/2021,6/27/2019
5/12/2021,5/8/2018
5/6/2021,1/24/2022
7/14/2021,6/30/2021
5/17/2021,6/8/2021
11/9/2022,6/4/2018
5/13/2021,3/16/2021
5/4/2021,3/16/2021
6/1/2021,2/11/2020
4/30/2021,9/30/2014
6/23/2021,4/6/2021
4/29/2021,11/11/2014
4/28/2021,10/31/2017
5/12/2021,7/16/2018
4/20/2021,5/13/2019
4/14/2021,2/26/2018
4/12/2021,10/7/2019
4/13/2021,9/2/2020
4/11/2021,1/7/2021
2/25/2021,1/14/2021
3/10/2021,1/24/2021
3/16/2021,6/16/2021
2/18/2021,12/1/2020
2/16/2021,4/28/2017
3/22/2021,1/25/2021
4/14/2021,10/13/2021
1/26/2021,12/15/2020
3/29/2021,11/14/2018
2/1/2021,8/3/2020
2/17/2021,9/10/2018
2/25/2021,5/24/2021
2/17/2021,1/13/2021
1/27/2021,3/22/2022
1/7/2021,1/15/2021
3/30/2021,5/10/2022
1/7/2021,7/31/2018
4/22/2021,4/1/2014
3/24/2021,6/26/2019
6/3/2021,10/8/2020
9/21/2020,9/21/2018
9/16/2020,7/1/2021
5/13/2020,3/16/2021
4/9/2021,6/11/2018
1/7/2021,4/16/2020
1/19/2021,9/23/2020
12/16/2020,5/24/2021
11/3/2020,7/28/2021
7/30/2020,3/4/2021
6/17/2020,11/29/2021
4/28/2020,1/14/2021
1/30/2020,9/16/2021
3/17/2020,1/20/2022
8/22/2019,3/18/2021
6/18/2019,10/28/2020
5/30/2019,10/22/2020
8/7/2019,2/12/2020
5/16/2019,5/26/2021
4/29/2019,6/24/2017
1/22/2019,9/26/2017
2/21/2019,5/26/2020
10/23/2019,3/23/2021
6/10/2019,9/16/2021
10/16/2019,9/22/2020
8/6/2019,10/21/2020
3/22/2019,10/12/2021
9/13/2018,6/22/2021
10/25/2018,2/22/2021
11/6/2018,5/12/2021
8/27/2018,4/20/2021
7/18/2018,7/13/2021
6/11/2018,11/5/2021
7/12/2018,9/18/2019
7/16/2018,9/2/2020
5/24/2018,11/22/2021
7/5/2018,11/29/2021
10/18/2018,5/11/2017
11/8/2017,4/2/2018
10/23/2017,1/28/2021
10/17/2018,1/6/2021
8/7/2017,3/8/2021
6/29/2017,10/26/2020
8/2/2017,4/16/2019
9/21/2017,10/29/2019
10/10/2018,5/22/2020
10/23/2018,7/9/2021
6/7/2016,11/24/2020
12/21/2016,9/21/2021
4/6/2017,5/11/2016
4/12/2016,10/18/2021
10/12/2015,11/17/2022
11/18/2015,9/29/2015
4/10/2018,3/9/2021
10/12/2015,8/12/2021
7/10/2018,8/24/2021
8/12/2015,2/19/2021
7/2/2015,1/18/2022
11/15/2017,4/9/2021
5/21/2018,1/6/2022
