01-DDD-investors,04-iGMM-selectinvestors
"sutter hill ventures, liberty global ventures, coatue management","sequoia capital china, sig asia investments, sina weibo, softbank group"
"01 advisors, zeev ventures, group 11","founders fund, draper fisher jurvetson, rothenberg ventures"
"new enterprise associates, t. rowe associates, lightbank","tiger global management, sequoia capital china, shunwei capital partners"
"andreessen horowitz, founders fund, revolution ventures","khosla ventures, lowercasecapital, capitalg"
"didi chuxing, diamler, tmt investments","sequoia capital china, blackbird ventures, matrix partners"
"sequoia capital china, sig asia investments, sina weibo, softbank group","tiger global management, insight partners, dst global"
"nintendo, google, pokemon company international, spark capital","khosla ventures, kleiner perkins caufield & byers, collaborative fund"
"softbank group, sequoia capital india,lightspeed india partners","andreessen horowitz, new enterprise associates, battery ventures"
"dst global, softbank group, mountain nazca","index ventures, dst global, ribbit capital"
"global founders capital, nortzone ventures, picus capital","tencent holdings, kkr, smash ventures"
"summit partners, accel, astral capital","sequoia capital, thoma bravo, softbank"
"target global, general catalyst, durable capital partners","softbank group, andreessen horowitz, temasek holdings"
"softbank group, greylock partners, gaorong capital","forerunner ventures, crosslink capital, homebrew"
"andreessen horowitz, nor-cal invest, tpg growth","tencent holdings, lightspeed india partners, sequoia capital india"
"sequoia capital china, idg capital, dcm ventures","ggv capital, zhenfund, tencent"
"american express ventures, goldman sachs, bain capital credit","hillhouse capital management, boyu capital, sequoia capital china"
"addition, benhcmark, accel","accel, altair capital, technology crossover ventures"
"redalpine venture partners, earlybird venture capital, valar ventures","tencent holdings, warbug pincus, idg capital"
"sequoia capital china, tencent investment, ba capital","accel partners, sequoia capital"
"bessemer venture partners, iconiq capital, battery ventures","benchmark, greylock partners, tencent holdings"
"idg capital, matrix partners china, jump crypto","accel, softbank group, anthos capital"
"upper90, riverpark ventures, advent international","sequoia capital china, longfor capitalm, gaorong capital"
"sequoia capital china, gx capital","idg capital, venture51, lightspeed venture partners"
"y combinator, sequoia capital, coatue management","lightspeed venture partners, google ventures, lakestar"
"andreessen horowitz, lightspeed venture partners, zeev ventures","new enterprise associates, spar capital, index ventures"
"ribbit capital, capitalg, softbank group","andreessen horowitz, thirty five ventures, sound ventures"
"eclipse ventures, d1 capital partners, industry ventures","accel, 83north"
"djf, salesforce ventures, storm ventures","general catalyst, institutional venture partners, breyer capital"
"google ventures, accel, data collective","andreessen horowitz, f-prime capital, venrock"
"vattenfall, volkswagen group, goldman sachs","khosla ventures, forerunner ventures, sequoia capital"
"gaja capital partners, stakeboat capital, westbridge capital","dst global, ribbit capital, greenoaks capital management"
"boost vc, draper associates, gaingels",tiger global management
"bain capital ventures, splunk ventures, cisco investments","coatue management, sequoia capital china, idg capital"
"general catalyst, kleiner perkins caufield & byers, lightspeed venture partners","vickers venture partners, ikea greentech"
"bain capital ventures, splunk ventures, cisco investments","new enterprise associates, bdt capital partners, davidson kempner capital management"
"hyde park venture partners, bain capital ventures, hyde park angels","kkr, tencent holdings, sequoia capital china"
"kkr, es ventures, north bridge growth equity","andreessen horowitz, spark capital, y combinator"
spark capital,"tiger global management, sequoia capital, revo capital"
amf pensionsforsakring,"caffeinated capital, crv, founder collective"
"homebrew, inspired capital, tiger global management","ltw capital, legend capital, qualcomm ventures"
"sinar mas digital ventures, jic venture growth investments, golden gate ventures","initialized capital, y combinator, kleiner perkins caufield & byers"
"index ventures, draft ventures, felicis ventures","aviation industry corporation of china, essence financial, jiangsu sha steel group"
"valar ventures, index ventures, creandum","activant capital, tribe capital, general atlantic"
"dfj growth fund, dell technologies capital, ten eleven ventures","dfj growth fund, coatue management, addition"
"hedosophia, horizons ventures, alumni ventures group","tencent holdings, hillhouse capital management, yunfeng capital"
"mindworks ventures, shunwei capital partners, xiang he capital","accel india, saif partners, norwest venture partners"
"general catalyst partners, google ventures, kleiner perkins caufield & byers","mindworks ventures, shunwei capital partners, xiang he capital"
"l catterton, trellis partners, vista equity partners","general catalyst partners, google ventures, kleiner perkins caufield & byers"
"andreessen horowitz, ftx ventures, tiger global management","sequoia capital china, gx capital"
"primary venture partners, bessemer venture partners, harmonic growth partners","y combinator, sequoia capital, coatue management"
"varengold bank, circularity capital, coparion","djf, salesforce ventures, storm ventures"
"japan industrial partners, impact investment capital, nec","index ventures, draft ventures, felicis ventures"
"battery ventures, bessemer venture partners, morevc","upper90, riverpark ventures, advent international"
"3one4 capital partners, tiger global management, temasek","ribbit capital, capitalg, softbank group"
"new enterprise associates, tull investment group, silver lake","idg capital, matrix partners china, jump crypto"
"emergence capital, slack fund, paypal ventures","kkr, es ventures, north bridge growth equity"
"trinity ventures, madrona venture group, shasta ventures","bessemer venture partners, iconiq capital, battery ventures"
"andreessen horowitz, coinbase ventures, tiger global management","sequoia capital china, tencent investment, ba capital"
"8vc, liberty strategic capital, eden global partners","redalpine venture partners, earlybird venture capital, valar ventures"
"polychain capital, paradigm, ribbit capital","summit partners, accel, astral capital"
"k fund, creandum, crv","andreessen horowitz, lightspeed venture partners, zeev ventures"
"prime movers lab, khosla ventures, i squared capital","vattenfall, volkswagen group, goldman sachs"
"zeev ventures, bond, fifth wall ventures","andreessen horowitz, nor-cal invest, tpg growth"
"craft ventures, f-prime capital, sound ventures","nintendo, google, pokemon company international, spark capital"
"wildcat capital management, insight partners, tola capital","softbank group, sequoia capital india,lightspeed india partners"
"u.s. venture partners, drx capital, andreessen horowitz","target global, general catalyst, durable capital partners"
"battery ventures, adams street partners, coatue management","dst global, softbank group, mountain nazca"
"green bay ventures, m12, andreessen horowitz","boldstart ventures, google ventures, accel"
"iseed ventures, point nine capital, buckley ventures","softbank group, greylock partners, gaorong capital"
"kleiner perkins caufield & byers, sequoia capital","addition, benhcmark, accel"
"lemniscap vc, north island ventures, polychain capital","sequoia capital china, idg capital, dcm ventures"
"earlybird venture capital, eleven ventures, qed investors","global founders capital, nortzone ventures, picus capital"
"multicoin capital, coatue management, dragonfly capital partners","andreessen horowitz, founders fund, revolution ventures"
"accel, 14w, gs growth","american express ventures, goldman sachs, bain capital credit"
"fasanara capital, tiger global management, baleen capital","didi chuxing, diamler, tmt investments"
"atomico, ngp capital, google ventures","sutter hill ventures, liberty global ventures, coatue management"
"battery ventures, tiger global management, hanaco ventures","01 advisors, zeev ventures, group 11"
"next play ventures, zeal capital partners, softbank group","new enterprise associates, t. rowe associates, lightbank"
"qed investors, dst global, endeavor","d1 capital partners, stripe, coatue management"
"nexus venture partners, vertex ventures, strive","kaalari capital, tencent holdings, steadview capital"
"new enterprise associates, benchmark, two sigma ventures","tenaya capital, coatue management, stripes group"
"lightspeed india partners, sequoia capital india, endiya partners","bloomberg beta, founders fund, first round capital"
"tpg capital, apax partners, ta associates","tiger global management, american express ventures, b capital group"
"vista equity partners, warburg pincus, first ascent ventures","sixth street partners, orbimed advisors, highland capital management"
"vostok new ventures, the raine group, balderton capital","union square ventures, venrock, andreessen horowitz"
