01-DDD-valuation,04-iGMM-valuation
doll_8.3b,doll_140
doll_8.3b,doll_127
doll_8.1b,doll_100
doll_8.48b,doll_95
doll_8.4b,doll_40
doll_140b,doll_40
doll_9b,doll_39
doll_9b,doll_38
doll_8.7b,doll_33
doll_8.5b,doll_31.5
doll_9.2b,doll_32
doll_8.75b,doll_27
doll_8.6b,doll_25
doll_9b,doll_22
doll_8.5b,doll_20
doll_8.5b,doll_20
doll_8.6b,doll_17.5
doll_9.23b,doll_15.5
doll_9.28b,doll_15
doll_9.5b,doll_15
doll_10b,doll_15
doll_10b,doll_15
doll_10b,doll_15
doll_10b,doll_14
doll_9.2b,doll_13.5
doll_10b,doll_13.3
doll_1b,doll_13
doll_10b,doll_13
doll_1b,doll_12.6
doll_9.08b,doll_12.59
doll_1b,doll_12.3
doll_1b,doll_12
doll_1b,doll_12
doll_1b,doll_12
doll_1b,doll_12
doll_1b,doll_12
doll_9.5b,doll_12
doll_1b,doll_11.8
doll_1b,doll_11.7
doll_1b,doll_11.4
doll_1b,doll_11.25
doll_10b,doll_11.1
doll_1b,doll_11
doll_1b,doll_10.2
doll_1b,doll_10.88
doll_10b,doll_10.7
doll_10b,doll_10
doll_1b,doll_10
doll_1b,doll_10
doll_1b,doll_10
doll_1b,doll_10
doll_1b,doll_10
doll_1b,doll_10
doll_1b,doll_10
doll_1b,doll_10
doll_1b,doll_9.5
doll_1b,doll_9.5
doll_1b,doll_9.28
doll_1b,doll_9.23
doll_1b,doll_9.2
doll_1b,doll_9.2
doll_1b,doll_9.08
doll_1b,doll_9
doll_1b,doll_9
doll_1b,doll_9
doll_1b,doll_8.75
doll_1b,doll_8.7
doll_1b,doll_8.6
doll_1b,doll_8.6
doll_1b,doll_8.6
doll_1b,doll_8.5
doll_1b,doll_8.5
doll_1b,doll_8.48
doll_1b,doll_8.5
doll_1b,doll_8.4
doll_1b,doll_8.3
doll_1b,doll_8.3
doll_1b,doll_8.1
doll_1b,doll_8.1
doll_1b,doll_8
doll_1b,doll_8
doll_1b,doll_8
doll_1b,doll_8
doll_1b,doll_7.83
doll_1b,doll_7.6
doll_1b,doll_7.75
doll_1b,doll_7.5
doll_1b,doll_7.5
doll_1b,doll_7.5
doll_1b,doll_7.4
doll_1b,doll_7.3
doll_1b,doll_7.25
doll_1b,doll_7.25
doll_1b,doll_7.1
doll_1b,doll_7
doll_1b,doll_7
doll_1b,doll_7
doll_1b,doll_6.8
doll_1b,doll_6.8
doll_1b,doll_6.7
doll_1b,doll_6.6
doll_1b,doll_6.51
doll_1b,doll_6.5
doll_1b,doll_6.5
doll_1b,doll_7.5
doll_1b,doll_6.4
doll_1b,doll_6.3
doll_1b,doll_6.28
doll_1b,doll_6.2
doll_1b,doll_6.1
doll_1.1b,doll_6.1
doll_1b,doll_6
doll_1b,doll_6
doll_1b,doll_6
doll_1b,doll_6
doll_1b,doll_5.2
doll_1b,doll_5.99
doll_1b,doll_5.78
doll_1b,doll_5.77
doll_1b,doll_5.7
doll_1b,doll_5.7
doll_1b,doll_5.7
doll_1b,doll_5.7
doll_1b,doll_5.7
doll_1b,doll_5.7
doll_1b,doll_5.6
doll_1b,doll_5.6
doll_1b,doll_5.6
doll_1b,doll_5.36
doll_1b,doll_5.25
doll_1b,doll_5.25
doll_1b,doll_5.1
doll_1b,doll_5.1
doll_1b,doll_5.05
doll_1b,doll_5
doll_1b,doll_5.5
doll_1b,doll_5.5
doll_1b,doll_6.38
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1b,doll_5
doll_1.06b,doll_4.9
doll_1b,doll_4.8
doll_1b,doll_4.8
doll_1b,doll_4.8
doll_1b,doll_4.73
doll_1b,doll_4.7
doll_1b,doll_4.7
doll_1b,doll_4.7
doll_1b,doll_5.85
doll_1b,doll_4.6
doll_1b,doll_4.6
doll_1b,doll_4.6
doll_1b,doll_4.58
doll_1b,doll_4.53
