00-avengers-categories,01-DDD-categories,04-iGMM-categories
"['tech', 'software', 'dow jones', 'tech hardware', 'electronics']",tech software dow-jones tech-hardware electronics ,
"['pharmaceuticals', 'biotech']",food consumer-goods ,
"['banks', 'financial services']",insurance ,['Telecommunication']
"['sports goods', 'footwear', 'dow jones', 'clothing']",retail ,
"['entertainment', 'dow jones']",electricity dax energy ,
['medical devices'],insurance cac-40 ,['Conglomerate']
['professional services'],internet tech e-commerce ,
['telecommunication'],machinery-manufacturing manufacturing ,['Medicaldevices']
"['pharmaceuticals', 'biotech']",chemicals ,
"['automakers', 'manufacturing']",banks financial-services ,
['conglomerate'],software tech ,
"['restaurant chains', 'dow jones', 'food']",railways transportation infrastructure ,
"['banks', 'financial services']",automakers manufacturing ,
"['consumer goods', 'cac 40', 'cosmetics and beauty']",biotech ,
"['tech', 'electronics', 'networking hardware', 'dow jones', 'telecommunications equipment', 'tech hardware']",banks ,
"['oil&gas', 'energy']",none,['Conglomerate']
"['retail', 'supermarket chains']",advertising ,['Retail']
"['pharmaceuticals', 'biotech']",utility-companies electricity energy ,
"['scientific & technical instruments', 'diagnostics and testing', 'biotech']",investment real-estate reit ,
"['semiconductors', 'tech']",internet online-dating tech ,['Insurance']
['conglomerate'],airlines travel transportation ,
"['tech', 'software']",none,
"['semiconductors', 'tech', 'tech hardware']",beverages ,
"['e-commerce', 'tech', 'internet', 'retail']",none,
"['pharmaceuticals', 'dow jones', 'biotech']",conglomerate mining ,
"['beverages', 'dow jones']",financial-services ,
"['pharmaceuticals', 'biotech']",transportation container-shipping maritime-transportation ,
"['pharmaceuticals', 'biotech']",airlines travel transportation ,
"['biotech', 'pharmaceuticals']",tech electronics tech-hardware ,
"['pharmaceuticals', 'biotech']",media-press entertainment ,
"['alcoholic beverages', 'beverages']",none,
"['banks', 'financial services']",real-estate investment reit ,['Investment']
['food'],medical-devices ,
"['tech', 'internet']",none,
"['tech', 'electronics', 'tech hardware', 'manufacturing', 'semiconductors']",electronics tech tech-hardware ,
"['retail', 'dow jones']",semiconductors tech tech-hardware ,['Telecommunication']
"['oil&gas', 'dow jones', 'energy']",electricity utility-companies energy ,
['financial services'],software tech ,
"['dow jones', 'consumer goods']",telecommunication ,
"['pharmaceuticals', 'biotech']",automotive-suppliers ,['Insurance']
"['tech', 'internet', 'video games', 'esports']",none,
"['luxury goods', 'cac 40', 'clothing']",real-estate investment reit ,
"['retail', 'dow jones', 'supermarket chains']",none,['Insurance']
"['banks', 'financial services', 'dow jones']",none,
"['tech', 'semiconductors', 'electronics', 'tech hardware', 'autonomous driving']",real-estate investment ,
"['semiconductors', 'tech', 'manufacturing', 'tech hardware']",none,['Chemicals']
"['oil&gas', 'energy']",specialty-vehicles manufacturing agriculture ,
"['financial services', 'dow jones']",none,['Medicaldevices']
"['pharmaceuticals', 'dow jones', 'biotech']",banks financial-services ,
