04-iGMM-code,02-GioPonSpiz-codice,09-wissel-company_code,05-MalPatSaj-symbol
,aapl,vrtx,aapl
,2222.sr,vrnof,msft
TMUS,msft,azz,2222.sr
,goog,fnb,goog
,amzn,nx,amzn
DHR,brk-b,sxt,brk-b
,v,cts,unh
ABT,xom,amn,tsla
,tcehy,ash,jnj
,unh,ggg,v
,jnj,hzn,nvda
,tsm,pen,xom
,mc.pa,chdn,tsm
,nvda,iart,tcehy
,jpm,sxi,wmt
RELIANCE.NS,wmt,cnmd,jpm
LOW,tsla,road,mc.pa
,ma,hrb,pg
,meta,bx,lly
1299.HK,600519.ss,gdyn,ma
,pg,stra,hd
,lly,coin,cvx
,cvx,pins,nesn.sw
,nesn.sw,sr,meta
,hd,lesl,600519.ss
,005930.ks,azpn,pfe
,baba,mrna,005930.ks
,nvo,ryan,nvo
,mrk,hqy,abbv
,bac,rbbn,mrk
,abbv,etwo,ko
PRX.AS,pfe,lope,rog.sw
,asml,cvgw,bac
,ko,grpn,pep
,rog.sw,rog,asml
T,ihc.ae,spwr,baba
,avgo,tile,avgo
,pep,cabo,tmo
,orcl,snex,orcl
601318.SS,tmo,aciw,azn
,azn,hwc,cost
,1398.hk,lbrt,reliance.ns
HUM,or.pa,dt,1398.hk
,cost,nsp,csco
,shel,ogs,mcd
APD,reliance.ns,blkb,or.pa
,csco,hibb,dhr
BDX,nke,atcx,shel
,dhr,manh,nvs
ZURN.SW,abt,sgh,tm
,mcd,viav,abt
,nvs,he,acn
,tm,pb,tmus
,tmus,aud,nke
,rms.pa,amr,nee
,dis,umbf,dis
,acn,psfe,
CFR.SW,vz,crlbf,lin
,bhp,rga,bmy
,wfc,tnet,wfc
,cmcsa,plce,txn
,nee,evh,ups
,lin,conn,pm
,601939.ss,trs,adbe
PGR,prx.as,cme,bhp
,300750.sz,schn,vz
MPC,txn,utz,ms
ITC.NS,adbe,mnst,cmcsa
ADM,tte,mtrn,tte
,pm,pbf,601939.ss
GIS,ups,snda,300750.sz
,ms,hood,rtx
,schw,alsn,tcs.ns
RKT.L,0941.hk,atkr,amgn
,bmy,cno,0941.hk
ORLY,3968.hk,mwa,hon
,cop,tse,schw
,cdi.pa,brp,601288.ss
,tcs.ns,dkng,nflx
,601288.ss,gbci,3690.hk
KKR,crm,gwre,cop
,nflx,ds,prx.as
MNST,hon,vly,cdi.pa
,rtx,wal,qcom
MCO,amgn,fico,crm
603288.SS,hsbc,stks,t
,601318.ss,praa,ibm
AAL.L,t,dorm,unp
0728.HK,ry,real,de
KDP,sap,lamr,cvs
,qcom,nex,3968.hk
1211.SR,cat,lnt,ry
,601857.ss,dk,ul
,601988.ss,shyf,hdb
,1299.hk,arch,sap
600309.SS,3690.hk,denn,low
,unp,ktos,1299.hk
DVN,601628.ss,spwh,601857.ss
EXC,ibm,smar,lmt
,de,shcr,elv
,ul,pltr,601988.ss
,low,glt,cba.ax
,ba,cxm,hsbc
,gs,kkr,gs
,cba.ax,infn,cat
SYY,rio,vno,sny
RSG,hdb,cmco,bud
ECL,bud,gl,601318.ss
,intc,wtrg,
,sny,sfnc,intu
,sbux,bhg,td
,sie.de,ddog,sbux
FMG.AX,pdd,fult,intc
,td,hmpt,601628.ss
,spgi,cnsl,eqnr
,000858.sz,sdc,spgi
PAYX,cvs,lanc,axp
,lmt,pnfp,rio
,axp,htld,pdd
,elv,,pld
,amd,tost,ba
DSV.VI,jd,usph,amd
ALL,blk,nvee,gild
ABC,pld,sph,sie.de
,dte.de,wrld,adp
DD,intu,cir,deo
,amt,spxc,blk
IDXX,gild,ufi,jd
,taqa.ae,sgma,bp
,bp,ewbc,mdt
,mdt,pwsc,amt
,002594.sz,bgs,ci
,sony,onem,dte.de
,deo,hain,000858.sz
,6861.t,coup,sony
,adp,cohu,002594.sz
,p911.de,mgi,6861.t
,nppxf,net,isrg
,mufg,estc,p911.de
,air.pa,altr,csl.ax
AS7.F,syk,amc,syk
,eqnr,bmrn,nppxf
,c,dlr,amat
L.TO,csl.ax,mbuu,air.pa
,ci,roku,bti
ROK,alv.de,por,mdlz
6273.T,el,clw,tjx
,cb,wttr,cb
,tjx,expr,c
,mrk.de,le,ge
,idexy,tech,el
GWW,amat,kai,adi
,mdlz,shc,glcnf
TU,isrg,nvta,alv.de
DHI,373220.ks,bned,373220.ks
,pypl,tmhc,mrk.de
,su.pa,cvlg,mmc
WEC,bkng,anet,el.pa
,ge,ubsi,cni
,glcnf,cf,now
,mmc,bowl,mo
0066.HK,adi,awi,vow3.de
,bti,skil,idexy
,vale,plpc,pypl
WEGE3.SA,el.pa,mcs,noc
VOD,enb,vtol,regn
ALB,cfr.sw,azta,su.pa
600887.SS,cni,giii,enb
,now,strl,mrna
EQR,1120.sr,cwst,vrtx
CCEP,slb,nuva,duk
