02-GioPonSpiz-price,03-gren-price,05-MalPatSaj-price,00-avengers-share_price,01-DDD-share_price,06-MarScoToc-share_price,09-wissel-share_price,04-iGMM-shareprice
doll_134.76,130.0,doll_143.21,doll_147.81,doll_137.98,doll_137.87,doll_300.94,
doll_8.54,8.0,doll_257.22,doll_81.13,doll_50.98,doll_8.58,doll_3.00,
doll_239.23,225.0,doll_8.23,doll_45.94,doll_11.11,doll_240.22,doll_43.85,doll_148.79
doll_92.80,88.0,doll_95.31,doll_112.20,doll_213.26,doll_99.28,doll_13.41,
doll_98.12,86.0,doll_91.58,doll_99.43,doll_44.41,doll_97.25,doll_24.96,
doll_317.64,319.0,doll_309.29,doll_108.09,doll_30.75,doll_309.87,doll_77.99,doll_268.24
doll_223.06,180.0,doll_538.36,doll_300.13,doll_20.95,doll_50.42,doll_46.31,
doll_113.15,218.0,doll_156.80,doll_152.41,doll_442.00,doll_224.31,doll_103.86,doll_104.81
doll_47.80,490.0,doll_179.76,doll_89.99,doll_131.30,doll_91.03,doll_112.25,
doll_489.57,111.0,doll_213.32,doll_146.53,doll_0.48,doll_113.35,doll_70.62,
doll_173.43,46.0,doll_176.74,doll_274.23,doll_38.10,doll_486.72,doll_1.74,
doll_86.80,78.0,doll_106.46,doll_273.40,doll_214.80,doll_178.39,doll_237.78,
doll_853.07,138.0,doll_80.02,doll_0.49,doll_37.40,doll_168.74,doll_224.40,
doll_168.99,788.0,doll_41.75,doll_379.90,doll_95.88,doll_850.14,doll_57.40,
doll_143.01,147.0,doll_146.67,doll_49.70,doll_9.60,doll_133.42,doll_109.75,
doll_145.29,149.0,doll_133.41,doll_57.72,doll_11.98,doll_135.08,doll_95.99,doll_32.16
doll_122.40,154.0,doll_758.09,doll_494.53,doll_56.81,doll_140.54,doll_27.64,doll_206.89
doll_375.52,113.0,doll_152.84,doll_68.47,doll_8.23,doll_139.37,doll_37.85,
doll_136.98,368.0,doll_363.50,doll_563.00,doll_8.01,doll_376.28,doll_85.04,
doll_285.49,363.0,doll_357.51,doll_540.80,doll_47.92,doll_180.90,doll_11.71,doll_10.76
doll_150.88,177.0,doll_333.43,doll_33.44,doll_9.19,doll_277.59,doll_89.70,
doll_361.62,130.0,doll_172.33,doll_83.35,doll_188.00,doll_142.97,doll_49.98,
doll_177.56,262.0,doll_119.43,doll_605.71,doll_29.74,doll_49.95,doll_26.69,
doll_123.36,119.0,doll_121.59,doll_90.06,doll_91.88,doll_120.84,doll_73.12,
doll_331.21,318.0,doll_256.46,doll_110.04,doll_22.00,doll_346.07,doll_14.10,
doll_49.38,139.0,doll_54.48,doll_64.35,doll_4.12,doll_315.00,doll_200.74,
doll_117.01,46.0,doll_45.31,doll_329.15,doll_24.05,doll_141.10,doll_192.00,
doll_136.32,167.0,doll_134.72,doll_126.90,doll_4.58,doll_119.86,doll_43.88,
doll_112.25,115.0,doll_164.86,doll_163.66,doll_58.96,doll_109.94,doll_59.87,
doll_35.23,51.0,doll_111.55,doll_50.91,doll_21.53,doll_648.85,doll_3.07,
doll_153.60,107.0,doll_63.99,doll_232.78,doll_32.83,doll_33.85,doll_5.98,
doll_47.85,34.0,doll_329.03,doll_36.08,doll_1.35,doll_149.59,doll_111.67,doll_66.99
doll_659.69,63.0,doll_32.28,doll_120.66,doll_3.02,doll_317.41,doll_31.95,
doll_61.43,314.0,doll_183.36,doll_123.49,doll_140.08,doll_60.08,doll_8.57,
doll_315.84,181.0,doll_615.86,doll_46.54,doll_4.19,doll_45.11,doll_130.01,
doll_110.46,588.0,doll_90.91,doll_327.99,doll_166.05,doll_110.11,doll_18.66,doll_19.30
doll_579.00,596.0,doll_574.44,doll_181.03,doll_7.63,doll_570.78,doll_11.03,
doll_175.24,86.0,doll_567.23,doll_360.06,doll_26.94,doll_87.25,doll_759.35,
doll_89.20,71.0,doll_81.82,doll_150.61,doll_4.90,doll_593.66,doll_93.61,
