02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
consumer electronics,consumer electronics,consumer electronics,consumer electronics,oil & gas integrated,rental & leasing services
software—infrastructure,software—infrastructure,oil & gas integrated,software—infrastructure,drug manufacturersgeneral,telecom services
oil & gas integrated,oil & gas integrated,drug manufacturers—general,oil & gas integrated,specialty chemicals,railroads
internet content & information,internet content & information,home improvement retail,internet content & information,banks,internet content & information
internet retail,internet retail,drug manufacturers—general,internet retail,other industrial metals & mining,electronic components
auto manufacturers,auto manufacturers,beverages—wineries & distilleries,auto manufacturers,household & personal products,insurance—life
financial conglomerates,financial conglomerates,banks,financial conglomerates,beverageswineries & distilleries,travel services
semiconductors,semiconductors,oil & gas integrated,semiconductors,drug manufacturersgeneral,specialty chemicals
internet content & information,internet content & information,credit services,internet content & information,tobacco,internet retail
semiconductors,semiconductors,luxury goods,semiconductors,oil & gas integrated,oil & gas midstream
healthcare plans,healthcare plans,consumer electronics,healthcare plans,insurance brokers,banks
credit services,credit services,household & personal products,credit services,other industrial metals & mining,chemicals
drug manufacturers—general,drug manufacturers—general,banks,drug manufacturers—general,household & personal products,computer hardware
internet content & information,internet content & information,discount stores,internet content & information,publishing,auto manufacturers
discount stores,discount stores,internet content & information,discount stores,consulting services,capital markets
banks,banks,drug manufacturers—general,banks,utilitiesdiversified,auto manufacturers
household & personal products,household & personal products,diagnostics & research,household & personal products,financial data & stock exchanges,medical devices
consumer electronics,consumer electronics,drug manufacturers—general,consumer electronics,insuranceproperty & casualty,insurance—diversified
luxury goods,luxury goods,other industrial metals & mining,luxury goods,telecom services,software—application
credit services,credit services,footwear & accessories,credit services,banks,apparel retail
banks,banks,medical devices,banks,insurancelife,financial data & stock exchanges
drug manufacturers—general,drug manufacturers—general,telecom services,drug manufacturers—general,restaurants,oil & gas e&p
oil & gas integrated,oil & gas integrated,entertainment,oil & gas integrated,banks,banks
beverages—wineries & distilleries,beverages—wineries & distilleries,information technology services,beverages—wineries & distilleries,banks,biotechnology
home improvement retail,home improvement retail,household & personal products,home improvement retail,industrial distribution,drug manufacturers—general
