00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,06-MarScoToc-mastercap,07-silvestri-market_value_apr_2022,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,03-gren-market_capitalization_usd
doll_2.825 trillion,cn¥203.69 billion,doll_18.12 b,doll_207.68 b,doll_2.825 t,doll_2.825 t,doll_2.825 trillion,doll_2.825 t,2825000000000.0
doll_208.03 billion,cldoll_1.098 trillion,doll_20.19 b,doll_201.75 b,doll_2.328 t,doll_2.328 t,doll_348.72 billion,doll_2.328 t,2328000000000.0
doll_210.38 billion,€3.54 billion,doll_22.78 b,doll_166.07 b,doll_2.297 t,doll_2.297 t,usdoll_349.50 billion,doll_2.297 t,2297000000000.0
adoll_281.66 billion,€539.3 million,doll_26.09 b,doll_140.15 b,doll_1.825 t,doll_1.825 t,doll_321.47 billion,doll_1.825 t,1825000000000.0
doll_213.60 billion,₪45.1 million,doll_24.05 b,doll_125.84 b,doll_1.642 t,doll_1.642 t,doll_300.79 billion,doll_1.642 t,1642000000000.0
doll_215.02 billion,€305.3 million,doll_21.48 b,doll_117.84 b,doll_1.016 t,doll_1.016 t,usdoll_348.22 billion,doll_1.016 t,1016000000000.0
doll_216.68 billion,₽78.70 billion,doll_27.91 b,doll_115.58 b,doll_798.47 b,doll_798.47 b,doll_350.84 billion,doll_798.47 b,798470000000.0
doll_218.90 billion,nzdoll_2.10 billion,doll_19.22 b,doll_109.98 b,doll_660.38 b,doll_660.38 b,doll_315.13 billion,doll_660.38 b,660380000000.0
doll_219.03 billion,₹11.02 billion,doll_30.53 b,doll_101.44 b,doll_617.50 b,doll_617.50 b,doll_358.60 billion,doll_617.50 b,617500000000.0
€203.85 billion,mxdoll_41.21 billion,doll_35.27 b,doll_96.24 b,doll_527.89 b,doll_527.89 b,usdoll_359.26 billion,doll_527.89 b,527890000000.0
doll_228.18 billion,¥4.194 trillion,doll_32.72 b,doll_73.33 b,doll_488.52 b,doll_488.52 b,usdoll_378.35 billion,doll_488.52 b,488520000000.0
doll_236.15 billion,doll_4.70 billion,doll_39.72 b,doll_71.48 b,doll_486.77 b,doll_486.77 b,doll_384.60 billion,doll_486.77 b,486770000000.0
doll_238.45 billion,chf5.08 billion,doll_43.90 b,"(march 13, 2021)",doll_475.93 b,doll_475.93 b,doll_410.84 billion,doll_475.93 b,475930000000.0
doll_241.05 billion,chf4.78 billion,doll_49.11 b,doll_58.53 b,doll_441.17 b,doll_441.17 b,doll_429.05 billion,doll_441.17 b,441170000000.0
doll_247.88 billion,not found,doll_55.99 b,"(jan. 1, 2022)",doll_429.05 b,doll_429.05 b,usdoll_441.17 billion,doll_429.05 b,429050000000.0
cn¥1.593 trillion,ardoll_447.2 million,doll_62.69 b,doll_55.88 b,doll_410.84 b,doll_410.84 b,doll_475.93 billion,doll_410.84 b,410840000000.0
kr.1.731 trillion,ardoll_115.6 million,doll_73.38 b,doll_53.33 b,doll_384.60 b,doll_384.60 b,doll_208.03 billion,doll_384.60 b,384600000000.0
doll_258.15 billion,ardoll_536.6 million,doll_73.58 b,doll_51.43 b,doll_378.35 b,doll_378.35 b,doll_210.38 billion,doll_378.35 b,378350000000.0
doll_265.27 billion,not found,doll_73.72 b,doll_45.74 b,doll_359.26 b,doll_359.26 b,usdoll_211.25 billion,doll_359.26 b,359260000000.0
doll_273.01 billion,€2.52 billion,doll_73.99 b,doll_43.70 b,doll_358.60 b,doll_358.60 b,doll_213.60 billion,doll_358.60 b,358600000000.0
doll_273.20 billion,kr.288.0 million,doll_74.17 b,doll_39.00 b,doll_350.84 b,doll_350.84 b,doll_215.02 billion,doll_350.84 b,350840000000.0
€248.30 billion,kr.294.6 million,doll_74.78 b,doll_37.73 b,doll_349.50 b,doll_349.50 b,doll_216.68 billion,doll_349.50 b,349500000000.0
hkdoll_2.275 trillion,doll_548.5 million,doll_74.79 b,doll_32.72 b,doll_348.72 b,doll_348.72 b,doll_218.90 billion,doll_348.72 b,348720000000.0
doll_294.27 billion,₪1.71 billion,doll_74.91 b,doll_32.19 b,doll_348.22 b,doll_348.22 b,doll_219.03 billion,doll_348.22 b,348220000000.0
doll_300.79 billion,₪1.80 billion,doll_76.15 b,doll_30.52 b,doll_321.47 b,doll_321.47 b,usdoll_225.24 billion,doll_321.47 b,321470000000.0
doll_315.13 billion,₽10.15 billion,doll_76.98 b,doll_30.51 b,doll_315.13 b,doll_315.13 b,doll_228.18 billion,doll_315.13 b,315130000000.0
doll_321.47 billion,₹3.15 billion,doll_77.10 b,"(jan. 1, 2022)",doll_300.79 b,doll_300.79 b,doll_236.15 billion,doll_300.79 b,300790000000.0
cn¥2.216 trillion,₹3.08 billion,doll_77.60 b,doll_28.28 b,doll_294.27 b,doll_294.27 b,doll_238.45 billion,doll_294.27 b,294270000000.0
doll_348.72 billion,€143.1 million,doll_78.38 b,doll_28.11 b,doll_290.40 b,doll_290.40 b,doll_241.05 billion,doll_290.40 b,290400000000.0
chf323.52 billion,€144.8 million,doll_78.39 b,doll_24.09 b,doll_274.35 b,doll_274.35 b,doll_247.88 billion,doll_274.35 b,274350000000.0
doll_350.84 billion,€106.5 million,doll_78.42 b,doll_23.73 b,doll_273.20 b,doll_273.20 b,usdoll_250.37 billion,doll_273.20 b,273200000000.0
doll_358.60 billion,doll_114.8 million,doll_78.66 b,doll_22.53 b,doll_273.01 b,doll_273.01 b,usdoll_257.24 billion,doll_273.01 b,273010000000.0
€325.15 billion,€125.9 million,doll_79.22 b,doll_21.93 b,doll_265.27 b,doll_265.27 b,doll_126.77 billion,doll_265.27 b,265270000000.0
₩461.587 trillion,£90.0 million,doll_79.62 b,doll_21.34 b,doll_258.15 b,doll_258.15 b,doll_128.29 billion,doll_258.15 b,258150000000.0
doll_384.60 billion,kr1.27 billion,doll_80.16 b,doll_21.08 b,doll_257.24 b,doll_257.24 b,doll_130.31 billion,doll_257.24 b,257240000000.0
doll_410.84 billion,€115.9 million,doll_80.49 b,doll_20.78 b,doll_250.37 b,doll_250.37 b,usdoll_132.29 billion,doll_250.37 b,250370000000.0
doll_429.05 billion,chf1.38 billion,doll_80.92 b,doll_20.14 b,doll_247.88 b,doll_247.88 b,doll_133.92 billion,doll_247.88 b,247880000000.0
hkdoll_3.456 trillion,chf1.36 billion,doll_81.03 b,doll_19.82 b,doll_241.05 b,doll_241.05 b,usdoll_134.19 billion,doll_241.05 b,241050000000.0
doll_475.93 billion,chf1.43 billion,doll_82.60 b,"(jan. 1, 2022)",doll_238.45 b,doll_238.45 b,usdoll_134.25 billion,doll_238.45 b,238450000000.0
doll_486.77 billion,not found,doll_83.24 b,doll_18.78 b,doll_236.15 b,doll_236.15 b,doll_135.27 billion,doll_236.15 b,236150000000.0
doll_488.52 billion,not found,doll_83.80 b,"(jan. 1, 2022)",doll_228.18 b,doll_228.18 b,doll_136.32 billion,doll_228.18 b,228180000000.0
twdoll_15.140 trillion,not found,doll_84.67 b,doll_17.60 b,doll_225.24 b,doll_225.24 b,doll_136.48 billion,doll_225.24 b,225240000000.0
doll_617.50 billion,€893.5 million,doll_85.03 b,doll_17.49 b,doll_219.03 b,doll_219.03 b,usdoll_137.50 billion,doll_219.03 b,219030000000.0
doll_660.38 billion,€921.3 million,doll_86.49 b,doll_15.76 b,doll_218.90 b,doll_218.90 b,usdoll_139.30 billion,doll_218.90 b,218900000000.0
doll_798.47 billion,€939.9 million,doll_87.16 b,doll_14.09 b,doll_216.68 b,doll_216.68 b,usdoll_140.15 billion,doll_216.68 b,216680000000.0
doll_1.016 trillion,€938.9 million,doll_87.17 b,doll_13.61 b,doll_215.02 b,doll_215.02 b,usdoll_141.22 billion,doll_215.02 b,215020000000.0
doll_1.642 trillion,₪937.9 million,doll_87.31 b,doll_13.07 b,doll_213.60 b,doll_213.60 b,doll_141.72 billion,doll_213.60 b,213600000000.0
doll_1.825 trillion,₪952.5 million,doll_87.46 b,doll_12.78 b,doll_211.25 b,doll_211.25 b,doll_143.77 billion,doll_211.25 b,211250000000.0
sr8.615 trillion,€1.16 billion,doll_87.64 b,doll_12.20 b,doll_210.38 b,doll_210.38 b,doll_97.31 billion,doll_210.38 b,210380000000.0
doll_2.328 trillion,€1.16 billion,doll_87.76 b,"(jan. 1, 2022)",doll_208.03 b,doll_208.03 b,usdoll_97.41 billion,doll_208.03 b,208030000000.0
doll_151.06 billion,₹1.10 billion,doll_88.76 b,doll_12.14 b,doll_207.68 b,doll_62.66 b,doll_98.37 billion,doll_207.68 b,207680000000.0
doll_154.71 billion,₹1.08 billion,doll_88.77 b,doll_11.80 b,doll_204.13 b,doll_62.66 b,usdoll_98.47 billion,doll_204.13 b,204130000000.0
doll_158.06 billion,₹1.15 billion,doll_89.69 b,doll_11.54 b,doll_201.75 b,doll_62.58 b,doll_98.57 billion,doll_201.75 b,201750000000.0
cdoll_199.96 billion,₹1.14 billion,doll_89.82 b,doll_11.03 b,doll_201.72 b,doll_62.20 b,usdoll_98.79 billion,doll_201.72 b,201720000000.0
doll_163.19 billion,not found,doll_90.34 b,doll_10.97 b,doll_200.01 b,doll_62.19 b,doll_99.22 billion,doll_200.01 b,200010000000.0
doll_164.05 billion,not found,doll_90.46 b,doll_10.48 b,doll_199.57 b,doll_62.17 b,doll_100.16 billion,doll_199.57 b,199570000000.0
doll_164.31 billion,€2.2 million,doll_90.67 b,doll_10.44 b,doll_193.80 b,doll_62.00 b,doll_100.84 billion,doll_193.80 b,193800000000.0
cn¥1.050 trillion,not found,doll_90.74 b,doll_10.30 b,doll_190.50 b,doll_61.73 b,doll_101.41 billion,doll_190.50 b,190500000000.0
doll_165.53 billion,not found,doll_93.01 b,doll_10.21 b,doll_189.37 b,doll_61.67 b,usdoll_101.44 billion,doll_189.37 b,189370000000.0
doll_166.07 billion,€2.0 million,doll_94.34 b,doll_10.12 b,doll_186.57 b,doll_61.46 b,doll_102.98 billion,doll_186.57 b,186570000000.0
€153.86 billion,€3.3 million,doll_94.94 b,doll_10.00 b,doll_185.98 b,doll_61.11 b,usdoll_103.75 billion,doll_185.98 b,185980000000.0
doll_170.56 billion,not found,doll_94.96 b,doll_9.96 b,doll_185.67 b,doll_60.97 b,usdoll_104.00 billion,doll_185.67 b,185670000000.0
doll_171.28 billion,not found,doll_95.02 b,doll_9.83 b,doll_184.19 b,doll_60.19 b,usdoll_104.42 billion,doll_184.19 b,184190000000.0
doll_172.25 billion,€4.6 million,doll_95.34 b,"(oct. 1, 2021)",doll_175.88 b,doll_60.06 b,doll_104.97 billion,doll_175.88 b,175880000000.0
doll_175.88 billion,€3.3 million,doll_96.24 b,doll_9.60 b,doll_172.25 b,doll_59.95 b,doll_73.38 billion,doll_172.25 b,172250000000.0
doll_184.19 billion,chf326.4 million,doll_96.98 b,doll_9.51 b,doll_171.28 b,doll_59.80 b,usdoll_73.58 billion,doll_171.28 b,171280000000.0
cn¥1.181 trillion,€5.7 million,doll_62.69 b,"(march 13, 2021)",doll_170.56 b,doll_59.76 b,doll_73.72 billion,doll_170.56 b,170560000000.0
cn¥1.183 trillion,chf337.7 million,doll_62.75 b,doll_9.32 b,doll_170.00 b,doll_59.75 b,doll_73.99 billion,doll_170.00 b,170000000000.0
doll_186.57 billion,chf367.5 million,doll_62.87 b,doll_9.07 b,doll_166.07 b,doll_59.67 b,doll_74.17 billion,doll_166.07 b,166070000000.0
cn¥1.205 trillion,chf374.2 million,doll_63.08 b,doll_8.90 b,doll_165.53 b,doll_59.66 b,usdoll_74.78 billion,doll_165.53 b,165530000000.0
doll_190.50 billion,hkdoll_76.51 billion,doll_63.25 b,doll_8.54 b,doll_165.00 b,doll_59.65 b,doll_74.79 billion,doll_165.00 b,165000000000.0
doll_193.80 billion,€662.9 million,doll_63.43 b,doll_8.10 b,doll_164.31 b,doll_59.55 b,doll_74.91 billion,doll_164.31 b,164310000000.0
doll_199.57 billion,€441.8 million,doll_64.40 b,doll_8.10 b,doll_164.05 b,,doll_76.15 billion,doll_164.05 b,164050000000.0
doll_200.01 billion,€439.1 million,doll_64.60 b,doll_8.03 b,doll_163.19 b,doll_59.50 b,doll_76.98 billion,doll_163.19 b,163190000000.0
doll_201.72 billion,€450.1 million,doll_64.66 b,doll_7.94 b,doll_159.74 b,doll_59.47 b,doll_77.10 billion,doll_159.74 b,159740000000.0
£153.84 billion,not found,doll_65.04 b,doll_7.93 b,doll_158.06 b,doll_59.46 b,doll_77.60 billion,doll_158.06 b,158060000000.0
chf188.95 billion,not found,doll_65.53 b,doll_7.88 b,doll_154.71 b,doll_59.26 b,doll_78.38 billion,doll_154.71 b,154710000000.0
£158.36 billion,not found,doll_65.64 b,doll_7.79 b,doll_151.06 b,doll_59.01 b,usdoll_78.39 billion,doll_151.06 b,151060000000.0
doll_126.77 billion,not found,doll_65.74 b,doll_7.79 b,doll_150.96 b,doll_58.70 b,usdoll_78.42 billion,doll_150.96 b,150960000000.0
doll_128.29 billion,not found,doll_65.89 b,doll_7.76 b,doll_150.76 b,doll_58.53 b,usdoll_78.66 billion,doll_150.76 b,150760000000.0
doll_130.31 billion,not found,doll_66.35 b,doll_7.59 b,doll_148.98 b,doll_58.36 b,doll_62.69 billion,doll_148.98 b,148980000000.0
€119.73 billion,₹279.0 million,doll_66.62 b,doll_7.57 b,doll_145.41 b,doll_57.82 b,doll_62.69 billion,doll_145.41 b,145410000000.0
doll_133.92 billion,₹281.8 million,doll_66.74 b,doll_7.55 b,doll_144.50 b,doll_57.75 b,usdoll_62.75 billion,doll_144.50 b,144500000000.0
€121.45 billion,₹268.9 million,doll_66.87 b,doll_7.52 b,doll_144.32 b,doll_57.63 b,doll_62.87 billion,doll_144.32 b,144320000000.0
cn¥854.25 billion,₹288.3 million,doll_66.95 b,doll_7.42 b,doll_143.77 b,doll_57.62 b,doll_63.08 billion,doll_143.77 b,143770000000.0
doll_135.27 billion,₹290.7 million,doll_67.19 b,doll_7.28 b,doll_141.72 b,doll_57.45 b,doll_63.25 billion,doll_141.72 b,141720000000.0
doll_136.32 billion,₹291.2 million,doll_67.20 b,doll_7.10 b,doll_141.22 b,doll_57.43 b,usdoll_63.43 billion,doll_141.22 b,141220000000.0
doll_136.48 billion,₹322.4 million,doll_67.31 b,doll_7.09 b,doll_140.15 b,doll_57.40 b,usdoll_64.40 billion,doll_140.15 b,140150000000.0
€124.45 billion,₪2.9 million,doll_67.49 b,doll_7.02 b,doll_139.30 b,doll_57.23 b,usdoll_64.60 billion,doll_139.30 b,139300000000.0
hkdoll_1.091 trillion,₹335.5 million,doll_67.49 b,doll_7.02 b,doll_137.50 b,doll_57.20 b,usdoll_64.66 billion,doll_137.50 b,137500000000.0
£106.87 billion,₹338.0 million,doll_67.54 b,doll_6.77 b,doll_136.48 b,doll_57.18 b,doll_65.04 billion,doll_136.48 b,136480000000.0
cn¥898.61 billion,₹340.4 million,doll_68.09 b,doll_6.64 b,doll_136.32 b,doll_57.09 b,doll_65.53 billion,doll_136.32 b,136320000000.0
doll_141.72 billion,₹362.3 million,doll_68.11 b,doll_6.51 b,doll_135.27 b,,doll_65.64 billion,doll_135.27 b,135270000000.0
doll_143.77 billion,₹362.5 million,doll_68.23 b,doll_6.35 b,doll_134.25 b,doll_56.89 b,doll_65.74 billion,doll_134.25 b,134250000000.0
adoll_192.42 billion,₪3.1 million,doll_68.68 b,doll_6.25 b,doll_134.19 b,doll_56.77 b,doll_65.89 billion,doll_134.19 b,134190000000.0
cn¥919.47 billion,₹364.4 million,doll_68.69 b,doll_6.25 b,doll_133.92 b,doll_56.55 b,doll_66.35 billion,doll_133.92 b,133920000000.0
cdoll_182.02 billion,₹365.3 million,doll_68.93 b,doll_6.12 b,doll_132.29 b,doll_56.48 b,usdoll_55.99 billion,doll_132.29 b,132290000000.0
€134.84 billion,₹404.9 million,doll_69.31 b,doll_6.10 b,doll_130.31 b,doll_56.38 b,usdoll_56.17 billion,doll_130.31 b,130310000000.0
doll_150.76 billion,₹372.4 million,doll_69.45 b,doll_6.07 b,doll_128.29 b,doll_56.17 b,usdoll_56.38 billion,doll_128.29 b,128290000000.0
