00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
apple,apple inc.,apple inc.,apple,apple inc.,shell plc,apple inc.,great wall motor co ltd,"avis budget group, inc."
danaher,microsoft corporation,microsoft corporation,exxonmobil,microsoft corporation,astrazeneca plc,microsoft corporation,colbún sa,telefônica brasil sa
merck,saudi arabian oil company,saudi arabian oil company,roche,saudi arabian oil company,linde plc,saudi arabian oil company,usinas siderúrgicas de minas gerais sa,east japan railway company
bhp,alphabet inc.,alphabet inc.,home depot,alphabet inc.,hsbc holdings plc,alphabet inc.,origin enterprises plc,twilio inc.
nike,"amazon.com, inc.","amazon.com, inc.",pfizer,"amazon.com, inc.",rio tinto group,"amazon.com, inc.",summit real estate holdings ltd,"delta electronics, inc."
abbott,"tesla, inc.","tesla, inc.",kweichow moutai,"tesla, inc.",unilever plc,"tesla, inc.",selvita sa,power corporation of canada
verizon,berkshire hathaway inc.,berkshire hathaway inc.,bank of america,berkshire hathaway inc.,diageo plc,berkshire hathaway inc.,far-eastern shipping co plc,"expedia group, inc."
comcast,nvidia corporation,nvidia corporation,chevron,nvidia corporation,glaxosmithkline plc,nvidia corporation,precinct properties new zealand ltd,croda international plc
accenture,"meta platforms, inc.","meta platforms, inc.",mastercard,"meta platforms, inc.",british american tobacco plc,"meta platforms, inc.",proseed india ltd,"coupang, inc."
l'oréal,taiwan semiconductor manufacturing company limited,taiwan semiconductor manufacturing company limited,lvmh,taiwan semiconductor manufacturing company limited,bp plc,taiwan semiconductor manufacturing company limited,"controladora vuela compañía de aviación, s.a.b. de c.v.",mplx lp
oracle,unitedhealth group incorporated,unitedhealth group incorporated,samsung,unitedhealth group incorporated,aon plc,unitedhealth group incorporated,z holdings corp,natwest group plc
thermo fisher scientific,visa inc.,visa inc.,procter & gamble,visa inc.,anglo american plc,visa inc.,crispr therapeutics ag,"dupont de nemours, inc."
cisco,johnson & johnson,johnson & johnson,jpmorgan,johnson & johnson,reckitt benckiser group plc,johnson & johnson,flughafen zürich ag,hp inc.
pepsico,tencent holdings ltd,tencent holdings ltd,walmart,tencent holdings ltd,relx plc,tencent holdings ltd,sfs group ag,"honda motor co., ltd."
disney,walmart inc.,walmart inc.,tencent,walmart inc.,ihs markit ltd.,walmart inc.,matba rofex sa,macquarie group limited
icbc,jpmorgan chase & co.,jpmorgan chase & co.,johnson & johnson,jpmorgan chase & co.,national grid plc,jpmorgan chase & co.,instituto rosenbusch sa,general motors company
novo nordisk,the procter & gamble company,the procter & gamble company,danaher,the procter & gamble company,london stock exchange group plc,the procter & gamble company,"polledo sociedad anonima, industrial, constructora y financiera",edwards lifesciences corporation
costco,"samsung electronics co., ltd.","samsung electronics co., ltd.",merck,"samsung electronics co., ltd.",general accident plc,"samsung electronics co., ltd.",empresa distribuidora eléctrica regional sa,zurich insurance group ag
broadcom,"lvmh moët hennessy - louis vuitton, se","lvmh moët hennessy - louis vuitton, se",bhp,"lvmh moët hennessy - louis vuitton, se",vodafone group plc,"lvmh moã«t hennessy - louis vuitton, se",gambling.com group ltd,atlassian corporation plc
lilly,mastercard incorporated,mastercard incorporated,nike,mastercard incorporated,lloyds banking group plc,mastercard incorporated,trigano sa,"the tjx companies, inc."
coca-cola,bank of america corporation,bank of america corporation,abbott,bank of america corporation,prudential plc,bank of america corporation,broendbyernes if fodbold a-s,"intercontinental exchange, inc."
asml,roche holding ag,roche holding ag,verizon,roche holding ag,compass group plc,roche holding ag,fom technologies a/s,canadian natural resources limited
alibaba,exxon mobil corporation,exxon mobil corporation,comcast,exxon mobil corporation,natwest group plc,exxon mobil corporation,nano-x imaging ltd.,truist financial corporation
abbvie,kweichow moutai co. ltd,kweichow moutai co. ltd,accenture,kweichow moutai co. ltd,barclays plc,kweichow moutai co. ltd,i.d.i. insurance company ltd,"regeneron pharmaceuticals, inc."
pfizer,"the home depot, inc.","the home depot, inc.",l'oréal,"the home depot, inc.",ferguson plc,"the home depot, inc.",the israel land development company ltd,"gilead sciences, inc."
chevron,chevron corporation,chevron corporation,oracle,chevron corporation,bae systems plc,chevron corporation,idgc of centre pjsc,"becton, dickinson and company"
home depot,pfizer inc.,pfizer inc.,thermo fisher scientific,pfizer inc.,willis towers watson plc,pfizer inc.,birla tyres ltd,"the pnc financial services group, inc."
kweichow moutai,abbvie inc.,abbvie inc.,cisco,abbvie inc.,ashtead group plc,abbvie inc.,rohit ferro-tech ltd,lam research corporation
exxonmobil,alibaba group holding limited,alibaba group holding limited,pepsico,alibaba group holding limited,tesco plc,alibaba group holding limited,nueva expresion textil sa,the southern company
roche,asml holding n.v.,asml holding n.v.,disney,asml holding n.v.,bt group plc,asml holding n.v.,inmobiliaria del sur sa,china petroleum & chemical corporation
bank of america,the coca-cola company,the coca-cola company,icbc,the coca-cola company,sse plc,the coca-cola company,photon energy n.v.,china yangtze power co. ltd
mastercard,eli lilly and company,eli lilly and company,novo nordisk,eli lilly and company,coca-cola europacific partners plc,eli lilly and company,lava therapeutics b.v.,kering sa
lvmh,broadcom inc.,broadcom inc.,intuit,broadcom inc.,cnh industrial n.v.,broadcom inc.,beter bed holding n.v.,bank of montreal
samsung,costco wholesale corporation,costco wholesale corporation,amd,costco wholesale corporation,legal & general group plc,costco wholesale corporation,asa international group plc,tokyo electron ltd
