02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
technology,technology,technology,technology,energy,technology,industrials
technology,technology,energy,technology,healthcare,technology,communication services
energy,energy,healthcare,energy,basic materials,energy,industrials
communication services,communication services,consumer discretionary,communication services,financials,communication services,communication services
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,basic materials,consumer discretionary,technology
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer discretionary,financials
financials,financials,financials,financials,consumer staples,financials,consumer discretionary
technology,technology,energy,technology,healthcare,technology,basic materials
communication services,communication services,financials,communication services,consumer staples,communication services,consumer discretionary
technology,technology,consumer discretionary,technology,energy,technology,energy
healthcare,healthcare,technology,healthcare,financials,healthcare,financials
financials,financials,consumer staples,financials,basic materials,financials,basic materials
healthcare,healthcare,financials,healthcare,consumer staples,healthcare,technology
communication services,communication services,consumer staples,communication services,communication services,communication services,consumer discretionary
consumer staples,consumer staples,communication services,consumer staples,industrials,consumer staples,financials
financials,financials,healthcare,financials,utilities,financials,consumer discretionary
consumer staples,consumer staples,healthcare,consumer staples,financials,consumer staples,healthcare
technology,technology,healthcare,technology,financials,technology,financials
consumer discretionary,consumer discretionary,basic materials,consumer discretionary,communication services,consumer discretionary,technology
financials,financials,consumer discretionary,financials,financials,financials,consumer discretionary
financials,financials,healthcare,financials,financials,financials,financials
healthcare,healthcare,communication services,healthcare,consumer discretionary,healthcare,energy
energy,energy,communication services,energy,financials,energy,financials
consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,healthcare
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,industrials,consumer discretionary,healthcare
energy,energy,technology,energy,industrials,energy,healthcare
healthcare,healthcare,healthcare,healthcare,financials,healthcare,financials
healthcare,healthcare,technology,healthcare,industrials,healthcare,technology
consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer discretionary,utilities
technology,technology,communication services,technology,communication services,technology,energy
consumer staples,consumer staples,financials,consumer staples,utilities,consumer staples,utilities
healthcare,healthcare,healthcare,healthcare,consumer staples,healthcare,consumer discretionary
technology,technology,technology,technology,industrials,technology,financials
consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,technology
healthcare,healthcare,industrials,healthcare,real estate,healthcare,financials
financials,financials,healthcare,financials,financials,financials,healthcare
communication services,communication services,financials,communication services,consumer staples,communication services,real estate
consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,financials
technology,technology,financials,technology,basic materials,technology,healthcare
healthcare,healthcare,healthcare,healthcare,financials,healthcare,basic materials
technology,technology,energy,technology,basic materials,technology,technology
consumer staples,consumer staples,industrials,consumer staples,financials,consumer staples,healthcare
technology,technology,energy,technology,consumer staples,technology,financials
communication services,communication services,communication services,communication services,communication services,communication services,technology
communication services,communication services,financials,communication services,healthcare,communication services,financials
healthcare,healthcare,financials,healthcare,communication services,healthcare,financials
consumer discretionary,consumer discretionary,healthcare,consumer discretionary,consumer staples,consumer discretionary,basic materials
basic materials,basic materials,consumer discretionary,basic materials,industrials,basic materials,financials
healthcare,healthcare,financials,healthcare,consumer discretionary,healthcare,financials
healthcare,healthcare,industrials,healthcare,basic materials,healthcare,financials
communication services,energy,energy,energy,industrials,energy,utilities
technology,healthcare,financials,healthcare,communication services,healthcare,industrials
financials,healthcare,financials,healthcare,consumer staples,healthcare,healthcare
communication services,technology,consumer discretionary,technology,industrials,technology,healthcare
energy,financials,industrials,financials,industrials,financials,basic materials
industrials,technology,consumer staples,technology,financials,technology,consumer discretionary
technology,technology,financials,technology,consumer discretionary,technology,consumer staples
technology,industrials,healthcare,industrials,utilities,industrials,healthcare
financials,financials,consumer staples,financials,financials,financials,communication services
industrials,consumer discretionary,consumer staples,consumer discretionary,utilities,consumer discretionary,industrials
technology,financials,communication services,financials,consumer discretionary,financials,energy
industrials,industrials,basic materials,industrials,financials,industrials,industrials
energy,industrials,consumer discretionary,industrials,technology,industrials,consumer discretionary
basic materials,communication services,communication services,communication services,consumer staples,communication services,energy
technology,technology,healthcare,technology,technology,technology,energy
industrials,technology,financials,technology,basic materials,technology,industrials
communication services,healthcare,technology,healthcare,financials,healthcare,financials
financials,communication services,consumer discretionary,communication services,industrials,communication services,technology
financials,basic materials,financials,basic materials,consumer discretionary,basic materials,utilities
industrials,utilities,energy,utilities,consumer discretionary,utilities,healthcare
technology,financials,financials,financials,healthcare,financials,industrials
financials,communication services,healthcare,communication services,technology,communication services,basic materials
consumer staples,financials,healthcare,financials,financials,financials,industrials
consumer staples,communication services,healthcare,communication services,communication services,communication services,technology
communication services,financials,financials,financials,real estate,financials,consumer discretionary
basic materials,financials,technology,financials,industrials,financials,technology
healthcare,consumer staples,utilities,consumer staples,financials,consumer staples,utilities
industrials,healthcare,energy,healthcare,consumer discretionary,healthcare,consumer staples
technology,industrials,utilities,industrials,industrials,industrials,consumer discretionary
communication services,financials,consumer discretionary,financials,real estate,financials,basic materials
,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,real estate
basic materials,financials,financials,financials,industrials,financials,financials
consumer staples,energy,technology,energy,consumer discretionary,energy,financials
energy,financials,utilities,financials,communication services,financials,financials
technology,consumer discretionary,healthcare,consumer discretionary,consumer staples,consumer discretionary,industrials
financials,healthcare,industrials,healthcare,financials,healthcare,industrials
energy,financials,basic materials,financials,consumer discretionary,financials,financials
consumer staples,financials,industrials,financials,communication services,financials,financials
industrials,communication services,technology,communication services,communication services,communication services,industrials
financials,energy,consumer discretionary,energy,consumer discretionary,energy,healthcare
consumer discretionary,industrials,technology,industrials,financials,industrials,basic materials
consumer discretionary,energy,utilities,energy,industrials,energy,healthcare
industrials,healthcare,consumer staples,healthcare,real estate,healthcare,industrials
financials,financials,consumer discretionary,financials,basic materials,financials,utilities
energy,technology,basic materials,technology,consumer discretionary,technology,technology
healthcare,financials,real estate,financials,financials,financials,financials
technology,healthcare,financials,healthcare,real estate,healthcare,financials
financials,industrials,consumer discretionary,industrials,financials,industrials,real estate
consumer discretionary,technology,financials,technology,consumer discretionary,technology,communication services
financials,technology,technology,technology,financials,technology,financials
technology,technology,healthcare,technology,consumer staples,technology,utilities
basic materials,basic materials,energy,basic materials,consumer discretionary,basic materials,utilities
financials,financials,financials,financials,industrials,financials,financials
industrials,industrials,industrials,industrials,financials,industrials,industrials
