08-slytherin-employees,07-silvestri-employees_2017,03-gren-employees_number_2017,01-DDD-number_of_employees_2017
385,1,1,1
63,10,10,10
47,4,4,4
82,4,4,4
78,9,9,9
164,2,2,2
7,12,12,12
52,15,15,15
355,1,1,1
108,5,5,5
400,12,12,12
101,2,2,2
594,13,13,13
61,36,36,36
54,5,5,5
92,4,4,4
22,2,2,2
218,6,6,6
21,9,9,9
13,23,23,23
60,8,8,8
40,6,6,6
285,20,20,20
177,72,72,72
32,1,1,1
202,6,6,6
318,10,10,10
34,1,1,1
182,3,3,3
28,90,90,90
800,21,21,21
575,8,8,8
120,6,6,6
100,9,9,9
39,2,2,2
135,7,7,7
67,4,4,4
7,10,10,10
365,22,22,22
750,1,1,1
"1,046",16,16,16
"1,096",na,na,none
60,7,7,7
229,3,3,3
600,7,7,7
9,2,2,2
46,26,26,26
186,24,24,24
974,2,2,2
30,15,15,15
25655,4,4,4
42,0,0,0
672,2,2,2
57,8,8,8
85,1,1,1
26,2,2,2
20,14,14,14
72,1,1,1
358,4,4,4
25,2,2,2
200,2,2,2
10,28,28,28
376,98,98,98
155,2,2,2
102,2,2,2
25,3,3,3
43,47,47,47
1556,45,45,45
64,12,12,12
9,40,40,40
117,4,4,4
180,4,4,4
91,3,3,3
1664,8,8,8
350,22,22,22
422,1,1,1
65,20,20,20
31,1,1,1
28,2,2,2
11,5,5,5
38,0,0,0
30,106,106,106
29,8,8,8
30,2,2,2
16,18,18,18
203,13,13,13
1050,33,33,33
251,4,4,4
7,7,7,7
69,9,9,9
22,1,1,1
10,8,8,8
7,19,19,19
36,4,4,4
204,6,6,6
104,3,3,3
224,2,2,2
550,1,1,1
25,3,3,3
5,1,1,1
12,5,5,5
232,44,44,44
40,2,2,2
12,24,24,24
10,2,2,2
24,3,3,3
783,2,2,2
98,20,20,20
29,7,7,7
200,6,6,6
108,6,6,6
18,8,8,8
219,5,5,5
193,9,9,9
344,4,4,4
34,55,55,55
371,2,2,2
62,7,7,7
35,2,2,2
25,18,18,18
301,3,3,3
44,7,7,7
41,3,3,3
9,2,2,2
618,47,47,47
200,1,1,1
90,75,75,75
494,6,6,6
34,2,2,2
25,1,1,1
10,19,19,19
90,48,48,48
49,4,4,4
29,23,23,23
96,5,5,5
30,5,5,5
293,14,14,14
700,1,1,1
471,1,1,1
25,4,4,4
3,4,4,4
52,399,399,399
13,2,2,2
301,10,10,10
228,32,32,32
45,17,17,17
1438,1,1,1
115,8,8,8
80,37,37,37
38,31,31,31
67,17,17,17
60,2,2,2
38,4,4,4
3,2,2,2
1100,2,2,2
not found,32,32,32
20,30,30,30
18,10,10,10
509,84,84,84
335,40,40,40
105,4,4,4
10,37,37,37
150,5,5,5
25,38,38,38
10,6,6,6
45,767,767,767
72,2,2,2
112,2,2,2
30,3,3,3
581,18,18,18
1,4,4,4
12,2,2,2
101,3,3,3
5,3,3,3
2,9,9,9
353,32,32,32
not found,4,4,4
54,3,3,3
33,350,350,350
334,25,25,25
26,9,9,9
