08-slytherin-revenue,07-silvestri-revenue_2020,03-gren-revenue_2020_eu,01-DDD-revenue_2020_euro
88.77,"97,611,814",97611814.0,"97,611,814"
45.48,"57,318,766",57318766.0,"57,318,766"
9.49,"568,322,073",568322073.0,"568,322,073"
12.44,"316,732,986",316732986.0,"316,732,986"
24.42,"56,109,613",56109613.0,"56,109,613"
108.46,"13,165,586",13165586.0,"13,165,586"
44.04,"18,732,563",18732563.0,"18,732,563"
15.02,"47,597,000",47597000.0,"47,597,000"
64.65,"7,337,290",7337290.0,"7,337,290"
7.06,"24,484,879",24484879.0,"24,484,879"
86.35,"41,205,930",41205930.0,"41,205,930"
6.17,"9,015,211",9015211.0,"9,015,211"
31.04,"9,034,926",9034926.0,"9,034,926"
4.56,"12,158,046",12158046.0,"12,158,046"
204.99,"11,387,156",11387156.0,"11,387,156"
46.08,"21,455,864",21455864.0,"21,455,864"
35.63,"7,234,981",7234981.0,"7,234,981"
"97,611,814","14,338,668",14338668.0,"14,338,668"
5.62,"6,851,839",6851839.0,"6,851,839"
6.75,"11,583,215",11583215.0,"11,583,215"
7.42,"30,886,935",30886935.0,"30,886,935"
24.81,"9,008,822",9008822.0,"9,008,822"
7.56,"8,375,180",8375180.0,"8,375,180"
"57,318,766","16,136,633",16136633.0,"16,136,633"
"568,322,073","13,888,900",13888900.0,"13,888,900"
23.52,"6,238,378",6238378.0,"6,238,378"
9.78,"6,461,790",6461790.0,"6,461,790"
3.36,"5,189,391",5189391.0,"5,189,391"
17.91,"8,042,499",8042499.0,"8,042,499"
7.18,"121,306,296",121306296.0,"121,306,296"
"316,732,986","11,301,520",11301520.0,"11,301,520"
"1,737,586,657","4,540,000",4540000.0,"4,540,000"
3.64,"3,584,553",3584553.0,"3,584,553"
35.24,"210,563,743",210563743.0,"210,563,743"
10.71,"5,820,402",5820402.0,"5,820,402"
6.76,"56,018,731",56018731.0,"56,018,731"
14.63,"4,176,440",4176440.0,"4,176,440"
8.38,"4,452,513",4452513.0,"4,452,513"
"56,109,613","5,926,970",5926970.0,"5,926,970"
"101,475,796","5,721,590",5721590.0,"5,721,590"
807.49,"4,864,178",4864178.0,"4,864,178"
21.69,"2,549,778",2549778.0,"2,549,778"
9.45,"2,431,371",2431371.0,"2,431,371"
209.25,"8,951,132",8951132.0,"8,951,132"
28.21,"17,158,962",17158962.0,"17,158,962"
"13,165,586","2,495,860",2495860.0,"2,495,860"
"55,902,990","16,483,836",16483836.0,"16,483,836"
2.61,"8,593,220",8593220.0,"8,593,220"
215.01,"3,837,994",3837994.0,"3,837,994"
3.63,"7,778,203",7778203.0,"7,778,203"
249.53,"25,901,607",25901607.0,"25,901,607"
12.01,"13,312,033",13312033.0,"13,312,033"
203.94,"2,133,691",2133691.0,"2,133,691"
"18,732,563","64,223,085",64223085.0,"64,223,085"
"110,298,923","4,752,777",4752777.0,"4,752,777"
143.12,"11,662,200",11662200.0,"11,662,200"
10.65,"7,435,887",7435887.0,"7,435,887"
5.77,"4,009,330",4009330.0,"4,009,330"
369.66,"5,141,555",5141555.0,"5,141,555"
2.80,"6,945,000",6945000.0,"6,945,000"
"47,597,000","9,789,240",9789240.0,"9,789,240"
"7,337,290","15,365,580",15365580.0,"15,365,580"
"16,635,991","35,938,000",35938000.0,"35,938,000"
61.4,"6,630,617",6630617.0,"6,630,617"
43.06,"6,393,680",6393680.0,"6,393,680"
3.13,"14,175,780",14175780.0,"14,175,780"
1.56,"57,670,541",57670541.0,"57,670,541"
8.50,"109,248,030",109248030.0,"109,248,030"
18.98,"2,210,636",2210636.0,"2,210,636"
12.83,"3,999,023",3999023.0,"3,999,023"
"24,484,879","5,158,786",5158786.0,"5,158,786"
"41,205,930","1,825,546",1825546.0,"1,825,546"
"53,500,970","2,212,606",2212606.0,"2,212,606"
316.1,"20,150,800",20150800.0,"20,150,800"
17.8,"40,813,930",40813930.0,"40,813,930"
15.98,"4,459,170",4459170.0,"4,459,170"
7.20,"11,761,268",11761268.0,"11,761,268"
8.47,"4,897,950",4897950.0,"4,897,950"
2.16,"3,871,782",3871782.0,"3,871,782"
"9,015,211","4,838,407",4838407.0,"4,838,407"
"43,207,400","10,019,903",10019903.0,"10,019,903"
40.9,"2,120,071,949",2120071949.0,"2,120,071,949"
5.18,"5,639,335",5639335.0,"5,639,335"
30.01,"3,500,000",3500000.0,"3,500,000"
107.40,"7,294,549",7294549.0,"7,294,549"
34.64,"3,686,617",3686617.0,"3,686,617"
73.76,"23,803,000",23803000.0,"23,803,000"
"9,034,926","2,610,700",2610700.0,"2,610,700"
"14,333,126","107,860,442",107860442.0,"107,860,442"
64.4,"12,571,314",12571314.0,"12,571,314"
24.31,"5,764,870",5764870.0,"5,764,870"
5.45,"2,176,136",2176136.0,"2,176,136"
10.11,"74,065,413",74065413.0,"74,065,413"
7.07,"1,531,358",1531358.0,"1,531,358"
12.47,"3,320,479",3320479.0,"3,320,479"
80.32,"1,880,460",1880460.0,"1,880,460"
"12,158,046","3,061,854",3061854.0,"3,061,854"
"22,700,000","9,187,050",9187050.0,"9,187,050"
7.3,"2,266,155",2266155.0,"2,266,155"
8.62,"3,864,176",3864176.0,"3,864,176"
1.43,"11,527,860",11527860.0,"11,527,860"
144.86,"8,730,000",8730000.0,"8,730,000"
1.86,"2,851,840",2851840.0,"2,851,840"
1.89,"6,890,000",6890000.0,"6,890,000"
8.35,"5,465,756",5465756.0,"5,465,756"
"11,387,156","3,785,340",3785340.0,"3,785,340"
"271,481,287","1,721,315",1721315.0,"1,721,315"
"9,155,241","79,302,201",79302201.0,"79,302,201"
28.7,"3,031,099",3031099.0,"3,031,099"
14.54,"15,880,745",15880745.0,"15,880,745"
5.62,"1,629,099",1629099.0,"1,629,099"
3.77,"7,664,825",7664825.0,"7,664,825"
20.56,"2,683,264",2683264.0,"2,683,264"
26.85,"10,049,610",10049610.0,"10,049,610"
13.04,"1,603,990",1603990.0,"1,603,990"
"21,455,864","26,894,501",26894501.0,"26,894,501"
"35,348,422","2,512,300",2512300.0,"2,512,300"
43.7,"1,612,837",1612837.0,"1,612,837"
3.23,"2,906,133",2906133.0,"2,906,133"
35.34,"6,709,720",6709720.0,"6,709,720"
15.84,"8,466,121",8466121.0,"8,466,121"
3.05,"2,124,763",2124763.0,"2,124,763"
"7,234,981","6,689,503",6689503.0,"6,689,503"
"6,700,000","1,830,610",1830610.0,"1,830,610"
36.1,"9,923,965",9923965.0,"9,923,965"
67.91,"3,332,661",3332661.0,"3,332,661"
37.92,"24,721,755",24721755.0,"24,721,755"
13.85,"16,006,537",16006537.0,"16,006,537"
12.64,"3,230,000",3230000.0,"3,230,000"
5.21,"8,873,180",8873180.0,"8,873,180"
1.47,"28,004,684",28004684.0,"28,004,684"
13.62,"5,743,440",5743440.0,"5,743,440"
"14,338,668","3,729,920",3729920.0,"3,729,920"
"6,851,839","7,638,731",7638731.0,"7,638,731"
"8,808,633","6,013,000",6013000.0,"6,013,000"
6.7,"3,597,000",3597000.0,"3,597,000"
30.07,"4,892,000",4892000.0,"4,892,000"
79.68,"17,575,388",17575388.0,"17,575,388"
13.45,"2,196,424",2196424.0,"2,196,424"
1.70,"6,844,818",6844818.0,"6,844,818"
14.73,"6,624,660",6624660.0,"6,624,660"
1.93,"221,393,889",221393889.0,"221,393,889"
6.56,"1,671,984",1671984.0,"1,671,984"
21.85,"22,137,000",22137000.0,"22,137,000"
"11,583,215","15,486,451",15486451.0,"15,486,451"
"30,886,935","2,016,300",2016300.0,"2,016,300"
"148,227,430","2,996,770",2996770.0,"2,996,770"
"7,065,436","1,715,334",1715334.0,"1,715,334"
13.5,"5,639,953",5639953.0,"5,639,953"
26.25,"12,789,098",12789098.0,"12,789,098"
32.98,"43,812,068",43812068.0,"43,812,068"
