00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
"99,803 million usd","94,680 million usd",99803000000.0
"20,783 million usd","72,738 million usd",72738000000.0
"9,752 million usd","105,380 million usd",105380000000.0
"89,795 million usd","76,003 million usd",76003000000.0
"39,370 million usd","33,364 million usd",33364000000.0
"5,519 million usd","5,519 million usd",5519000000.0
"33,364 million usd","39,370 million usd",39370000000.0
"76,003 million usd","89,795 million usd",89795000000.0
"105,380 million usd","9,752 million usd",9752000000.0
"72,738 million usd","20,783 million usd",20783000000.0
"13,673 million usd","35,320 million usd",35320000000.0
"30,550 million usd","46,500 million usd",46500000000.0
"13,264 million usd","12,310 million usd",12310000000.0
"16,433 million usd","20,870 million usd",20870000000.0
"17,280 million usd","32,180 million usd",32180000000.0
"32,180 million usd","17,280 million usd",17280000000.0
"20,870 million usd","16,433 million usd",16433000000.0
"12,310 million usd","13,264 million usd",13264000000.0
"46,500 million usd","30,550 million usd",30550000000.0
"35,320 million usd","13,673 million usd",13673000000.0
"14,461 million usd","14,461 million usd",14461000000.0
"1,990 million usd","7,634 million usd",7634000000.0
"23,040 million usd","17,970 million usd",17970000000.0
"6,760 million usd","8,680 million usd",8680000000.0
"21,980 million usd","14,808 million usd",14808000000.0
"9,016 million usd","9,016 million usd",9016000000.0
"14,808 million usd","21,980 million usd",21980000000.0
"8,680 million usd","6,760 million usd",6760000000.0
"17,970 million usd","23,040 million usd",23040000000.0
"7,634 million usd","1,990 million usd",1990000000.0
"4,822 million usd","20,797 million usd",20797000000.0
"5,581 million usd","9,771 million usd",9771000000.0
"6,046 million usd","11,812 million usd",11812000000.0
"5,066 million usd","6,437 million usd",6437000000.0
"51,206 million usd","18,733 million usd",18733000000.0
"18,733 million usd","51,206 million usd",51206000000.0
"6,437 million usd","5,066 million usd",5066000000.0
"11,812 million usd","6,046 million usd",6046000000.0
"9,771 million usd","5,581 million usd",5581000000.0
"20,797 million usd","4,822 million usd",4822000000.0
"6,717 million usd","15,620 million usd",15620000000.0
"5,906 million usd","7,610 million usd",7610000000.0
"5,007 million usd","7,071 million usd",7071000000.0
"11,542 million usd","5,116 million usd",5116000000.0
"7,725 million usd",,
,"7,725 million usd",7725000000.0
"5,116 million usd","11,542 million usd",11542000000.0
"7,071 million usd","5,007 million usd",5007000000.0
"7,610 million usd","5,906 million usd",5906000000.0
"15,620 million usd","6,717 million usd",6717000000.0
"7,068 million usd","7,068 million usd",7068000000.0
"13,040 million usd","14,160 million usd",14160000000.0
"7,465 million usd","22,060 million usd",22060000000.0
"19,860 million usd","1,444 million usd",1444000000.0
"21,548 million usd","7,598 million usd",7598000000.0
"4,169 million usd","4,169 million usd",4169000000.0
"7,598 million usd","21,548 million usd",21548000000.0
"1,444 million usd","19,860 million usd",19860000000.0
"22,060 million usd","7,465 million usd",7465000000.0
"14,160 million usd","13,040 million usd",13040000000.0
"44,469 million usd","9,040 million usd",9040000000.0
"14,566 million usd","24,021 million usd",24021000000.0
"19,870 million usd","17,790 million usd",17790000000.0
"12,890 million usd","7,545 million usd",7545000000.0
"4,797 million usd","2,318 million usd",2318000000.0
"2,318 million usd","4,797 million usd",4797000000.0
"7,545 million usd","12,890 million usd",12890000000.0
"17,790 million usd","19,870 million usd",19870000000.0
"24,021 million usd","14,566 million usd",14566000000.0
"9,040 million usd","44,469 million usd",44469000000.0
"5,855 million usd","-21,680 million usd",-21680000000.0
112 million usd,112 million usd,112000000.0
"-21,680 million usd","5,855 million usd",5855000000.0
"21,391 million usd","2,695 million usd",2695000000.0
"6,523 million usd","3,826 million usd",3826000000.0
"7,769 million usd","3,573 million usd",3573000000.0
"8,409 million usd","8,409 million usd",8409000000.0
"3,573 million usd","7,769 million usd",7769000000.0
"3,826 million usd","6,523 million usd",6523000000.0
"2,695 million usd","21,391 million usd",21391000000.0
"5,542 million usd","5,791 million usd",5791000000.0
"15,964 million usd","35,097 million usd",35097000000.0
"9,109 million usd","2,066 million usd",2066000000.0
"6,437 million usd","-3,698 million usd",-3698000000.0
"3,162 million usd","12,230 million usd",12230000000.0
"12,230 million usd","3,162 million usd",3162000000.0
"-3,698 million usd","6,437 million usd",6437000000.0
"2,066 million usd","9,109 million usd",9109000000.0
"35,097 million usd","15,964 million usd",15964000000.0
"5,791 million usd","5,542 million usd",5542000000.0
"7,910 million usd","10,803 million usd",10803000000.0
"16,032 million usd","13,413 million usd",13413000000.0
"6,788 million usd","5,450 million usd",5450000000.0
"6,994 million usd","2,914 million usd",2914000000.0
"5,038 million usd","2,214 million usd",2214000000.0
"2,214 million usd","5,038 million usd",5038000000.0
"2,914 million usd","6,994 million usd",6994000000.0
"5,450 million usd","6,788 million usd",6788000000.0
"13,413 million usd","16,032 million usd",16032000000.0
"10,803 million usd","7,910 million usd",7910000000.0
"6,666 million usd","6,666 million usd",6666000000.0
"12,607 million usd","3,024 million usd",3024000000.0
"5,888 million usd","33,270 million usd",33270000000.0
"14,839 million usd","5,901 million usd",5901000000.0
"8,060 million usd",,
"3,864 million usd","3,864 million usd",3864000000.0
,"8,060 million usd",8060000000.0
"5,901 million usd","14,839 million usd",14839000000.0
"33,270 million usd","5,888 million usd",5888000000.0
"3,024 million usd","12,607 million usd",12607000000.0
"4,199 million usd","21,635 million usd",21635000000.0
"6,858 million usd","3,402 million usd",3402000000.0
"-4,202 million usd","20,758 million usd",20758000000.0
"2,390 million usd","18,247 million usd",18247000000.0
,"5,893 million usd",5893000000.0
"5,893 million usd",,
"18,247 million usd","2,390 million usd",2390000000.0
"20,758 million usd","-4,202 million usd",-4202000000.0
"3,402 million usd","6,858 million usd",6858000000.0
"21,635 million usd","4,199 million usd",4199000000.0
"4,825 million usd","7,456 million usd",7456000000.0
"1,704 million usd","7,427 million usd",7427000000.0
"5,963 million usd","3,827 million usd",3827000000.0
"21,094 million usd","2,567 million usd",2567000000.0
"5,743 million usd","6,489 million usd",6489000000.0
"6,489 million usd","5,743 million usd",5743000000.0
"2,567 million usd","21,094 million usd",21094000000.0
"3,827 million usd","5,963 million usd",5963000000.0
"7,427 million usd","1,704 million usd",1704000000.0
"7,456 million usd","4,825 million usd",4825000000.0
"3,024 million usd","2,939 million usd",2939000000.0
