08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
"365,820 million usd","70,765 million usd","394,330 million usd","365,820 million usd",394330000000.0
"55,306 million usd","92,575 million usd","55,306 million usd","198,270 million usd",198270000000.0
"198,270 million usd","66,757 million usd","26,914 million usd","400,460 million usd",400460000000.0
"26,914 million usd","20,509 million usd","354,640 million usd","257,640 million usd",257640000000.0
"469,820 million usd","6,866 million usd","117,930 million usd","469,820 million usd",469820000000.0
"400,460 million usd","35,580 million usd","53,823 million usd","53,823 million usd",53823000000.0
"354,640 million usd","50,533 million usd","469,820 million usd","117,930 million usd",117930000000.0
"257,640 million usd","20,838 million usd","257,640 million usd","354,640 million usd",354640000000.0
"53,823 million usd","52,877 million usd","400,460 million usd","26,914 million usd",26914000000.0
"117,930 million usd","180,640 million usd","198,270 million usd","55,306 million usd",55306000000.0
"229,280 million usd","37,417 million usd","572,750 million usd","87,995 million usd",87995000000.0
"572,750 million usd","9,898 million usd","89,110 million usd","121,640 million usd",121640000000.0
"151,160 million usd","30,793 million usd","70,765 million usd","24,100 million usd",24100000000.0
"70,765 million usd","30,682 million usd","151,160 million usd","93,770 million usd",93770000000.0
"285,270 million usd","70,765 million usd","285,270 million usd","229,280 million usd",229280000000.0
"93,770 million usd","31,677 million usd","229,280 million usd","285,270 million usd",285270000000.0
"121,640 million usd","68,616 million usd","93,770 million usd","151,160 million usd",151160000000.0
"89,110 million usd","184,630 million usd","24,100 million usd","70,765 million usd",70765000000.0
"24,100 million usd","57,793 million usd","121,640 million usd","89,110 million usd",89110000000.0
"87,995 million usd","250,120 million usd","87,995 million usd","572,750 million usd",572750000000.0
"81,288 million usd","63,644 million usd","80,187 million usd","80,187 million usd",80187000000.0
"18,880 million usd","43,171 million usd","67,410 million usd","15,929 million usd",15929000000.0
"124,140 million usd","18,200 million usd","285,640 million usd","92,575 million usd",92575000000.0
"15,929 million usd","63,495 million usd","20,509 million usd","18,880 million usd",18880000000.0
"66,757 million usd","44,655 million usd","81,288 million usd","66,757 million usd",66757000000.0
"20,509 million usd","54,304 million usd","124,140 million usd","124,140 million usd",124140000000.0
"92,575 million usd","168,300 million usd","66,757 million usd","81,288 million usd",81288000000.0
"80,187 million usd","31,853 million usd","18,880 million usd","20,509 million usd",20509000000.0
"67,410 million usd","57,468 million usd","92,575 million usd","285,640 million usd",285640000000.0
"285,640 million usd","114,040 million usd","15,929 million usd","67,410 million usd",67410000000.0
"27,450 million usd","21,695 million usd","15,785 million usd","228,980 million usd",228980000000.0
"35,580 million usd","19,445 million usd","28,318 million usd","38,655 million usd",38655000000.0
"15,785 million usd","27,708 million usd","46,710 million usd","51,557 million usd",51557000000.0
"38,655 million usd","157,740 million usd","35,580 million usd","27,450 million usd",27450000000.0
"6,866 million usd","119,890 million usd","138,160 million usd","6,866 million usd",6866000000.0
"138,160 million usd",0 million usd,"6,866 million usd","138,160 million usd",138160000000.0
"28,318 million usd","88,744 million usd","27,450 million usd","35,580 million usd",35580000000.0
"51,557 million usd","33,620 million usd","51,557 million usd","46,710 million usd",46710000000.0
"228,980 million usd","203,830 million usd","38,655 million usd","28,318 million usd",28318000000.0
"46,710 million usd","21,842 million usd","228,980 million usd","15,785 million usd",15785000000.0
"29,697 million usd","40,963 million usd","42,440 million usd","155,600 million usd",155600000000.0
"42,440 million usd","7,774 million usd","50,533 million usd","79,470 million usd",79470000000.0
"39,211 million usd","19,915 million usd","195,920 million usd","43,075 million usd",43075000000.0
"43,075 million usd","25,714 million usd","56,197 million usd","29,697 million usd",29697000000.0
"103,000 million usd",0 million usd,"39,211 million usd","103,000 million usd",103000000000.0
"79,470 million usd","19,833 million usd","103,000 million usd","39,211 million usd",39211000000.0
"50,533 million usd","94,862 million usd","29,697 million usd","56,197 million usd",56197000000.0
"155,600 million usd","90,085 million usd","43,075 million usd","195,920 million usd",195920000000.0
"195,920 million usd","11,646 million usd","79,470 million usd","50,533 million usd",50533000000.0
"56,197 million usd","5,459 million usd","155,600 million usd","42,440 million usd",42440000000.0
"20,838 million usd","28,945 million usd","20,838 million usd","20,838 million usd",20838000000.0
"29,453 million usd","78,849 million usd","48,700 million usd","116,380 million usd",116380000000.0
"116,380 million usd","6,606 million usd","29,453 million usd","133,610 million usd",133610000000.0
"78,492 million usd","111,660 million usd","79,020 million usd","26,492 million usd",26492000000.0
"48,700 million usd","43,104 million usd","78,492 million usd","87,614 million usd",87614000000.0
"87,614 million usd","5,356 million usd","25,371 million usd","25,371 million usd",25371000000.0
"25,371 million usd","203,750 million usd","87,614 million usd","78,492 million usd",78492000000.0
"133,610 million usd","111,210 million usd","26,492 million usd","79,020 million usd",79020000000.0
"26,492 million usd","10,411 million usd","133,610 million usd","29,453 million usd",29453000000.0
"79,020 million usd","86,615 million usd","116,380 million usd","48,700 million usd",48700000000.0
"18,970 million usd","61,787 million usd","120,930 million usd","33,560 million usd",33560000000.0
"48,553 million usd","65,801 million usd","56,414 million usd","52,877 million usd",52877000000.0
"97,287 million usd","19,628 million usd","168,860 million usd","48,553 million usd",48553000000.0
"52,877 million usd",0 million usd,"97,287 million usd","23,222 million usd",23222000000.0
"23,222 million usd","164,660 million usd","24,002 million usd","18,970 million usd",18970000000.0
"120,930 million usd","4,706 million usd","18,970 million usd","24,002 million usd",24002000000.0
"56,414 million usd","17,323 million usd","23,222 million usd","97,287 million usd",97287000000.0
"24,002 million usd",0 million usd,"48,553 million usd","168,860 million usd",168860000000.0
"33,560 million usd","39,083 million usd","52,877 million usd","56,414 million usd",56414000000.0
"168,860 million usd","55,080 million usd","33,560 million usd","120,930 million usd",120930000000.0
"45,066 million usd","8,821 million usd","18,996 million usd","180,640 million usd",180640000000.0
"18,996 million usd","41,554 million usd","37,417 million usd","37,417 million usd",37417000000.0
"30,793 million usd","12,188 million usd","180,640 million usd","18,996 million usd",18996000000.0
"37,417 million usd","110,010 million usd","45,066 million usd","9,898 million usd",9898000000.0
