02-GioPonSpiz-country,07-silvestri-country,08-slytherin-country,00-avengers-headquarters_country,03-gren-headquarters_country,04-iGMM-headquarters_country
usa,france,usa,usa,usa,usa
usa,switzerland,taiwan,taiwan,usa,usa
saudi arabia,switzerland,usa,usa,saudi arabia,saudi arabia
usa,netherlands,usa,usa,usa,usa
usa,netherlands,usa,usa,usa,usa
usa,france,saudi arabia,usa,usa,usa
usa,ireland,usa,usa,usa,usa
usa,denmark,usa,usa,usa,usa
usa,switzerland,usa,saudi arabia,usa,usa
taiwan,netherlands,usa,usa,taiwan,taiwan
japan,uk,south korea,usa,china,china
usa,france,usa,usa,usa,usa
usa,uk,usa,france,usa,usa
usa,germany,france,usa,usa,usa
netherlands,france,usa,usa,south korea,south korea
china,ireland,usa,south korea,usa,usa
france,germany,usa,usa,usa,usa
usa,france,usa,usa,france,france
usa,netherlands,usa,usa,usa,usa
usa,germany,china,china,usa,usa
china,uk,usa,usa,usa,usa
usa,france,usa,usa,china,china
usa,uk,china,usa,switzerland,switzerland
usa,uk,china,netherlands,usa,usa
south korea,uk,switzerland,usa,switzerland,switzerland
usa,belgium,netherlands,china,china,china
usa,russia,switzerland,switzerland,usa,usa
france,france,usa,usa,netherlands,netherlands
usa,netherlands,usa,switzerland,usa,usa
usa,germany,usa,china,usa,usa
usa,germany,usa,usa,japan,japan
china,france,france,usa,usa,usa
switzerland,spain,usa,usa,usa,usa
usa,uk,usa,france,usa,usa
switzerland,germany,netherlands,china,netherlands,netherlands
china,france,china,netherlands,china,china
usa,norway,usa,usa,france,france
netherlands,uk,usa,usa,usa,usa
usa,germany,japan,usa,usa,usa
usa,france,usa,japan,usa,usa
usa,switzerland,usa,usa,usa,usa
switzerland,switzerland,usa,ireland,usa,usa
china,switzerland,usa,usa,usa,usa
usa,france,usa,usa,usa,usa
china,russia,india,usa,india,india
india,germany,usa,india,usa,usa
usa,italy,ireland,usa,usa,usa
usa,germany,usa,usa,usa,usa
usa,sweden,usa,usa,ireland,ireland
china,sweden,usa,usa,usa,usa
netherlands,switzerland,denmark,denmark,denmark,denmark
uk,russia,usa,usa,usa,usa
usa,netherlands,usa,usa,usa,usa
france,france,usa,usa,usa,usa
uk,spain,usa,usa,india,india
usa,france,india,usa,usa,usa
usa,switzerland,usa,india,usa,usa
usa,germany,usa,usa,usa,usa
usa,russia,usa,usa,usa,usa
australia,germany,usa,usa,usa,usa
usa,denmark,china,china,usa,usa
usa,switzerland,china,usa,switzerland,switzerland
usa,ireland,usa,usa,china,china
usa,switzerland,switzerland,usa,usa,usa
india,netherlands,usa,india,china,china
usa,italy,china,china,india,india
usa,uk,usa,usa,usa,usa
usa,spain,india,china,usa,usa
ireland,sweden,usa,switzerland,usa,usa
usa,france,usa,usa,china,china
germany,france,australia,usa,netherlands,netherlands
canada,uk,usa,uk,uk,uk
china,germany,uk,netherlands,usa,usa
france,russia,uk,australia,france,france
china,netherlands,france,usa,uk ireland,uk
usa,uk,usa,usa,usa,usa
china,switzerland,netherlands,usa,usa,usa
canada,netherlands,usa,usa,usa,usa
usa,germany,usa,"['uk', 'ireland']",usa,usa
japan,austria,usa,france,australia,australia
usa,switzerland,china,usa,germany,germany
china,russia,japan,china,china,china
usa,germany,usa,usa,usa,usa
canada,germany,usa,japan,china,china
japan,france,china,usa,canada,canada
ireland,italy,canada,canada,usa,usa
usa,uk,usa,china,japan,japan
germany,denmark,china,usa,usa,usa
france,uk,germany,china,china,china
usa,switzerland,usa,germany,usa,usa
denmark,italy,canada,usa,canada,canada
usa,germany,japan,france,china,china
usa,uk,china,germany,france,france
usa,uk,france,usa,canada,canada
