07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
237.807 billion usd,"1,323.000 billion usd"
311.592 billion usd,"1,215.000 billion usd"
279.684 billion usd,"1,898.100 billion usd"
127.542 billion usd,943.897 billion usd
125.912 billion usd,941.028 billion usd
165.742 billion usd,80.030 billion usd
134.171 billion usd,598.240 billion usd
137.602 billion usd,555.390 billion usd
215.018 billion usd,145.968 billion usd
237.102 billion usd,293.315 billion usd
135.300 billion usd,478.594 billion usd
78.337 billion usd,438.072 billion usd
114.005 billion usd,421.515 billion usd
169.596 billion usd,383.148 billion usd
93.276 billion usd,320.010 billion usd
153.912 billion usd,275.376 billion usd
108.756 billion usd,239.612 billion usd
144.694 billion usd,237.807 billion usd
151.747 billion usd,317.977 billion usd
111.302 billion usd,337.454 billion usd
160.680 billion usd,307.761 billion usd
127.049 billion usd,190.820 billion usd
103.621 billion usd,311.592 billion usd
115.285 billion usd,303.919 billion usd
116.685 billion usd,279.684 billion usd
163.224 billion usd,591.594 billion usd
93.956 billion usd,215.483 billion usd
57.457 billion usd,127.542 billion usd
117.260 billion usd,298.484 billion usd
105.918 billion usd,267.116 billion usd
52.675 billion usd,203.342 billion usd
84.010 billion usd,235.604 billion usd
110.958 billion usd,204.498 billion usd
128.560 billion usd,127.202 billion usd
78.317 billion usd,125.912 billion usd
74.764 billion usd,301.266 billion usd
67.450 billion usd,165.742 billion usd
100.584 billion usd,159.997 billion usd
61.298 billion usd,128.184 billion usd
66.781 billion usd,160.795 billion usd
70.056 billion usd,228.682 billion usd
14.536 billion usd,189.387 billion usd
45.102 billion usd,151.937 billion usd
70.861 billion usd,144.540 billion usd
90.327 billion usd,
47.672 billion usd,132.528 billion usd
82.055 billion usd,131.674 billion usd
47.723 billion usd,131.405 billion usd
49.329 billion usd,134.171 billion usd
43.995 billion usd,171.834 billion usd
53.280 billion usd,137.602 billion usd
77.998 billion usd,206.399 billion usd
24.983 billion usd,252.489 billion usd
68.457 billion usd,146.823 billion usd
63.052 billion usd,136.372 billion usd
42.904 billion usd,129.513 billion usd
42.021 billion usd,227.138 billion usd
54.028 billion usd,263.806 billion usd
61.322 billion usd,108.447 billion usd
70.793 billion usd,231.557 billion usd
28.030 billion usd,102.714 billion usd
62.111 billion usd,215.018 billion usd
39.310 billion usd,140.140 billion usd
46.416 billion usd,156.859 billion usd
,33.243 billion usd
42.029 billion usd,113.358 billion usd
57.941 billion usd,101.563 billion usd
71.788 billion usd,283.872 billion usd
35.336 billion usd,83.870 billion usd
64.245 billion usd,222.690 billion usd
47.441 billion usd,237.102 billion usd
39.779 billion usd,135.300 billion usd
29.405 billion usd,62.461 billion usd
66.226 billion usd,78.337 billion usd
35.769 billion usd,114.005 billion usd
48.354 billion usd,119.504 billion usd
27.306 billion usd,93.561 billion usd
47.989 billion usd,126.271 billion usd
15.139 billion usd,127.161 billion usd
17.611 billion usd,141.256 billion usd
26.539 billion usd,169.596 billion usd
,186.290 billion usd
64.440 billion usd,69.114 billion usd
78.085 billion usd,78.824 billion usd
65.788 billion usd,113.454 billion usd
46.651 billion usd,55.856 billion usd
35.743 billion usd,100.028 billion usd
26.448 billion usd,135.352 billion usd
43.268 billion usd,226.850 billion usd
32.389 billion usd,128.435 billion usd
56.976 billion usd,101.861 billion usd
8.123 billion usd,148.070 billion usd
58.757 billion usd,93.276 billion usd
30.142 billion usd,46.911 billion usd
34.476 billion usd,85.882 billion usd
50.487 billion usd,153.912 billion usd
11.604 billion usd,151.906 billion usd
,108.756 billion usd
42.108 billion usd,144.694 billion usd
13.982 billion usd,98.693 billion usd
49.697 billion usd,151.747 billion usd
43.383 billion usd,68.370 billion usd
42.590 billion usd,150.540 billion usd
29.034 billion usd,79.268 billion usd
24.587 billion usd,
24.827 billion usd,131.131 billion usd
,103.420 billion usd
42.927 billion usd,111.302 billion usd
51.930 billion usd,57.107 billion usd
26.472 billion usd,160.680 billion usd
30.293 billion usd,101.978 billion usd
29.359 billion usd,70.607 billion usd
38.366 billion usd,178.415 billion usd
40.778 billion usd,172.898 billion usd
32.175 billion usd,143.789 billion usd
53.720 billion usd,
21.601 billion usd,74.721 billion usd
24.318 billion usd,186.878 billion usd
27.556 billion usd,127.049 billion usd
27.033 billion usd,107.012 billion usd
20.904 billion usd,99.259 billion usd
15.435 billion usd,131.852 billion usd
22.564 billion usd,103.621 billion usd
20.269 billion usd,102.343 billion usd
20.313 billion usd,82.898 billion usd
31.905 billion usd,119.942 billion usd
39.388 billion usd,115.285 billion usd
30.747 billion usd,55.320 billion usd
23.047 billion usd,68.352 billion usd
34.932 billion usd,98.686 billion usd
33.917 billion usd,56.233 billion usd
14.376 billion usd,54.609 billion usd
29.967 billion usd,103.411 billion usd
39.782 billion usd,64.858 billion usd
42.232 billion usd,116.685 billion usd
33.729 billion usd,128.050 billion usd
22.288 billion usd,163.224 billion usd
25.713 billion usd,105.335 billion usd
27.665 billion usd,93.956 billion usd
24.333 billion usd,67.315 billion usd
26.318 billion usd,57.457 billion usd
