07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_07_2022,02-GioPonSpiz-marketvalue
409.480 billion usd,"2,825.000 billion usd","2,825.000 billion usd"
372.720 billion usd,"2,358.000 billion usd","2,358.000 billion usd"
356.150 billion usd,"1,889.600 billion usd","1,889.600 billion usd"
307.330 billion usd,"1,820.000 billion usd","1,820.000 billion usd"
254.550 billion usd,"1,649.000 billion usd","1,649.000 billion usd"
249.140 billion usd,"1,031.000 billion usd","1,031.000 billion usd"
234.500 billion usd,922.960 billion usd,922.960 billion usd
231.350 billion usd,711.750 billion usd,711.750 billion usd
201.260 billion usd,679.000 billion usd,679.000 billion usd
181.560 billion usd,640.480 billion usd,640.480 billion usd
178.120 billion usd,545.360 billion usd,276.740 billion usd
172.040 billion usd,494.000 billion usd,260.590 billion usd
171.940 billion usd,471.630 billion usd,257.820 billion usd
162.540 billion usd,457.940 billion usd,255.630 billion usd
143.380 billion usd,438.840 billion usd,254.550 billion usd
141.390 billion usd,431.930 billion usd,252.550 billion usd
138.710 billion usd,411.020 billion usd,249.140 billion usd
138.010 billion usd,409.480 billion usd,248.460 billion usd
137.220 billion usd,402.490 billion usd,248.240 billion usd
134.250 billion usd,401.910 billion usd,242.990 billion usd
132.940 billion usd,393.820 billion usd,545.360 billion usd
126.370 billion usd,382.350 billion usd,494.000 billion usd
123.290 billion usd,372.720 billion usd,471.630 billion usd
116.980 billion usd,363.200 billion usd,457.940 billion usd
110.320 billion usd,356.150 billion usd,438.840 billion usd
109.500 billion usd,351.900 billion usd,431.930 billion usd
108.150 billion usd,312.750 billion usd,411.020 billion usd
107.120 billion usd,307.330 billion usd,409.480 billion usd
105.090 billion usd,291.610 billion usd,402.490 billion usd
103.280 billion usd,286.880 billion usd,401.910 billion usd
102.500 billion usd,276.740 billion usd,393.820 billion usd
101.130 billion usd,260.590 billion usd,382.350 billion usd
98.655 billion usd,257.820 billion usd,372.720 billion usd
97.619 billion usd,255.630 billion usd,363.200 billion usd
92.028 billion usd,254.550 billion usd,356.150 billion usd
