03-gren-market_capitalization_2022,02-GioPonSpiz-marketcap
2825000000000.0,"2,510.000 billion usd"
2358000000000.0,"2,269.000 billion usd"
1889600000000.0,"1,891.600 billion usd"
1820000000000.0,"1,934.000 billion usd"
1649000000000.0,"1,758.000 billion usd"
1031000000000.0,737.020 billion usd
922960000000.0,"1,070.000 billion usd"
711750000000.0,646.790 billion usd
679000000000.0,557.830 billion usd
640480000000.0,617.200 billion usd
545360000000.0,244.750 billion usd
494000000000.0,243.070 billion usd
471630000000.0,248.720 billion usd
457940000000.0,203.990 billion usd
438840000000.0,283.050 billion usd
431930000000.0,244.010 billion usd
411020000000.0,262.430 billion usd
409480000000.0,260.800 billion usd
402490000000.0,247.070 billion usd
401910000000.0,316.190 billion usd
393820000000.0,609.440 billion usd
382350000000.0,477.960 billion usd
372720000000.0,502.740 billion usd
363200000000.0,455.760 billion usd
356150000000.0,444.460 billion usd
351900000000.0,392.510 billion usd
312750000000.0,345.210 billion usd
307330000000.0,380.100 billion usd
291610000000.0,351.320 billion usd
286880000000.0,415.000 billion usd
276740000000.0,345.770 billion usd
260590000000.0,305.700 billion usd
257820000000.0,348.550 billion usd
255630000000.0,341.650 billion usd
254550000000.0,350.650 billion usd
252550000000.0,453.300 billion usd
249140000000.0,258.300 billion usd
248460000000.0,341.360 billion usd
248240000000.0,230.810 billion usd
242990000000.0,329.450 billion usd
241020000000.0,165.470 billion usd
240690000000.0,206.760 billion usd
239710000000.0,198.770 billion usd
239660000000.0,177.340 billion usd
,170.700 billion usd
239220000000.0,195.160 billion usd
238450000000.0,170.400 billion usd
237760000000.0,195.780 billion usd
234500000000.0,190.540 billion usd
233690000000.0,186.030 billion usd
231350000000.0,155.530 billion usd
228670000000.0,181.450 billion usd
227690000000.0,137.540 billion usd
224880000000.0,155.710 billion usd
220760000000.0,162.340 billion usd
220420000000.0,164.770 billion usd
218380000000.0,141.940 billion usd
217340000000.0,176.730 billion usd
211280000000.0,141.410 billion usd
202830000000.0,167.240 billion usd
202060000000.0,187.140 billion usd
201260000000.0,216.150 billion usd
199860000000.0,224.030 billion usd
199560000000.0,251.920 billion usd
197130000000.0,
193870000000.0,219.270 billion usd
189610000000.0,213.440 billion usd
187740000000.0,201.360 billion usd
186710000000.0,213.430 billion usd
182170000000.0,249.740 billion usd
181560000000.0,178.440 billion usd
178120000000.0,118.220 billion usd
173440000000.0,128.700 billion usd
172040000000.0,139.230 billion usd
171940000000.0,160.550 billion usd
169550000000.0,154.690 billion usd
169170000000.0,201.890 billion usd
165720000000.0,146.400 billion usd
163790000000.0,134.300 billion usd
162910000000.0,129.060 billion usd
162540000000.0,160.530 billion usd
160760000000.0,145.860 billion usd
160710000000.0,160.110 billion usd
160510000000.0,190.100 billion usd
159750000000.0,148.070 billion usd
159410000000.0,179.590 billion usd
156010000000.0,148.570 billion usd
154340000000.0,131.560 billion usd
150120000000.0,117.070 billion usd
148530000000.0,114.000 billion usd
144320000000.0,229.040 billion usd
143700000000.0,278.500 billion usd
143380000000.0,227.710 billion usd
143340000000.0,259.700 billion usd
142420000000.0,214.910 billion usd
141390000000.0,339.180 billion usd
139460000000.0,187.660 billion usd
138710000000.0,219.320 billion usd
138010000000.0,231.420 billion usd
137540000000.0,193.120 billion usd
137220000000.0,145.300 billion usd
137070000000.0,172.090 billion usd
135640000000.0,129.970 billion usd
135550000000.0,144.120 billion usd
,103
135370000000.0,127.810 billion usd
135070000000.0,131.840 billion usd
134250000000.0,147.140 billion usd
134000000000.0,122.010 billion usd
132940000000.0,108.530 billion usd
132600000000.0,139.390 billion usd
132390000000.0,120.940 billion usd
130530000000.0,145.750 billion usd
130510000000.0,127.770 billion usd
128030000000.0,128.070 billion usd
,113
127760000000.0,123.020 billion usd
126650000000.0,128.660 billion usd
126370000000.0,130.900 billion usd
126200000000.0,138.530 billion usd
125770000000.0,132.470 billion usd
125620000000.0,147.550 billion usd
123290000000.0,112.110 billion usd
121400000000.0,133.740 billion usd
121270000000.0,115.440 billion usd
120850000000.0,125.790 billion usd
116980000000.0,121.550 billion usd
116400000000.0,118.130 billion usd
115850000000.0,125.360 billion usd
114330000000.0,121.600 billion usd
113660000000.0,99.902 billion usd
112710000000.0,127.500 billion usd
111350000000.0,115.700 billion usd
110570000000.0,120.540 billion usd
110320000000.0,102.500 billion usd
109770000000.0,105.170 billion usd
109500000000.0,123.700 billion usd
109450000000.0,150.120 billion usd
108150000000.0,102.610 billion usd
107670000000.0,106.960 billion usd
107120000000.0,100.250 billion usd
,139
,
106360000000.0,74.359 billion usd
106000000000.0,122.680 billion usd
105800000000.0,82.968 billion usd
105580000000.0,91.462 billion usd
105510000000.0,97.433 billion usd
105090000000.0,108.800 billion usd
,145
,145
104350000000.0,181.990 billion usd
103700000000.0,112.680 billion usd
103280000000.0,97.559 billion usd
102720000000.0,101.040 billion usd
102500000000.0,103.430 billion usd
101570000000.0,98.171 billion usd
101260000000.0,97.019 billion usd
101130000000.0,101.460 billion usd
100640000000.0,88.441 billion usd
99972000000.0,94.424 billion usd
99872000000.0,97.222 billion usd
99429000000.0,104.490 billion usd
99322000000.0,100.260 billion usd
98655000000.0,106.260 billion usd
97668000000.0,52.052 billion usd
97619000000.0,83.106 billion usd
97072000000.0,104.100 billion usd
94931000000.0,81.675 billion usd
,163
94557000000.0,81.216 billion usd
94398000000.0,99.468 billion usd
94235000000.0,85.857 billion usd
94230000000.0,86.888 billion usd
92257000000.0,111.350 billion usd
92028000000.0,100.940 billion usd
91792000000.0,90.118 billion usd
91427000000.0,92.628 billion usd
,82.150 billion usd
,171
90457000000.0,81.165 billion usd
90451000000.0,85.088 billion usd
90407000000.0,71.149 billion usd
,174
90237000000.0,96.041 billion usd
89968000000.0,87.110 billion usd
89918000000.0,69.062 billion usd
89470000000.0,86.485 billion usd
89412000000.0,89.843 billion usd
89387000000.0,91.252 billion usd
89047000000.0,87.399 billion usd
88726000000.0,87.449 billion usd
88697000000.0,87.571 billion usd
87963000000.0,75.020 billion usd
87398000000.0,67.213 billion usd
87195000000.0,83.116 billion usd
86768000000.0,76.165 billion usd
86710000000.0,152.050 billion usd
86661000000.0,80.693 billion usd
85629000000.0,72.635 billion usd
85137000000.0,72.414 billion usd
84747000000.0,79.957 billion usd
,193
84500000000.0,62.283 billion usd
84264000000.0,84.795 billion usd
84163000000.0,84.373 billion usd
83756000000.0,101.810 billion usd
83196000000.0,73.339 billion usd
82928000000.0,89.938 billion usd
,200
82707000000.0,79.642 billion usd
,200
82219000000.0,79.749 billion usd
81219000000.0,111.870 billion usd
81178000000.0,78.575 billion usd
80879000000.0,72.445 billion usd
80534000000.0,73.753 billion usd
80396000000.0,80.519 billion usd
79842000000.0,73.057 billion usd
,
79770000000.0,93.913 billion usd
79132000000.0,73.135 billion usd
78971000000.0,67.612 billion usd
78838000000.0,70.953 billion usd
78472000000.0,86.161 billion usd
,
78443000000.0,80.990 billion usd
78380000000.0,81.730 billion usd
77722000000.0,74.987 billion usd
77328000000.0,76.632 billion usd
77282000000.0,71.984 billion usd
77256000000.0,73.343 billion usd
76763000000.0,92.469 billion usd
76356000000.0,73.042 billion usd
76085000000.0,89.838 billion usd
76220000000.0,"2,707"
76037000000.0,74.202 billion usd
75445000000.0,71.568 billion usd
75414000000.0,95.554 billion usd
75074000000.0,67.314 billion usd
74588000000.0,67.669 billion usd
73370000000.0,64.522 billion usd
73325000000.0,69.454 billion usd
73044000000.0,81.454 billion usd
72956000000.0,74.514 billion usd
72832000000.0,63.866 billion usd
72745000000.0,69.597 billion usd
72444000000.0,72.286 billion usd
72227000000.0,62.617 billion usd
72144000000.0,58.797 billion usd
72100000000.0,78.478 billion usd
71853000000.0,78.001 billion usd
71751000000.0,95.523 billion usd
71635000000.0,78.922 billion usd
71309000000.0,69.588 billion usd
71224000000.0,74.752 billion usd
71170000000.0,66.104 billion usd
70870000000.0,60.237 billion usd
70505000000.0,61.301 billion usd
70397000000.0,45.872 billion usd
,245
70128000000.0,50.396 billion usd
70059000000.0,125.350 billion usd
69949000000.0,70.724 billion usd
69777000000.0,76.000 billion usd
69387000000.0,73.220 billion usd
69229000000.0,70.899 billion usd
69115000000.0,32.308 billion usd
69038000000.0,69.046 billion usd
68991000000.0,70.978 billion usd
68834000000.0,53.954 billion usd
68812000000.0,68.487 billion usd
,256
68132000000.0,69.533 billion usd
68086000000.0,69.039 billion usd
67906000000.0,65.651 billion usd
67667000000.0,65.317 billion usd
66972000000.0,59.798 billion usd
66905000000.0,67.108 billion usd
66904000000.0,67.760 billion usd
66747000000.0,54.482 billion usd
66672000000.0,57.919 billion usd
66581000000.0,120.340 billion usd
66409000000.0,59.705 billion usd
66199000000.0,65.350 billion usd
66014000000.0,56.651 billion usd
65931000000.0,59.660 billion usd
65873000000.0,64.473 billion usd
65839000000.0,74.042 billion usd
65389000000.0,67.613 billion usd
65363000000.0,73.464 billion usd
65289000000.0,123.230 billion usd
65120000000.0,57.451 billion usd
,276
64993000000.0,57.673 billion usd
64963000000.0,62.933 billion usd
64927000000.0,72.417 billion usd
64800000000.0,62.339 billion usd
63805000000.0,56.388 billion usd
63571000000.0,69.203 billion usd
63350000000.0,52.812 billion usd
63213000000.0,51.924 billion usd
63001000000.0,58.872 billion usd
62961000000.0,53.761 billion usd
62573000000.0,62.400 billion usd
62560000000.0,67.744 billion usd
62482000000.0,60.359 billion usd
62411000000.0,56.793 billion usd
62404000000.0,68.936 billion usd
62305000000.0,64.758 billion usd
62297000000.0,54.780 billion usd
61948000000.0,63.560 billion usd
61500000000.0,53.423 billion usd
61025000000.0,63.883 billion usd
60847000000.0,67.832 billion usd
60845000000.0,56.225 billion usd
60651000000.0,63.458 billion usd
60061000000.0,56.418 billion usd
60006000000.0,64.287 billion usd
59860000000.0,72.144 billion usd
59386000000.0,57.498 billion usd
59352000000.0,55.947 billion usd
59246000000.0,55.821 billion usd
59235000000.0,63.618 billion usd
59220000000.0,55.995 billion usd
59068000000.0,10.700 billion usd
58859000000.0,60.355 billion usd
58772000000.0,53.704 billion usd
58743000000.0,58.323 billion usd
58447000000.0,82.097 billion usd
116670000000.0,47.650 billion usd
57887000000.0,71.546 billion usd
57703000000.0,68.224 billion usd
57618000000.0,61.909 billion usd
57484000000.0,60.181 billion usd
57432000000.0,39.422 billion usd
57142000000.0,59.710 billion usd
57029000000.0,69.093 billion usd
57002000000.0,63.068 billion usd
56576000000.0,53.128 billion usd
56406000000.0,51.961 billion usd
56401000000.0,51.060 billion usd
56183000000.0,53.954 billion usd
56145000000.0,54.345 billion usd
55995000000.0,40.048 billion usd
55942000000.0,51.764 billion usd
55832000000.0,53.395 billion usd
55655000000.0,55.886 billion usd
55652000000.0,39.058 billion usd
55641000000.0,38.474 billion usd
55610000000.0,50.743 billion usd
55412000000.0,47.933 billion usd
55251000000.0,46.998 billion usd
55209000000.0,52.007 billion usd
55050000000.0,50.500 billion usd
55002000000.0,61.343 billion usd
54854000000.0,57.960 billion usd
54843000000.0,69.940 billion usd
54824000000.0,49.209 billion usd
54766000000.0,92.834 billion usd
54630000000.0,58.231 billion usd
