00-avengers-total_liabilities_in_usd
"302,080 million usd"
"54,253 million usd"
"17,575 million usd"
"443,850 million usd"
"41,108 million usd"
"31,942 million usd"
"282,300 million usd"
"107,630 million usd"
"279,840 million usd"
"198,300 million usd"
"152,970 million usd"
"2,899,900 million usd"
"86,168 million usd"
"73,572 million usd"
"137,160 million usd"
"106,910 million usd"
"108,000 million usd"
"45,307 million usd"
"3,449,400 million usd"
"126,630 million usd"
"70,354 million usd"
"110,540 million usd"
"175,600 million usd"
"22,356 million usd"
"90,991 million usd"
"89,257 million usd"
"72,101 million usd"
"30,286 million usd"
"91,420 million usd"
"8,471 million usd"
"12,444 million usd"
"40,807 million usd"
"25,040 million usd"
"21,409 million usd"
"4,783,900 million usd"
"20,815 million usd"
"50,581 million usd"
"54,229 million usd"
"71,355 million usd"
"295,780 million usd"
"115,060 million usd"
"23,646 million usd"
"41,190 million usd"
"131,120 million usd"
"94,669 million usd"
""
"28,735 million usd"
"39,394 million usd"
"76,334 million usd"
"108,100 million usd"
"18,317 million usd"
"66,184 million usd"
"38,007 million usd"
"73,015 million usd"
"1,760,500 million usd"
"54,076 million usd"
"76,439 million usd"
"37,078 million usd"
"283,400 million usd"
"178,420 million usd"
"4,048,100 million usd"
"1,014,100 million usd"
"367,770 million usd"
"55,136 million usd"
"6,467 million usd"
"31,294 million usd"
"58,207 million usd"
"1,318,100 million usd"
"64,140 million usd"
"31,290 million usd"
"611,010 million usd"
"66,095 million usd"
""
"32,122 million usd"
"49,364 million usd"
"11,343 million usd"
"45,298 million usd"
"103,710 million usd"
"3,570 million usd"
"4,901 million usd"
"45,901 million usd"
"1,465,700 million usd"
"51,396 million usd"
"169,900 million usd"
"4,922 million usd"
"1,284,200 million usd"
"18,073 million usd"
"11,293 million usd"
"3,877,800 million usd"
"35,612 million usd"
"157,920 million usd"
"181,720 million usd"
"104,870 million usd"
"73,368 million usd"
"38,248 million usd"
"1,098 million usd"
"2,206 million usd"
"117,900 million usd"
"159,110 million usd"
"1,252,500 million usd"
"63,903 million usd"
"2,759,700 million usd"
"13,578 million usd"
"382,340 million usd"
"166,370 million usd"
"88,336 million usd"
""
"141,700 million usd"
"3,513,400 million usd"
"137,460 million usd"
"36,707 million usd"
"56,820 million usd"
"153,550 million usd"
"15,320 million usd"
""
"54,465 million usd"
"99,755 million usd"
"2,089,400 million usd"
"4,981 million usd"
"1,353,000 million usd"
"208,090 million usd"
"1,653 million usd"
"65,683 million usd"
"51,464 million usd"
"113,100 million usd"
"66,309 million usd"
"64,806 million usd"
"31,804 million usd"
"279,410 million usd"
"790,870 million usd"
"12,994 million usd"
"167,300 million usd"
"128,440 million usd"
"148,960 million usd"
"693,200 million usd"
"83,839 million usd"
"40,984 million usd"
"158,560 million usd"
"7,103 million usd"
"25,059 million usd"
""
"107,530 million usd"
"8,932 million usd"
"61,400 million usd"
"14,916 million usd"
"45,181 million usd"
"45,255 million usd"
""
""
"33,178 million usd"
"59,842 million usd"
"19,527 million usd"
"18,218 million usd"
"108,320 million usd"
"26,474 million usd"
"9,941 million usd"
"1,167,500 million usd"
"32,026 million usd"
"11,357 million usd"
""
"17,463 million usd"
""
"148,360 million usd"
"13,768 million usd"
"211,810 million usd"
"208,520 million usd"
"13,182 million usd"
"39,914 million usd"
"19,754 million usd"
"9,357 million usd"
""
""
"41,129 million usd"
"1,600 million usd"
"263,320 million usd"
"27,873 million usd"
"38,823 million usd"
"10,917 million usd"
"36,878 million usd"
"412,670 million usd"
"46,883 million usd"
""
"91,976 million usd"
"108,110 million usd"
"344,650 million usd"
"7,642 million usd"
""
"184,970 million usd"
"518,370 million usd"
"2,773,200 million usd"
"4,775 million usd"
"471,970 million usd"
"20,604 million usd"
"3,994 million usd"
"855,050 million usd"
"14,329 million usd"
"22,458 million usd"
"26,715 million usd"
"2,273 million usd"
"140,340 million usd"
""
"31,773 million usd"
"27,041 million usd"
"319,740 million usd"
"30,782 million usd"
"27,903 million usd"
"20,893 million usd"
""
"18,229 million usd"
"36,835 million usd"
""
"200,520 million usd"
"120,290 million usd"
"24,316 million usd"
"169,380 million usd"
"28,478 million usd"
"261,500 million usd"
"86,301 million usd"
""
"23,379 million usd"
"11,857 million usd"
"141,760 million usd"
"7,250 million usd"
"51,675 million usd"
""
"49,100 million usd"
"2,809,900 million usd"
"20,122 million usd"
"1,678,100 million usd"
"164,550 million usd"
"2,780 million usd"
"2,682 million usd"
"2,666 million usd"
"2,094 million usd"
"12,452 million usd"
"107,780 million usd"
"170,790 million usd"
"4,369 million usd"
"98,325 million usd"
"24,681 million usd"
"1,561 million usd"
"24,852 million usd"
"30,189 million usd"
"99,369 million usd"
"28,068 million usd"
"5,598 million usd"
"44,619 million usd"
"185,380 million usd"
"715,640 million usd"
"700,060 million usd"
"27,437 million usd"
"154,350 million usd"
"87,579 million usd"
"14,431 million usd"
"8,839 million usd"
"4,555 million usd"
"35,584 million usd"
"65,823 million usd"
"45,297 million usd"
"111,600 million usd"
"51,343 million usd"
"597,560 million usd"
"3,972 million usd"
"11,953 million usd"
"5,069 million usd"
"17,036 million usd"
"61,055 million usd"
"16,668 million usd"
"6,406 million usd"
""
"9,161 million usd"
"17,614 million usd"
"1,769 million usd"
"21,973 million usd"
"397,940 million usd"
"7,298 million usd"
"40,671 million usd"
""
"125,670 million usd"
"27,763 million usd"
"9,937 million usd"
"61,029 million usd"
"13,982 million usd"
"13,319 million usd"
"71,794 million usd"
"65,160 million usd"
"1,244,100 million usd"
"3,746 million usd"
"1,056,500 million usd"
"21,473 million usd"
"2,999 million usd"
"52,359 million usd"
"127,680 million usd"
"6,666 million usd"
"70,672 million usd"
"36,221 million usd"
""
"463,240 million usd"
"10,652 million usd"
"13,251 million usd"
"30,867 million usd"
"208,090 million usd"
"8,045 million usd"
"1,620 million usd"
"5,963 million usd"
"10,498 million usd"
"5,132 million usd"
"29,653 million usd"
"11,197 million usd"
"7,974 million usd"
"15,602 million usd"
"15,607 million usd"
"17,067 million usd"
"85,008 million usd"
"39,355 million usd"
"14,892 million usd"
"1,662,800 million usd"
"34,042 million usd"
"21,128 million usd"
"25,587 million usd"
"38,160 million usd"
"24,457 million usd"
"13,909 million usd"
"598,220 million usd"
"14,336 million usd"
"12,120 million usd"
"32,432 million usd"
"71,653 million usd"
"27,398 million usd"
"13,150 million usd"
"256,400 million usd"
"692,230 million usd"
"14,832 million usd"
"597,970 million usd"
"52,402 million usd"
"16,056 million usd"
"676,330 million usd"
"7,132 million usd"
"7,757 million usd"
"4,477 million usd"
"10,748 million usd"
"31,728 million usd"
"18,938 million usd"
"24,328 million usd"
"608,900 million usd"
"11,643 million usd"
"62,260 million usd"
"988,900 million usd"
"2,091 million usd"
"3,332 million usd"
"8,569 million usd"
"22,148 million usd"
"16,109 million usd"
"6,394 million usd"
""
"241,580 million usd"
"20,065 million usd"
680 million usd
"98,218 million usd"
"6,703 million usd"
"4,328 million usd"
"999,380 million usd"
"11,427 million usd"
"16,485 million usd"
"1,004,900 million usd"
"5,264 million usd"
"24,139 million usd"
"2,194 million usd"
"31,820 million usd"
"96,118 million usd"
"87,262 million usd"
"83,631 million usd"
"711,020 million usd"
"12,919 million usd"
""
"16,296 million usd"
"25,626 million usd"
"30,415 million usd"
"2,876 million usd"
"26,483 million usd"
"273,100 million usd"
"1,487 million usd"
"3,936 million usd"
"5,137 million usd"
"423,830 million usd"
"34,011 million usd"
"10,883 million usd"
"102,820 million usd"
"10,828 million usd"
"12,043 million usd"
"29,552 million usd"
"19,137 million usd"
"3,457 million usd"
"3,979 million usd"
"96,325 million usd"
"1,091,200 million usd"
538 million usd
"1,681,100 million usd"
"41,087 million usd"
"1,771 million usd"
"2,412 million usd"
"591,620 million usd"
"10,148 million usd"
""
"1,237 million usd"
"7,457 million usd"
"2,613 million usd"
"4,413 million usd"
"530,160 million usd"
"51,579 million usd"
"13,974 million usd"
"12,150 million usd"
"154,960 million usd"
"3,975 million usd"
"18,647 million usd"
"8,376 million usd"
"26,507 million usd"
"41,815 million usd"
"1,892,200 million usd"
"182,010 million usd"
"17,323 million usd"
"18,542 million usd"
"35,250 million usd"
"1,721,400 million usd"
"11,422 million usd"
""
"56,672 million usd"
"102,560 million usd"
""
89 million usd
"3,564 million usd"
"18,647 million usd"
"2,459 million usd"
"6,550 million usd"
"57,866 million usd"
"2,443 million usd"
"7,568 million usd"
"1,747 million usd"
"28,278 million usd"
"27,873 million usd"
""
""
"1,693 million usd"
"1,100 million usd"
"11,785 million usd"
"1,645 million usd"
"7,963 million usd"
"13,808 million usd"
"2,210,300 million usd"
"15,813 million usd"
"6,507 million usd"
"10,304 million usd"
"6,465 million usd"
"5,670 million usd"
"2,612 million usd"
"18,364 million usd"
"44,096 million usd"
"9,660 million usd"
"53,925 million usd"
"5,861 million usd"
"65,192 million usd"
"2,142 million usd"
"51,580 million usd"
"1,339 million usd"
"19,405 million usd"
""
"11,803 million usd"
""
"4,355 million usd"
"10,648 million usd"
"59,167 million usd"
"44,825 million usd"
"24,444 million usd"
"5,316 million usd"
"3,486 million usd"
"97,255 million usd"
"46,044 million usd"
"24,142 million usd"
"94,344 million usd"
"61,708 million usd"
"15,417 million usd"
"311,170 million usd"
"1,537 million usd"
"19,846 million usd"
"2,580 million usd"
""
"875,710 million usd"
"34,170 million usd"
"19,651 million usd"
"1,847 million usd"
"15,976 million usd"
"12,229 million usd"
"6,887 million usd"
"5,566 million usd"
"114,220 million usd"
"195,240 million usd"
"54,687 million usd"
"19,274 million usd"
"15,496 million usd"
"2,319 million usd"
"16,313 million usd"
"682,110 million usd"
"17,084 million usd"
""
"40,260 million usd"
"69,754 million usd"
"30,123 million usd"
"8,327 million usd"
"17,154 million usd"
"16,262 million usd"
"1,967 million usd"
225 million usd
"13,060 million usd"
"124,290 million usd"
"1,708 million usd"
"4,839 million usd"
"20,671 million usd"
"20,302 million usd"
"26,712 million usd"
"16,848 million usd"
"5,909 million usd"
"246,700 million usd"
"236,950 million usd"
"12,009 million usd"
"6,352 million usd"
"31,018 million usd"
"91,576 million usd"
"169,100 million usd"
"130,350 million usd"
"24,437 million usd"
"14,339 million usd"
"8,743 million usd"
"1,755 million usd"
"15,065 million usd"
"1,150,100 million usd"
"3,420 million usd"
"7,738 million usd"
"7,655 million usd"
"18,084 million usd"
"2,008 million usd"
""
"33,659 million usd"
"66,606 million usd"
"40,802 million usd"
"5,990 million usd"
"39,593 million usd"
"687,340 million usd"
"360,780 million usd"
"224,960 million usd"
"26,302 million usd"
"1,141 million usd"
"8,675 million usd"
"12,167 million usd"
"34,018 million usd"
"249,390 million usd"
"2,529 million usd"
"37,643 million usd"
"17,154 million usd"
"3,684 million usd"
"411,250 million usd"
"85,589 million usd"
"15,067 million usd"
"33,470 million usd"
"12,245 million usd"
"2,050 million usd"
"349,630 million usd"
"8,312 million usd"
"2,296 million usd"
"65,090 million usd"
"17,274 million usd"
"30,803 million usd"
"39,382 million usd"
"6,175 million usd"
343 million usd
"5,301 million usd"
"20,668 million usd"
"6,901 million usd"
"968,920 million usd"
"383,720 million usd"
"6,614 million usd"
"10,256 million usd"
"7,214 million usd"
"23,161 million usd"
"96,834 million usd"
"342,450 million usd"
""
"9,580 million usd"
"208,740 million usd"
""
"287,260 million usd"
"22,231 million usd"
"18,436 million usd"
"10,492 million usd"
