04-iGMM-world_rank__jan_07_2022,00-avengers-world_rank,02-GioPonSpiz-world_rank
1,1,1
2,10,2
3,9,3
4,8,4
5,7,5
6,6,6
7,5,7
8,4,8
9,3,9
10,2,10
11,20,31
12,19,32
13,18,33
14,17,34
15,16,35
16,15,36
17,14,37
18,13,38
19,12,39
20,11,40
21,21,11
22,30,12
23,29,13
24,28,14
25,27,15
26,26,16
27,25,17
28,24,18
29,23,19
30,22,20
31,40,21
32,39,22
33,38,23
34,37,24
35,36,25
36,35,26
37,34,27
38,33,28
39,32,29
40,31,30
41,49,60
42,48,61
43,47,62
44,46,63
44,45,64
45,44,65
46,44,66
47,43,67
48,42,68
49,41,69
50,50,70
51,59,71
52,58,72
53,57,73
54,56,74
55,55,75
56,54,76
57,53,77
58,52,78
59,51,79
60,69,41
61,68,42
62,67,43
63,66,44
64,65,44
65,64,45
66,63,46
67,62,47
68,61,48
69,60,49
70,72,80
71,71,90
72,70,91
73,79,92
74,78,81
75,77,82
76,76,83
77,75,84
78,74,85
79,73,86
80,89,87
81,88,88
82,87,89
83,86,93
84,85,94
85,84,95
86,83,96
87,82,97
88,81,98
89,80,99
90,99,50
91,98,51
92,97,52
93,96,53
94,95,54
95,94,55
96,93,56
97,92,57
98,91,58
99,90,59
100,100,100
101,108,101
102,107,102
103,106,103
103,105,103
104,104,104
105,103,105
106,103,106
107,102,107
108,101,108
109,117,109
110,116,110
111,115,111
112,114,112
113,113,113
113,113,113
114,112,114
115,111,115
116,110,116
117,109,117
118,127,118
119,126,119
120,125,120
121,124,121
122,123,122
123,122,123
124,121,124
125,120,125
126,119,126
127,118,127
128,137,128
129,136,129
130,135,130
131,134,131
132,133,132
133,132,133
134,131,134
135,130,135
136,129,136
137,128,137
138,145,138
139,145,139
139,144,139
140,143,140
141,142,141
142,141,142
143,140,143
144,139,144
145,139,145
145,138,145
145,154,145
146,153,146
147,152,147
148,151,148
149,150,149
150,149,150
151,148,151
152,147,152
153,146,153
154,145,154
155,155,155
156,163,156
157,163,157
158,162,158
159,161,159
160,160,160
161,159,161
