02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters,10-DeBiGa-headquarters
uppsala,vienna,taipei,[]
malmö,klagenfurt,taipei,"['taipei', 'taiwan']"
gothenburg,rottenmann,"lanham, maryland","['mumbai', 'maharashtra']"
svängsta,ried im innkreis,london,"['oklahoma city, oklahoma', 'united states']"
stockholm,premstätten,london,"['beijing, china']"
stockholm,graz,london,"['palo alto, ca']"
stockholm,altenmarkt im pongau,wieliczka,"['new brunswick, new jersey', 'u.s.']"
stockholm,vienna,"ch??, tokyo","['one microsoft way', 'redmond, washington']"
luleå,braunau am inn,amsterdam,[]
stockholm,vienna,illinois,"['bentonville, arkansas']"
lund,schwechat,"danvers, massachusetts",['saint kitts and nevis']
landskrona,graz,"north chicago, illinois","['northern cross, malahide road, dublin, ireland']"
ulricehamn,eggelsberg,dublin,"['ottawa', 'ontario']"
stockholm,vienna,collins street,"['oakland', 'california', 'u.s.']"
stockholm,klosterneuburg,collins street,[]
mölndal,vienna,collins street,['neckarsulm']
västerås,waidhofen an der ybbs,collins street,['beijing']
västerås,vienna,essen,"['essen', 'mülheim']"
stockholm,wiener neudorf,"plymouth, michigan, u.s.","['deerfield, illinois']"
södertälje,vienna,bellevue,"['atlanta, georgia']"
nacka,vienna,mumbai,['brampton']
mölnlycke,vienna,mumbai,"['1000 ', ', u.s.']"
stockholm,vienna,mumbai,['paris']
stockholm,vienna,mihama-ku,"['bella vista, new south wales']"
stockholm,klagenfurt,zaandam,"['goodlettsville, tennessee']"
stockholm,traun,zaandam,"['issaquah, washington']"
stockholm,vienna,,['delft']
stockholm,wiener neustadt,amsterdam,"['saint-étienne', 'france']"
lund,amstetten,hong kong,"['croix', 'lille métropole']"
örnsköldsvik,wolfurt,lund,['nanjing']
enköping,vienna,shiodome city center,"['bangkok', 'thailand']"
stockholm,vienna,taguig,['düsseldorf']
gothenburg,linz,munich,"['arteixo', 'a coruña', 'spain']"
gothenburg,ried im innkreis,[2],"['bologna', 'italy']"
stockholm,vienna,[2],"['san francisco, california', 'u.s.']"
uppsala,jenbach,saint-ouen-sur-seine,"['hamburg', 'germany']"
solna,linz,googleplex,"['beaverton, oregon']"
stockholm,vienna,googleplex,['new york city']
stockholm,deutsch-wagram,reynolds metals company international headquarters,"['memphis, tennessee']"
stockholm,vienna,reynolds metals company international headquarters,"['monterrey', 'nuevo león', 'mexico']"
karlskoga,höchst,zurich,"['karlsruhe', 'germany']"
lidingö,vienna,"fort worth, texas","['solna', 'stockholm', 'sweden']"
stockholm,vienna,"new york city, new york","['madrid', 'spain']"
eskilstuna,vienna,"new york city, new york",['brackenfell']
malmö,vienna,london,"['40 rue de sèvres, paris 7e, france']"
stockholm,mattighofen,gurugram,"['west des moines, iowa']"
malmö,lenzing,1 apple park way,"['jamsil-dong', 'songpa-gu', 'seoul', 'south korea']"
stockholm,vienna,1 apple park way,"[""villeneuve d'ascq"", 'france']"
malmö,graz,1 apple park way,['kochi']
