02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
health care,consumer goods,food and beverage,['cryptocurrency industry\xa0']
consumer goods,industrials,smartphones,['food and beverage']
consumer goods,industrials,smartphones,"['information technology', 'consulting', 'outsourcing']"
consumer goods,consumer goods,corporate finance,['precious metals']
technology,technology,conglomerate,['cryptocurrency']
technology,industrials,retail (convenience stores),[]
consumer goods,consumer goods,textile,"['pharmaceutical', 'medical technology', 'consumer healthcare']"
industrials,consumer goods,food biotechnology,['information technology']
oil & gas,industrials,financial services,[]
consumer services,financials,health care medical devices pharmaceutical,['retail']
industrials,consumer services,medical devices,['cryptocurrency']
industrials,industrials,biopharmaceutical,['beverages']
industrials,industrials,professional services information technology consulting,"['coffee, coffee roaster, coffee beans']"
health care,financials,banking financial services,['coffee industry']
telecommunications,consumer services,electronics,[]
industrials,financials,video games,['retail']
industrials,consumer goods,"textile, footwear","['e-commerce', 'artificial intelligence', 'robotics', 'autonomous car']"
industrials,consumer services,retail,['retail']
industrials,consumer services,retail,"['retail', 'pharmaceuticals']"
health care,basic materials,it services it consulting,['retailing']
industrials,basic materials,conglomerate,['retail']
industrials,consumer goods,semiconductors artificial intelligence gpus graphics cards consumer electronics video games computer hardware,['retail']
industrials,financials,financial services,['luxury goods']
technology,consumer services,retail,['retailing']
financials,technology,retail wholesaling,['discount retailer']
conglomerates,basic materials,"sports equipment, textile",['retail']
conglomerates,industrials,"aerospace, defence",['retail']
consumer services,consumer goods,chemicals,['mass retail']
technology,industrials,electronics,['retail']
industrials,consumer goods,"manufacturing, engineering and service",['retail']
industrials,consumer services,"manufacturing, engineering and service",['retail (convenience stores)']
telecommunications,financials,"manufacturing, engineering and service",['retail']
consumer goods,technology,financial services,['retailing']
industrials,consumer goods,technology company,['department store']
consumer services,technology,food processing,['retail']
health care,industrials,rail transport,[]
basic materials,technology,conglomerate,"['apparel', 'accessories', 'sports equipment']"
industrials,consumer goods,telecommunications mass media,['retail']
health care,industrials,tobacco,['retail']
consumer goods,consumer goods,e-commerce cloud computing artificial intelligence consumer electronics entertainment digital distribution self-driving cars supermarket,"['beverage', 'retail']"
industrials,consumer goods,packaging,['retail']
industrials,consumer goods,aviation,[]
basic materials,technology,financial services,['retail']
industrials,consumer goods,industrial processing,['retail']
industrials,consumer goods,professional services,['luxury']
consumer services,consumer goods,tyres,"['retail', 'grocery']"
consumer services,basic materials,consumer electronics software services online services,"['e-commerce', 'digital distribution']"
telecommunications,industrials,consumer electronics software services online services,['retail']
consumer goods,consumer services,financial services,['motion picture']
financials,consumer goods,automotive,['television']
industrials,industrials,computer hardware electronics networking hardware,['entertainment']
financials,industrials,computer hardware electronics networking hardware,['entertainment']
consumer services,consumer services,telecommunications technology,[]
health care,consumer goods,telecommunications technology,['film']
consumer goods,consumer goods,computer software,['entertainment']
