02-GioPonSpiz-sector,05-MalPatSaj-sector
biotechnology,food products
food products,industrial machinery
food products,electronic equipment
recreational products,durable household products
software,semiconductors
software,industrial machinery
clothing & accessories,recreational products
business support services,durable household products
exploration & production,diversified industrials
broadline retailers,banks
industrial machinery,airlines
industrial machinery,business support services
industrial machinery,electronic equipment
pharmaceuticals,banks
mobile telecommunications,home improvement retailers
industrial suppliers,banks
diversified industrials,furnishings
industrial machinery,specialized consumer services
industrial suppliers,food retailers & wholesalers
pharmaceuticals,iron & steel
diversified industrials,commodity chemicals
commercial vehicles & trucks,recreational products
business support services,real estate holding & development
software,recreational services
investment services,semiconductors
-,paper
-,business support services
food retailers & wholesalers,aerospace
computer hardware,heavy construction
defense,recreational products
diversified industrials,specialized consumer services
fixed line telecommunications,banks
nondurable household products,software
industrial machinery,recreational products
gambling,telecommunications equipment
biotechnology,industrial machinery
paper,computer hardware
industrial suppliers,distillers & vintners
pharmaceuticals,defense
clothing & accessories,durable household products
defense,furnishings
commercial vehicles & trucks,beverages
general mining,telecommunications equipment
commercial vehicles & trucks,furnishings
building materials & fixtures,nondurable household products
broadcasting & entertainment,automobiles
airlines,commodity chemicals
fixed line telecommunications,industrial machinery
toys,specialized consumer services
investment services,automobiles
industrial machinery,containers & packaging
investment services,business training & employment agencies
gambling,airlines
health care providers,computer hardware
clothing & accessories,automobiles
home improvement retailers,railroads
recreational products,exploration & production
food products,biotechnology
software,asset managers
fixed line telecommunications,delivery services
fixed line telecommunications,commercial vehicles & trucks
food retailers & wholesalers,beverages
investment services,recreational products
mobile telecommunications,commodity chemicals
business support services,automobiles
commercial vehicles & trucks,banks
travel & tourism,beverages
biotechnology,industrial suppliers
commercial vehicles & trucks,commercial vehicles & trucks
iron & steel,auto components
telecommunications equipment,software
software,commodity chemicals
software,electronic equipment
business support services,defense
durable household products,auto components
health care providers,automobiles
recreational products,heavy construction
furnishings,distillers & vintners
broadline retailers,clothing & accessories
software,autonomous robots
internet,fixed line telecommunications
internet,travel & tourism
telecommunications equipment,automobiles
business support services,full line insurance
conventional electricity,alternative electricity
industrial suppliers,full line insurance
business support services,iron & steel
building materials & fixtures,building materials & fixtures
software,building materials & fixtures
clothing & accessories,airlines
business support services,biotechnology
banks,-
investment services,industrial engineering
software,real estate holding and development
clothing & accessories,consumer finance
food products,computer services
broadline retailers,business support services
medical equipment,computer services
heavy construction,food products
delivery services,brewers
-,water
business support services,water
apparel retailers,delivery services
recreational products,clothing and accessories
recreational products,farming and fishing
auto parts,delivery services
recreational products,computer hardware
banks,business support services
recreational products,clothing and accessories
specialty retailers,real estate holding and development
clothing & accessories,specialty chemicals
business support services,restaurants and bars
fixed line telecommunications,specialty finance
iron & steel,delivery services
paper,airlines
automobiles,specialty finance
industrial suppliers,iron and steel
commercial vehicles & trucks,general mining
software,toys
broadline retailers,food products
software,commercial vehicles and trucks
banks,real estate services
software,food retailers and wholesalers
railroads,marine transportation
software,food products
computer hardware,publishing
investment services,travel and tourism
investment services,commodity chemicals
investment services,food products
personal products,heavy construction
software,specialized consumer services
clothing & accessories,clothing and accessories
software,nondurable household products
railroads,financial services
recreational products,building materials and fixtures
industrial machinery,biotechnology
investment services,telecommunications equipment
broadline retailers,computer hardware
commercial vehicles & trucks,exploration and production
automobiles,general mining
consumer co-operatives,equity investment instruments
brewers,food products
building materials & fixtures,publishing
brewers,diversified industrials
food products,food products
investment services,computer services
full line insurance,automobiles
banks,biotechnology
farming & fishing,building materials and fixtures
gambling,pharmaceuticals
apparel retailers,commercial vehicles and trucks
airlines,delivery services
general mining,banks
business support services,investment services
exploration & production,recreational services
consumer electronics,software
software,clothing and accessories
conventional electricity,food retailers and wholesalers
broadcasting & entertainment,computer services
software,computer services
software,nonferrous metals
pharmaceuticals,consumer electronics
specialty chemicals,business support services
broadcasting & entertainment,rail transport
